source target sign
SLC6A4 MMU-MIR-19B-3P +
AFP MEF2A -
NKRF NR5A2 +
SPRY1 CDK9 -
NANOG CELF1 +
NR1H3 PDGFRB -
SOX11 IGFBP5 -
IRF6 LMNB1 -
MMU-MIR-27A-3P NUMBL -
MMU-MIR-27A-3P MYCN -
SAP30 HSA-MIR-30E-5P -
SAP30 NR4A2 -
VEGFB SOX9 +
TGFBR1 SEMA4B -
CERS2 BCL2L1 +
HSA-MIR-200B-3P E2F3 -
MAP2K7 INSM1 -
MMU-MIR-296-5P MMU-MIR-30E-5P +
MMU-MIR-296-5P MMU-MIR-203-5P -
POFUT1 VAMP3 -
MYCN MMU-MIR-324-5P -
PIK3R2 NKRF -
PIK3R2 TSPAN14 +
NR3C2 SHOX2 -
NR3C2 TAL1 -
MMU-MIR-7578 UCHL1 -
TSHB INSIG1 +
TNFAIP8L2 ARL2 +
TNFAIP8L2 MMU-MIR-199A-3P +
CAMK2B MMU-MIR-495-3P -
CAMK2B SOX11 +
CAMK2B NR3C2 -
PUM2 CEBPA -
MEF2A HSA-MIR-200B-3P -
MMU-MIR-98-5P KLF6 +
MMU-MIR-98-5P MMU-MIR-124-3P -
GZMB PTPN12 +
MMP9 SMAD9 +
MMP9 ALCAM -
WNT1 IGF2 -
WNT1 RHEB -
ADCY6 MAP2K7 -
MMU-MIR-212-3P PLOD3 -
MMU-MIR-212-3P HSA-MIR-132-3P +
MMU-MIR-212-3P RGS4 -
BNIP3 MMU-MIR-122-5P +
BNIP3 DDIT4 -
MMU-MIR-490-3P SMAD4 -
HMGB3 NANOS2 +
SPRED1 MYD88 -
MMU-MIR-302A-3P EMILIN2 -
MMU-MIR-302A-3P MYCN -
MMU-MIR-122-5P NKRF +
ENPP6 DUSP1 -
ENPP6 CBL +
SHOX2 ALDOA -
SHOX2 TCRA -
FOXP1 HRK +
NR4A2 POLA1 -
NR4A2 YY1 +
IRS1 PPP3CA +
IRS1 DRD3 -
IRS1 MDM4 +
MMU-MIR-324-5P GDE1 +
DLX2 CCRN4L +
KLF5 MMU-LET-7A-5P +
KLF5 IGF1 +
MMU-MIR-370-3P MMU-MIR-22-3P -
MMU-MIR-370-3P NANOG +
COL4A1 CDKN1B -
SOX9 NR1I3 +
YY1 SPP1 +
YY1 CCNA2 +
MMU-MIR-721 MMU-MIR-206-3P -
MMU-MIR-124-3P AJUBA +
MMU-MIR-124-3P MMU-MIR-216A-5P -
IL1B PKD1 -
SOX4 E2F3 -
HSPD1 COX2 -
HSPD1 CBL -
ELOVL7 MMU-MIR-181B-5P +
MTSS1 MTDH -
E2F3 TCF3 -
LRP6 MMU-MIR-18A-5P -
LRP6 MMU-MIR-184-3P -
LRP6 MMU-MIR-126A-3P +
EP300 CLCN3 -
EP300 FOXG1 +
MMU-MIR-30D-5P GATA4 +
MMU-MIR-30D-5P MMU-MIR-25-3P -
GATA4 PIK3R2 -
HRK B2M -
CCND2 SRF -
CCND2 IL1B +
CEBPB MMU-MIR-183-5P +
CEBPB MMU-MIR-184-3P -
COX2 RELL1 -
ALPL GT(ROSA)26SOR +
ALPL TIMP2 -
TRP63 CELF1 +
MMU-MIR-381-3P MMU-MIR-106A-5P -
AJUBA TRP63 +
SP7 ABCA1 -
MMU-MIR-2861 MMP9 +
MMU-MIR-2861 MMU-MIR-29A-3P +
ROCK1 YOD1 -
ROCK1 CD164 -
ROCK1 SPRED1 +
PTN CDC25C +
PTN MMU-MIR-344-3P -
TREM2 RAPGEF3 +
MMU-MIR-184-3P MEF2A -
STK3 BTG2 +
STK3 AFP +
STK3 CAMK2G -
PRKCE ADRB1 +
MMU-MIR-17-5P IRAK1 +
PRKACB MMU-MIR-702-3P -
HSPA1B CD209A +
HSPA1B STMN1 -
HSPA1B PTPN12 -
NPAS4 MMU-MIR-324-5P +
NPAS4 ALDOA +
NPAS4 NUMBL -
RELL1 ALCAM +
INSM1 MMU-MIR-466D-3P -
MMU-MIR-137-3P DNMT3B +
OLFR75-PS1 MMU-MIR-495-3P +
PELI1 GATA4 -
PROM1 MTSS1 +
PROM1 MMU-MIR-381-3P +
SH3BGRL TAL1 -
SH3BGRL CEBPE +
MMU-MIR-93-5P MMU-MIR-210-3P +
MMU-MIR-93-5P ALP -
COL3A1 CALM2 +
