source target sign
MMU-MIR-298-5P MMU-MIR-106A-5P -
MMU-MIR-298-5P MMU-MIR-34C-5P +
MMU-MIR-298-5P IGF1R -
MMU-MIR-298-5P MMU-MIR-486A-5P -
MMU-MIR-298-5P TNF -
MMU-MIR-298-5P BACE1 -
MMU-MIR-30E-5P CAV2 -
MMU-MIR-30E-5P VCL +
MMU-MIR-30E-5P ARID4B -
MMU-MIR-30E-5P UCP2 +
MMU-MIR-30E-5P BCL2L2 +
GSK3B MMU-MIR-24-3P +
SPRY1 MMU-MIR-98-5P +
SPRY1 MMU-MIR-23A-3P +
NANOG VEGFA +
NANOG MMU-MIR-26A-5P +
NANOG BCL2L2 +
POLA1 BBC3 +
MMU-MIR-27A-3P RUNX2 -
MMU-MIR-27A-3P MMU-MIR-33-5P +
MMU-MIR-27A-3P BBC3 +
MMU-MIR-27A-3P IL10 +
MMU-MIR-27A-3P SQSTM1 +
MMU-MIR-27A-3P FBXW7 -
MMU-MIR-27A-3P SFPI1 +
MMU-MIR-27A-3P MMU-MIR-221-3P +
MMU-MIR-27A-3P PMAIP1 -
MMU-MIR-27A-3P RUNX1 +
MMU-MIR-27A-3P MMU-MIR-375-3P +
MMU-MIR-499-5P MMU-MIR-20B-5P -
MMU-MIR-499-5P VEGFA +
MMU-MIR-499-5P VCL -
MMU-MIR-499-5P PIAS3 +
MMU-MIR-499-5P AKT3 -
POU4F2 ARID4B -
POU4F2 MMU-MIR-219A-5P +
MMU-MIR-495-3P ACVR1B -
MMU-MIR-495-3P BDNF +
MMU-MIR-495-3P DNMT3A -
MMU-MIR-495-3P ARL2 +
MMU-MIR-495-3P MMP9 +
POFUT1 MMU-MIR-125B-1-3P +
POFUT1 MMU-MIR-130A-3P -
POFUT1 MMU-MIR-23A-3P +
POFUT1 MMU-MIR-214-3P -
AKT1 APP +
AKT1 EGR2 +
AKT1 CBX7 +
MMU-MIR-98-5P MMU-MIR-18A-5P +
MMU-MIR-98-5P ACVR1B -
MMU-MIR-98-5P MMP9 +
MMU-MIR-98-5P SMAD2 +
MMU-MIR-98-5P MMU-MIR-126A-3P +
MMU-MIR-29C-3P CAV2 +
MMU-MIR-29C-3P INSIG1 -
MMU-MIR-29C-3P HDAC4 -
MMU-MIR-29C-3P SPRY1 +
MMU-MIR-29C-3P SNAI1 -
MMU-MIR-29C-3P AKT3 -
MMU-MIR-29C-3P TRAF6 -
IGF1 VCL +
IGF1 TNF -
IGF1 CTNNB1 +
MMP9 ZEB1 +
MMP9 MMU-MIR-101A-3P +
MMP9 CAMK2A -
MMP9 CDC42 +
MMU-MIR-24-3P MEF2C +
MMU-MIR-24-3P MMU-MIR-145A-5P -
MMU-MIR-24-3P SMAD4 +
MMU-MIR-24-3P SMAD3 +
MMU-MIR-24-3P MMU-MIR-221-3P +
MMU-MIR-24-3P BCL2L11 +
MMU-MIR-24-3P MMU-MIR-92A-3P +
MMU-MIR-24-3P SMAD5 -
MMU-MIR-24-3P MMU-LET-7C-5P +
MMU-MIR-23A-3P RUNX2 +
MMU-MIR-23A-3P MMU-MIR-200A-3P +
MMU-MIR-23A-3P PMAIP1 -
MMU-MIR-23A-3P POU4F2 +
MMU-MIR-23A-3P MMU-MIR-141-3P -
MMU-MIR-23A-3P MEF2C +
MMU-MIR-23A-3P BBC3 -
BDNF MMU-MIR-200C-3P -
BDNF BACE1 -
BDNF SMAD2 +
MMU-MIR-182-5P MMU-MIR-466A-3P -
MMU-MIR-182-5P CAV2 +
MMU-MIR-182-5P FBXW7 +
MMU-MIR-182-5P FOXO3 -
JUN SMAD2 +
JUN CBX7 +
JUN SMAD4 +
MMU-MIR-34B-5P MMU-MIR-133A-3P -
MMU-MIR-34B-5P NFAT5 -
MMU-MIR-34B-5P VCL -
MMU-MIR-34B-5P BCL6 +
MMU-MIR-34B-5P MMU-MIR-16-5P -
MMU-MIR-34B-5P POFUT1 +
MMU-MIR-34B-5P PPARA -
MMU-MIR-34B-5P SEMA4B +
MMU-MIR-122-5P JUN +
MMU-MIR-122-5P MMU-MIR-132-3P +
MMU-MIR-122-5P CCND1 -
MMU-MIR-122-5P GSK3B -
MMU-MIR-122-5P HIPK3 +
ENPP6 MMU-MIR-125A-5P +
ENPP6 MMU-MIR-143-3P +
ENPP6 PMAIP1 -
ENPP6 MMU-MIR-30A-5P +
ENPP6 GSK3B -
MMU-MIR-126A-5P SFPI1 +
MMU-MIR-126A-5P RUNX1 -
MMU-MIR-126A-5P MMU-MIR-199A-3P +
MMU-MIR-126A-5P MMU-MIR-31-5P +
MMU-MIR-126A-5P MMU-MIR-26A-5P -
SHOX2 FGF10 +
SHOX2 PAFAH1B1 +
FOXP1 MMU-MIR-92A-3P +
FOXP1 CAMK2A +
MMU-MIR-449A-5P CCND1 +
MMU-MIR-449A-5P MMU-MIR-205-5P -
MMU-MIR-449A-5P MMU-MIR-146A-5P -
MMU-MIR-449A-5P DNMT1 +
MMU-MIR-449A-5P MYC -
MMU-MIR-449A-5P BCL2 -
AKT3 ZEB2 -
AKT3 MMU-MIR-130A-3P +
FOXO1 ACVR1B -
FOXO1 ARID4B +
FOXO1 GSK3B +
FOXO1 MMU-MIR-23B-3P +
FOXO1 MMU-MIR-135A-5P +
FOXO1 MMU-MIR-126A-5P +
SNAI1 MMU-MIR-184-3P -
SNAI1 MMU-MIR-17-5P +
SNAI1 MMU-MIR-106B-5P +
SNAI1 POU4F2 +
TIMP3 MMU-MIR-27A-5P +
TIMP3 MMU-MIR-34B-5P +
TIMP3 NFAT5 +
MMU-MIR-124-3P MMU-MIR-21A-5P -
MMU-MIR-124-3P MYD88 +
MMU-MIR-124-3P STAT3 +
MMU-MIR-124-3P BDNF -
MMU-MIR-124-3P VCAN -
MMU-MIR-124-3P DLX5 -
MMU-MIR-124-3P PTBP2 +
MMU-MIR-124-3P TRAF6 -
MMU-MIR-124-3P MAPK14 -
MMU-MIR-124-3P CDC42 -
