source target sign
PRKACB HSA-MIR-34C-5P +
IL10 SIAH2 +
IL10 PPP1CA +
IL10 DDC -
ACTG1 CEBPB -
SMAD3 UCHL1 -
SHOX2 MMU-MIR-217-5P +
IGSF5 MMU-MIR-199A-5P +
TGFB1 BCL2L11 -
HSPA1B LMNB1 -
MMU-MIR-351-5P VPS4B -
MMU-MIR-351-5P MXI1 +
MYCN UCP2 -
EZH2 MECOM -
EZH2 ZFP36 -
SMAD1 IGFBP5 +
COL4A2 TGFB3 -
COL4A2 RPIA -
COL4A2 RAPGEF3 +
COL4A2 MMU-MIR-141-3P -
COL4A2 PAX3 +
COL4A2 MMU-MIR-30D-5P +
MMU-MIR-320-3P CISH -
MMU-MIR-320-3P MMU-MIR-328-3P +
UCHL1 TCRA +
UCHL1 EGR1 -
UCHL1 MMU-MIR-224-5P -
NKX2-5 HSA-MIR-200B-3P -
NKX2-5 IRAK1 +
EGR2 NANOS2 -
EGR2 MMU-MIR-133A-3P -
EGR2 VPS4B -
RPS6 PPP1CA -
FGF2 IRS2 +
FGF2 STK3 -
MMU-MIR-328-3P RAC1 -
MDM4 MMU-MIR-351-5P +
MMU-MIR-212-3P FGF2 +
MMU-MIR-212-3P MMU-MIR-200B-3P -
HSA-MIR-30C-5P IRAK2 +
MMU-MIR-29A-3P MMU-MIR-181A-5P -
DEDD MMU-MIR-709 +
HSPD1 MYCN +
HSPD1 ATXN1 -
HSPD1 MMU-MIR-33-5P -
TGFBR3 INPP5D -
TGFBR3 MMU-MIR-18A-5P +
TGFBR3 TNRC6A -
SIAH2 CDKN1B +
SIAH2 RBM44 -
SIAH2 DNMT3B +
SIAH2 SOCS2 -
SIAH2 MMU-MIR-680 -
GATA4 PLOD3 +
GATA4 ARNTL +
GATA4 TSKU -
MMU-MIR-363-3P SAP30 +
MMU-MIR-363-3P MMU-MIR-139-5P -
MMU-MIR-363-3P SHOX2 -
MYD88 ELN -
MYD88 HHIP -
MYD88 MAPK14 -
MYD88 DNMT1 -
MYD88 MMU-MIR-205-5P +
FZD7 MMU-MIR-125A-5P +
FZD7 PIK3R2 -
SLC6A4 PAX7 -
SLC6A4 ATXN1 -
SLC6A4 MMU-MIR-873A-5P -
MMU-MIR-33-5P YAP1 +
BDNF MMU-MIR-126A-5P -
ARL2 PRKCE +
HSA-MIR-132-3P TLX2 +
HSA-MIR-132-3P SH3BGRL +
HSA-MIR-132-3P KRT17 -
CAV1 ACVR2A -
CAV1 MMU-MIR-15B-5P -
MMU-MIR-16-5P VCAN +
MMU-MIR-16-5P MECP2 +
MMU-MIR-191-5P MMU-MIR-195A-5P -
MMU-MIR-191-5P MAX +
MMU-MIR-191-5P NR1H3 -
MMU-MIR-191-5P MMU-MIR-434-3P -
MMU-MIR-191-5P TGFBR3 +
MMU-MIR-191-5P MDM4 -
MMU-MIR-290A-3P HSA-MIR-181C-5P +
NOX4 MEOX2 -
NOX4 SIAH2 -
IGF1 EZH2 +
IGF1 IFNA1 +
