source target sign
831230 827542 +
831230 839534 -
843609 831145 +
843609 839226 -
827605 829855 +
827605 824170 +
834158 841095 +
820732 835956 -
820732 842935 +
844304 821900 -
831710 844268 +
831710 823832 +
831710 839534 +
836865 828749 +
836865 839545 +
836865 839226 +
835337 825344 -
836092 820408 +
831956 818914 -
831956 837428 -
831224 828585 -
831224 821904 +
841606 820438 +
822058 834730 -
817695 830424 +
834730 822809 +
829855 839208 -
837962 841468 +
837962 841976 +
818713 834459 +
831025 839984 -
836651 828841 +
836651 844164 -
823585 844268 -
823585 834666 +
818262 842598 +
818262 835397 +
817206 819389 -
836431 838782 +
837197 827101 -
837197 834443 +
837197 834939 +
837197 836217 -
829103 823906 +
829103 841459 +
829103 823740 +
829734 842885 +
817489 836709 +
817489 830080 -
824603 843877 +
824603 828706 +
839262 818234 -
820448 839250 +
842147 830461 +
842147 835941 -
835727 826913 -
835727 841623 +
835727 834284 +
835727 828715 +
835727 842534 +
831441 831112 -
828409 829322 +
828409 837906 +
828409 838800 +
828409 842534 +
826746 814848 +
826746 835941 +
826746 834127 +
839984 841976 +
821504 837378 -
821504 821982 -
821504 819724 -
836506 837131 -
836506 836166 -
836506 817979 +
818860 833502 +
816394 831441 -
827568 842956 -
827568 831757 -
827568 836217 +
827568 830276 +
820879 832146 +
838804 814648 -
838804 831227 +
820135 837904 -
836860 831899 -
836860 837654 -
828934 816780 -
817721 819151 -
817721 839816 +
818294 821134 +
842081 824289 +
820405 835046 -
820405 832208 -
820405 836862 -
820405 843714 +
841922 819400 +
841922 831171 -
831449 834213 +
831449 830938 -
834561 825194 +
834561 828287 +
834561 835301 -
824666 828241 -
824666 822042 -
825415 829441 -
825415 823811 -
825415 841883 +
825415 832534 +
830029 832195 +
830029 831545 -
817715 837313 +
818340 827930 +
824647 828390 +
817329 817340 -
817329 842113 -
839152 824318 +
839152 827510 +
831232 817200 +
831232 843407 +
835842 836227 +
835842 840341 -
826407 835699 +
826407 821504 -
816795 821496 -
816795 820196 +
835341 821622 +
815008 824599 +
815008 825890 -
841999 818311 +
831792 836667 -
836690 829555 -
836690 838144 -
836690 841717 -
839422 829421 +
839422 835300 -
828661 821902 +
844405 841468 -
844405 818827 -
816055 822293 +
829285 821265 -
816870 832149 -
816870 820249 +
834818 841999 +
3770404 824251 +
831158 838388 -
831158 842733 +
824478 843282 +
824478 819174 -
820958 843296 +
824654 815211 +
828439 822287 +
828439 828481 +
828439 821742 -
821060 818862 +
821060 819296 -
843605 830557 -
843605 834575 +
843605 820908 +
841633 828498 +
832857 834033 -
832857 829437 +
824214 827159 -
824214 819244 +
824214 837188 -
824214 828934 +
827121 814738 +
827121 822415 -
827121 841842 -
842873 814702 -
842873 835397 -
842873 820732 -
842873 829364 -
821536 834602 +
821536 820732 +
821536 818304 +
821536 818874 -
837393 839714 -
837393 842905 +
823970 841975 +
823970 835198 -
838812 828084 +
838812 820345 +
832246 837131 -
832246 817680 +
832246 823660 +
832246 828716 -
841447 830598 -
841447 832196 +
836222 836242 +
836222 827857 -
841247 827102 +
827328 829308 -
821739 820200 -
821739 827395 -
824700 818213 -
824700 818549 +
829390 832154 +
839172 820142 +
839172 838642 +
839172 832171 -
839172 834545 +
838824 838687 +
838824 818938 -
838824 838268 -
824844 833768 +
829716 832826 +
837284 821904 -
831765 843366 +
831765 823832 +
817155 822287 +
817155 839172 -
817155 821860 -
817155 820831 +
817155 825415 +
834815 831599 -
834815 823906 -
834722 828749 +
828791 837428 +
836412 829550 -
837131 832846 +
837131 829550 -
837131 830586 +
824555 835699 -
824555 821400 +
824555 825797 -
816035 817979 +
816035 840630 -
816035 829009 -
816035 828025 -
816035 843693 +
837210 819674 +
838310 832154 +
838310 817155 -
837800 819124 -
819077 821544 +
820196 5008312 +
820196 832170 +
820196 821544 +
838782 822207 -
838782 816623 +
838782 827710 -
843296 834044 +
829441 820146 -
829441 836259 +
816032 842951 +
838740 827261 +
838740 842338 -
838740 818862 -
838740 838927 -
818660 826746 +
834878 827351 -
834878 831112 -
830303 837498 -
844127 831345 -
844127 832243 -
844127 842039 +
844127 836508 -
826984 825359 -
826984 829441 -
839226 816875 -
837763 832214 +
838652 831285 -
838652 817857 +
838652 843562 +
838652 837225 -
838652 822350 +
843095 818025 -
828681 829969 -
834883 833556 -
834883 841182 -
834883 830878 -
834883 839250 -
821781 825284 -
819236 843313 -
839241 828791 +
839241 814786 +
839241 828891 +
821055 826632 +
836259 827481 -
836259 816614 +
836466 838384 -
836466 843928 -
836466 821739 -
832409 844112 +
832409 829598 +
832409 814846 +
839925 832562 -
839925 834133 +
822061 826859 -
822061 818411 +
822061 824289 -
841468 821902 +
842036 814648 +
828763 823706 +
828763 836849 +
824226 832149 -
824226 833672 -
824226 816798 -
841057 816782 -
817087 844379 -
828151 839135 -
828151 817244 +
828151 825253 -
836620 829332 -
836620 3770404 -
836620 834676 +
835244 826726 -
835244 820850 +
835244 835429 -
823804 819633 +
829335 836313 -
829335 832123 +
839040 818626 +
821449 825503 -
821449 831436 -
821449 837225 +
821449 838997 -
839433 831441 -
839433 814997 -
841262 836693 -
841262 834561 +
839501 831648 +
842710 834562 +
842710 828219 -
842710 832534 +
824372 822293 +
819296 837962 +
819296 844165 +
836408 830015 +
836408 829351 +
836408 832065 -
836408 825779 +
836408 839401 +
836408 834390 +
836408 829435 -
836408 841182 -
827124 842612 +
825455 844036 -
817170 817371 +
817170 822001 +
817170 831442 -
817170 834815 +
817170 820098 -
836228 825515 -
836228 824105 -
825338 836860 +
820314 829160 -
820314 838077 -
820314 838604 -
838774 830330 +
838774 844379 +
839341 830502 +
839341 840630 -
839341 829598 -
831481 818025 -
831481 837863 -
831481 817688 +
831481 821676 +
821027 818571 -
836313 832824 -
821216 835504 -
825288 818596 -
825288 828413 -
831197 816782 -
821198 825164 +
821198 816206 +
821198 831847 +
817267 818037 -
818429 827538 -
818429 821982 -
818429 817987 +
818429 818883 +
827496 835609 +
827496 824410 -
827496 829594 -
839982 835023 -
839982 834133 +
836517 822207 +
836517 833756 +
836517 836519 -
839893 830785 +
839893 825288 +
839893 841756 -
818706 827827 +
818706 832122 -
834940 824700 -
834940 819156 -
826505 822058 +
816413 832409 +
816413 829335 +
816413 823970 -
824502 820879 +
824502 841521 -
824502 838127 -
827638 819364 +
827638 838487 +
829257 842036 +
829257 816870 -
842177 839189 +
842177 820477 +
818881 818723 +
818881 818274 -
818881 832065 -
837791 817951 -
837791 843079 -
837791 821900 -
826409 825254 -
826409 825284 +
832205 820196 -
819364 838801 -
833552 841468 +
833552 823531 -
818760 836865 -
818760 825075 +
818760 839527 -
838138 836034 -
831722 824318 +
831546 822207 +
831546 822293 -
831546 819077 -
831546 825278 +
823150 818980 +
823150 839893 -
823150 843959 +
844383 837962 -
844383 819827 -
837303 817056 -
837303 820419 -
837303 814846 -
825515 830502 -
825515 827930 -
825515 837863 +
825515 824750 +
820020 837131 -
817148 831010 -
817148 818895 +
842849 818174 +
842849 818282 -
842849 819614 -
825091 818174 -
825091 818761 -
819174 834920 +
819174 835727 -
819174 814754 +
819174 832256 +
819174 833672 +
819174 832523 -
819174 818086 -
843512 830173 -
843512 844127 +
827457 818903 +
838306 832215 -
838306 843845 +
838306 818025 -
838306 825383 -
837906 817382 -
837906 816035 -
818862 839698 +
818862 839714 -
818862 829831 -
839570 827622 -
839570 841095 -
839570 839527 +
839570 819402 -
838077 833752 +
838077 836481 +
832256 819356 +
832256 836218 +
828044 817719 +
828044 819125 -
828044 831889 +
828044 827786 +
831191 822195 -
831191 831256 +
832124 837131 -
832124 831560 +
827102 814724 +
827102 837357 -
824128 830587 -
836212 839167 +
836212 843634 -
836212 833947 -
836212 821625 +
825104 837562 -
825104 840413 +
825104 834756 +
842428 820142 -
842428 827457 -
829550 831151 +
829550 839250 -
829598 839913 +
829598 832195 +
820419 819244 +
824920 821902 +
824920 816819 -
824920 824630 +
824920 844405 +
824920 832123 +
824920 817489 -
837373 829009 -
837843 842177 -
837843 836822 +
837843 821424 -
837843 814818 +
836508 836873 +
829710 839791 +
829408 828498 -
818903 818760 -
818903 832149 +
818903 818411 +
818903 838077 -
818903 824214 -
838801 819402 +
838801 816055 -
838801 827759 -
838801 818627 +
837188 823904 -
837188 816623 +
826364 836554 -
826364 817362 +
828782 821982 -
828782 835117 -
834626 841247 -
826479 818199 -
826479 841182 -
844036 832562 -
841277 828714 -
841277 817340 +
841095 829335 -
841942 837180 -
832208 840957 +
832208 837058 +
827786 828151 +
827786 838452 +
815843 836248 +
815843 842428 +
832990 832761 -
832990 835815 +
817911 842039 +
817680 822184 +
817680 822000 +
829927 831481 +
817102 819925 +
819124 835699 -
819124 830987 -
819124 833768 -
821575 844036 +
837378 838801 +
837378 835901 +
837378 839235 -
821533 841521 +
816297 840630 +
816297 832756 +
838721 839913 -
838721 827472 -
839677 834158 +
839677 820958 +
820609 829364 -
826733 837120 +
826733 826479 +
827303 820929 +
821807 831903 -
821807 827542 +
841284 828556 -
841284 839141 -
827173 817832 +
827173 820233 -
827173 821860 -
827173 837479 +
836709 841976 -
817830 843716 -
817830 826913 +
817830 816177 -
825284 837393 -
825284 826609 -
825284 834443 -
830912 824853 -
830912 835875 +
830912 829594 +
831327 831112 +
838518 816305 +
838518 838774 -
838518 822195 +
838518 821536 +
838518 836519 +
838518 834626 -
837562 815147 +
837562 829034 +
837562 829594 +
831648 825164 +
831648 829408 -
831648 831171 +
828726 831275 -
836034 819320 +
819172 818596 -
819172 816580 -
819172 842674 +
842697 842120 -
842697 828539 -
842697 836120 +
831207 818411 -
831207 817241 -
839141 839032 -
830908 838510 -
830908 837892 +
820200 823744 +
837424 841184 +
837424 827496 -
837424 831615 +
824383 844304 -
824383 839789 -
824383 832393 +
837225 825171 +
844773 819925 -
844773 828782 -
839419 837559 +
839419 829012 +
832196 831124 +
832196 825278 -
827297 817721 -
827297 841883 -
827297 818561 +
820082 823426 -
820082 821607 +
820297 822593 -
820297 829654 -
820297 843903 -
820408 831648 +
828008 835934 -
828008 834435 -
828254 840413 +
828254 841065 -
828254 832124 +
828254 820635 +
828254 839506 -
827542 836094 -
831903 827472 +
838230 823492 +
838230 843845 -
838230 818260 -
825809 838230 +
816133 3768904 -
816133 819644 -
816133 837058 +
843845 831151 -
843845 829007 -
824956 839167 -
824956 831227 +
824956 834241 +
824956 829435 +
824956 836616 +
824956 842993 +
831519 832534 -
831519 832523 -
817111 842993 +
817111 815006 -
817111 838542 +
842534 835935 -
814767 838144 -
814767 825284 -
816247 825503 -
816247 842873 -
816247 834403 +
816247 840403 -
818421 821717 -
818421 835504 -
818421 824955 -
818421 835889 +
818303 840115 -
818303 5007942 +
837428 842935 -
834204 829463 +
834204 843614 -
834204 841810 -
814648 834572 +
832195 837559 -
832195 831810 +
832195 816035 +
817278 828726 -
817340 841184 +
817340 837791 +
837417 844164 +
842760 832761 -
821473 820793 +
821473 836269 -
821473 831124 +
840454 823811 +
836248 835532 -
830015 839290 -
841223 820609 +
841223 814848 +
838193 832826 -
838193 834920 +
838193 821151 +
838193 837246 +
838193 828522 +
824871 838687 -
824871 829034 -
824871 833768 -
824871 830035 -
831745 830000 -
831745 832393 +
830971 827463 +
834224 817240 +
834224 836134 -
834224 831112 -
839401 844293 -
841464 829710 -
841464 825488 -
841464 839349 -
841464 821382 +
825254 832283 +
841184 829332 +
841184 818421 -
841184 838127 +
841184 838598 -
825332 831519 -
825332 823959 -
835379 818345 +
835379 820355 +
835379 819364 +
837654 822350 -
836862 825047 -
814686 814702 -
814686 828782 +
814686 821338 +
837876 831025 -
837876 816666 -
837876 818588 +
837876 817625 +
835848 831518 -
835848 832846 -
820142 835956 -
818167 838384 +
818167 842955 -
837313 838510 -
837313 822207 +
837313 839189 +
837313 843693 +
843561 822207 +
843561 843614 +
843561 825890 +
843561 823531 -
821265 841922 +
834390 820020 -
834390 828230 -
834390 823832 -
834390 832438 +
834390 835809 -
834390 832424 +
836616 838501 -
829298 823964 -
829298 819190 -
829298 835698 +
834323 837431 -
840341 834259 +
819614 835300 +
819614 828714 +
831615 814739 +
831615 838306 -
831615 834975 +
831615 831733 +
822159 832124 +
822159 837378 -
822159 841606 -
822159 826364 +
817553 829594 +
827472 844112 +
827472 826733 -
831510 830008 +
831510 834259 +
829831 830701 +
829831 839422 +
829831 816473 +
832149 817362 -
832695 825332 +
836668 825297 -
833768 818240 -
830173 817145 -
827576 828726 -
827576 820936 -
837863 825194 +
837863 827759 +
842956 828241 +
828045 815147 +
830730 820233 -
830730 821607 +
827319 820297 +
827319 834324 -
829400 843236 -
829400 829103 -
829400 828287 +
827101 834213 +
827101 842009 +
818240 827011 -
835875 834158 -
835875 831635 -
835875 824896 +
840386 832048 +
840386 818029 -
840386 818627 -
840386 841284 +
834575 825797 +
834575 832256 +
834575 835337 -
828025 842120 -
833502 844146 -
843903 830801 +
843903 831956 -
843903 821309 -
830662 834670 +
830662 830701 +
830662 824955 -
830662 823729 -
844423 835429 +
844423 832179 +
836166 841095 -
820507 839816 +
827145 820233 -
836120 821473 +
837304 829298 +
827072 843282 +
827072 835809 +
821625 838438 -
821625 818549 +
824168 839901 -
824168 828457 -
824168 841247 -
824168 834878 +
836062 830276 -
836062 832761 -
836849 818340 -
836849 834722 +
831560 836134 -
816666 838642 -
816666 835379 +
816666 818609 +
843917 835401 +
843917 834435 +
829564 825383 +
818561 814648 +
818561 818029 -
818561 828287 +
824585 825503 +
819242 825785 -
819242 829613 -
830911 829716 +
837516 827542 +
835609 828390 +
835609 831813 +
828413 838721 +
820233 828556 +
843811 837357 +
839666 824503 +
839666 830701 -
829662 840386 -
829662 834545 -
833672 818561 -
833672 827990 -
843079 819197 +
827710 838651 -
827710 822312 +
827710 844025 +
844388 836412 +
844388 837530 +
844388 839501 +
837120 829734 +
828713 830587 +
825503 824853 -
825503 830557 +
838333 821400 +
838333 816782 -
838333 816959 -
819082 818862 -
819082 840105 -
821788 836709 +
821788 843079 +
835429 830902 +
819644 817013 -
819644 838642 +
842582 832577 +
842582 814707 -
842582 837423 -
827998 816177 +
820249 832756 +
837583 831748 +
827351 838883 +
827351 823150 -
827351 833556 -
827351 831903 -
827351 824230 +
844112 837202 -
843177 831151 +
843177 820559 -
828522 836616 -
827759 831748 +
827759 829855 -
835023 823426 -
835023 842756 -
822042 818730 +
822042 824293 +
822042 819262 +
830850 821902 +
830850 815843 -
826632 835337 +
826632 826733 +
826632 830891 +
826632 826476 +
818887 832215 +
818887 829618 -
818982 818596 -
818982 817382 -
818982 819400 +
818982 843282 +
819857 837431 +
819857 839523 -
819857 816473 +
819857 843845 -
841271 827072 +
841271 830293 +
835117 836287 +
830801 819210 -
830801 839040 +
830801 838487 -
819619 843177 -
819619 823975 +
838388 839657 -
837150 838333 -
837150 842043 -
837150 843296 +
837150 829392 -
837150 838306 +
834412 821134 -
821323 839574 -
814786 816663 -
814786 832146 -
814786 818841 +
817039 822401 -
821134 835301 -
818883 818626 -
818883 841486 +
814997 834561 +
814997 828571 +
814997 836431 +
827714 835609 +
827714 819172 -
839965 843442 +
839965 822312 +
842598 841182 -
842598 817134 -
830556 817111 -
830556 830707 +
830556 832053 -
831285 837255 +
831285 819283 +
814724 824507 +
814724 835759 +
814724 824627 +
814724 837516 +
817894 821982 +
817894 825809 -
817894 827457 -
831493 821742 +
831493 834443 +
831493 842710 +
831493 834842 +
814960 831170 -
814960 842039 -
840413 824230 +
823835 820135 -
823835 821971 -
823835 829904 +
836210 843133 -
836210 844773 -
829034 842177 +
829034 821400 +
829034 818410 -
829009 836176 -
829009 821309 +
829009 816875 -
829009 831745 +
841743 839540 -
841743 816663 +
841743 831615 +
841743 831327 -
828927 838652 +
832065 825794 +
832065 817341 -
831518 817489 +
831518 818402 -
835701 835698 +
834602 839901 +
834602 836281 +
826671 828970 -
826671 833756 -
826671 817564 +
830987 843282 +
830987 840023 +
830987 824956 -
842207 833752 -
842207 820438 -
842207 830912 -
837904 842708 +
837904 825194 +
818213 821717 -
843412 830902 -
834663 843133 +
834663 816870 +
835532 828025 +
835532 836092 -
835532 824920 +
841459 843917 +
841459 822593 +
841459 820345 -
843513 844165 +
838573 839066 +
837805 843605 -
843303 836134 -
843303 832259 -
843790 829569 +
843790 818410 -
836094 835941 -
836094 824781 +
836094 3770404 -
818472 834815 -
818472 824555 +
818472 842039 +
829463 825515 +
829463 842951 -
829463 832123 +
825297 837417 +
817919 828045 +
832122 834439 -
832122 841301 -
817688 839066 +
835815 843903 +
835815 836560 -
835815 826409 -
835815 825517 +
824507 817831 +
824507 817695 +
824507 827463 -
840115 832523 +
840115 816959 +
843577 828713 +
843577 831275 -
820752 831201 +
820752 837140 -
820752 832824 +
820752 825415 -
816875 843609 +
838927 821607 -
821705 838144 +
842288 837602 +
842288 819172 -
820273 828891 +
838677 831599 +
838677 819812 +
838677 831792 -
829569 831001 -
829569 837498 +
829569 830911 +
841976 834109 +
841976 831738 +
825194 837255 -
825194 818189 +
830960 820752 +
842993 830891 +
816408 835612 +
838001 836092 +
838001 839568 -
838001 837187 +
828230 833502 +
821634 820507 -
821634 844377 -
821634 818874 +
818302 824105 -
818302 831599 +
818302 817659 +
818302 841126 -
818302 829308 +
822350 830502 -
822350 818444 -
822350 840981 -
822350 829019 -
822350 843917 +
825196 830909 +
825196 821676 +
825196 820314 +
821272 828970 -
821272 843917 -
824230 816580 -
830427 825054 +
830427 842885 -
830427 844383 +
817159 838073 +
817159 834224 -
829806 821533 -
825896 831232 +
825896 839925 +
816538 816247 -
819738 820249 +
819738 826586 +
843262 834575 -
818596 829717 +
818596 843634 -
834572 838779 -
828764 842070 -
828602 837417 -
837464 839789 -
829221 827101 +
829221 825476 -
829221 839540 +
829221 843330 -
829901 834439 -
829901 831010 +
829901 843443 -
829901 843917 +
829901 817489 -
835240 825054 +
835240 829435 -
835240 834224 +
835240 821151 -
835240 828982 +
841182 843282 -
841182 819236 -
841182 844423 -
836560 819260 -
836560 843442 -
836560 836506 +
836560 844036 +
821607 839112 +
817920 825515 +
837125 827538 +
837125 844252 -
837125 821026 +
822181 837373 -
822181 820082 -
822181 819320 +
817976 828763 -
817976 817911 +
818895 830832 -
818895 828782 +
818895 827319 -
835046 825332 -
835046 839241 +
835046 838997 -
818730 844135 +
827990 830019 +
814823 827713 -
834439 817721 -
834439 840115 -
834439 819077 -
834439 818626 -
839032 837431 -
839032 820082 +
839032 841942 +
839032 843811 -
839032 842154 -
843305 830502 +
5007942 836508 +
835438 844268 +
835438 829710 +
837483 820767 -
817200 821431 +
817200 830987 +
817200 838357 -
830891 818634 +
830891 832246 +
820391 830303 -
820391 825091 -
820391 817911 -
827505 836476 -
839523 827351 +
839523 829717 -
818914 827472 -
822474 824712 -
832697 831449 +
832697 839791 +
822584 838384 +
827062 818568 -
827062 842783 +
827062 831145 -
822296 834815 -
822296 839300 +
832577 830326 -
832052 842484 -
832052 841284 -
832052 822519 -
832052 837516 -
832052 837583 -
832052 822061 +
828749 834599 +
823916 831793 -
823916 824570 +
823916 835341 +
823916 818411 +
830051 839203 -
830051 830853 +
830051 832259 +
830051 821026 -
819283 828481 +
819283 836554 -
819283 837202 -
819283 833768 -
819283 827145 +
829308 842849 -
829308 832968 -
833556 830598 +
841521 837431 +
841521 836517 -
830445 834602 -
830445 821027 -
829839 841717 -
829839 826476 -
829322 817586 +
829025 824383 -
829025 836094 +
821259 843282 -
821259 825797 +
844252 834815 -
844252 840023 -
834293 830062 +
834293 827511 +
834293 825104 +
831339 819803 +
836287 837202 +
836287 827159 +
836287 821382 +
828097 843577 +
830019 827261 +
830019 828165 +
830019 844297 -
830019 816394 -
840116 817831 -
840116 843571 -
836218 832123 +
831201 839135 +
831201 838077 +
831201 827637 +
842120 831757 -
842120 829927 +
842120 837627 +
842120 830427 +
829604 838651 -
829604 816247 -
829604 820146 +
829604 819389 +
819925 823426 +
819925 829221 -
831010 837562 -
831326 818706 -
823531 837255 +
823531 828714 -
823531 829855 -
837498 816055 +
837498 828570 -
837498 829441 -
827923 834403 +
825481 838070 -
825481 833962 +
825481 839300 -
835428 837562 +
817603 828311 +
817603 830878 -
817341 842873 +
843646 821807 -
843646 836517 -
818166 832420 -
818166 821877 -
818166 832494 -
818166 827472 -
818166 830374 +
818166 842710 +
834133 841386 +
834133 817830 +
824776 826456 +
839789 834259 +
818220 824700 -
836086 837886 -
816206 834975 +
816782 819151 -
816782 831326 -
838515 824019 +
838515 829361 +
829547 829435 +
829547 837602 -
839527 841464 +
828287 832610 +
842733 840471 -
842733 820200 +
842733 816663 -
842733 818874 -
826726 829547 -
826726 831813 +
843693 817695 -
841654 818234 +
5008312 839455 +
817927 818086 +
843928 826671 +
844146 832534 +
833836 822350 -
817659 832359 -
817659 834351 +
816473 842484 -
816473 837313 -
834637 825890 -
834637 836508 +
834637 843388 +
834637 837058 -
832761 819262 -
832761 827538 +
832761 834719 +
839235 841277 -
839235 818713 -
817625 841184 -
827622 826746 -
827622 834204 -
827397 839349 +
827397 828457 +
843890 819979 -
843890 823594 -
843194 837197 -
843194 841284 -
843194 814848 -
827511 823970 +
839574 843561 +
839574 842783 -
830785 818860 -
830785 840957 +
827125 838384 +
827125 836466 +
822199 836034 -
822199 816775 +
843714 824570 +
843714 843412 +
817857 834663 +
828084 842177 +
828084 829257 +
817921 844025 -
834403 842039 +
834403 826470 -
834403 842669 -
843571 838503 +
825476 819174 -
824137 819077 +
824137 837303 -
824137 821575 -
830917 819651 +
830917 818472 +
830917 817236 +
830917 839290 -
830917 839527 +
830586 833622 -
830586 825476 +
830586 838801 -
829094 829661 +
829094 834173 +
829618 838947 +
838070 841262 -
823963 820816 +
822519 836092 +
822519 822415 -
842484 821504 -
829555 823835 +
842931 827272 +
842931 830330 +
838544 834758 +
827272 838837 -
827272 822000 +
827272 3768904 -
827272 820752 +
823492 842338 -
823492 839965 +
823492 820314 +
829435 839040 -
820723 835250 +
827623 819561 +
827623 829463 +
827623 817200 -
827623 823585 -
831793 842993 +
817708 821496 -
817708 821705 +
817708 837357 -
816462 830911 -
821061 819174 +
816614 835889 +
824890 819280 -
828390 835116 +
828390 825047 +
828390 843443 -
828390 823804 -
835116 841095 +
835116 819296 -
818634 817252 -
818634 827011 -
818634 823744 +
839290 830801 +
839290 836269 -
818189 826728 +
839517 817874 -
816225 834727 -
816225 838354 -
824641 819172 -
824641 821431 -
824641 843987 +
824641 834756 -
818841 821544 -
821521 828439 +
821521 824647 +
838947 838510 -
838947 841842 -
828241 820929 -
828241 832053 +
838073 829463 +
838073 829298 -
838073 824214 -
838073 819660 +
835926 827103 -
834666 842281 +
839208 823150 +
831545 824503 -
831545 830996 -
831545 832256 +
831545 818841 +
823660 817976 +
841725 843748 -
841725 820405 +
841725 829390 -
841725 834719 +
818174 840341 +
818174 816666 -
818174 817382 -
818174 834892 +
841756 821601 +
844379 835341 -
831256 827297 -
831256 824853 -
833738 841942 -
833738 842760 +
833738 839925 +
825396 838073 +
842284 825332 -
842284 835990 +
816580 818874 +
830035 829159 -
830035 818761 +
830035 819660 -
830461 819633 -
843631 830029 +
843631 824666 -
836281 839529 -
836281 819125 -
836281 839300 +
831635 837178 -
838564 822171 -
819320 827998 -
819320 843442 -
824170 842733 -
821740 842905 +
827323 835266 +
823965 821026 +
823965 830035 +
823965 838652 -
824198 829555 +
824198 829408 +
824198 830326 -
837381 831232 +
827965 836134 +
827965 841999 +
834627 834602 -
834627 842207 -
831919 825054 -
831919 838573 +
831919 844377 +
819260 821717 -
819260 831441 +
818411 816475 -
826470 817719 +
826470 842036 +
826470 838388 +
826470 831666 +
826470 820559 +
832171 828706 +
843987 831025 -
843987 817087 -
843987 829826 -
843987 822474 -
829969 837886 -
829969 826671 +
829969 838598 -
829480 817603 -
829480 817382 -
814818 820609 +
814818 834545 -
