source target sign
AT1G09180 AT5G02040 +
AT1G09180 AT3G13710 +
AT1G09180 AT5G19960 +
AT1G09180 AT3G10480 +
AT1G09180 AT1G05710 +
AT1G09180 AT3G13990 -
AT1G09180 AT2G40380 +
AT1G09180 AT1G47260 -
AT3G55240 AT5G42190 -
AT3G55240 AT2G31490 -
AT3G55240 AT4G17950 -
AT3G55240 AT3G55460 -
AT3G55240 AT5G16080 +
AT3G03000 AT2G22680 +
AT3G03000 AT4G02725 +
AT3G03000 AT5G11980 +
AT3G03000 AT1G49850 -
AT3G03000 AT2G30880 +
AT3G03000 AT5G63310 -
AT3G03000 AT4G39050 -
AT3G03000 AT1G22920 +
AT3G03000 AT5G14070 +
AT3G03000 AT5G65683 -
AT2G44080 AT3G16310 -
AT2G44080 AT3G60600 +
AT2G44080 AT3G29270 +
AT2G44080 AT3G21215 -
AT2G44080 AT2G01760 -
AT2G44080 AT3G54826 -
AT2G44080 AT4G26450 -
AT2G44080 AT1G47260 +
AT2G44080 AT1G22920 +
AT2G44080 AT5G55990 -
AT2G44080 AT1G27300 +
AT4G14560 AT2G18730 -
AT4G14560 AT1G04240 -
AT4G14560 AT4G14455 +
AT4G14560 AT1G51950 +
AT4G14560 AT5G25890 -
AT4G14560 AT2G38490 +
AT4G14560 AT4G24900 +
AT4G14560 AT4G03150 -
AT4G28720 AT5G49540 +
AT4G28720 AT3G10480 +
AT4G28720 AT1G27300 +
AT4G28720 AT4G28640 +
AT4G28720 AT4G01090 -
AT4G28720 AT1G28360 +
AT4G28720 AT5G22290 +
AT4G28720 AT5G07730 -
AT3G63210 AT1G54770 -
AT3G63210 AT5G47370 -
AT3G63210 AT5G11980 -
AT3G63210 AT4G29220 +
AT3G63210 AT4G28720 +
AT3G63210 AT1G68060 -
AT3G63210 AT3G06590 -
AT3G63210 AT3G02150 -
AT1G65480 AT1G31870 +
AT1G65480 AT3G48150 +
AT1G65480 AT2G18876 +
AT1G65480 AT2G39740 +
AT1G65480 AT1G22920 +
AT1G31780 AT2G24550 +
AT1G31780 AT3G48150 -
AT1G31780 AT2G28550 +
AT1G31780 AT3G06540 +
