source target sign
Q39162 EBI-1543126 -
Q39162 Q9LSI9 +
O80719 O22176 +
O80719 Q9SGN7 -
O80719 Q9LX56 -
Q8RWQ8 Q7X9H6 -
Q8RWQ8 O48814 -
Q8RWQ8 O65373 -
Q8RWQ8 Q9FUD3 -
Q8RWQ8 Q9M8T0 +
Q8RWQ8 Q9SUP6 -
Q84JC2 Q9SND6 +
Q9M7Q2 O49839 +
Q9M7Q2 Q6NLQ6 +
Q9M7Q2 Q9FHZ1 -
O65469 Q84JC2 -
O65469 EBI-1578970 -
O65469 Q9C9Q4 -
O65469 Q9LHI7 +
Q9FHZ1 Q9FGX2 -
Q9FHZ1 O81223 -
Q9FHZ1 Q9CAG5 +
Q94A06 Q9FLV4 +
Q94A06 Q9LMM5 -
Q8GYQ5 Q9LPQ3 -
Q8GYQ5 P22953 +
Q8GYQ5 Q8VZK4 +
Q8GYQ5 Q94A06 -
Q8GYQ5 Q84JU4 +
Q9FHQ3 Q84W01 -
Q9FHQ3 Q9C9Q4 -
Q9FHQ3 Q9FM69 +
Q9FHQ3 O65469 +
Q9STX0 Q39050 +
Q9STX0 Q9C9Q4 +
Q949Y0 Q9MAB4 -
Q949Y0 Q9STX0 +
Q949Y0 P25069 +
P93050 P83755 +
P93050 Q84WC8 -
P93050 Q29Q72 -
P93050 Q9LUI6 -
Q93WU6 O82754 +
Q93WU6 Q9LKA4 -
Q93WU6 Q75QN6 +
Q93WU6 O65373 +
Q93WU6 P25069 +
F4IIU4 Q2V359 +
F4IIU4 Q9FHN8 -
F4IIU4 Q8LG64 +
Q9LUI6 Q9SSF8 -
Q9LUI6 Q7Y224 +
Q9LUI6 P30187 -
Q9LUI6 Q8VZK4 -
Q9LNG8 Q9LMM5 +
Q9LNG8 Q9FHZ1 -
Q9LNG8 Q39140 -
Q9FJV0 Q9LYG8 +
Q9FJV0 Q94A06 +
Q9SV15 Q9LPQ3 -
Q9SV15 O81472 +
Q9SV15 Q949U4 +
Q9SV15 P25069 +
Q9SV15 Q8W490 +
EBI-1578970 Q9LYP4 -
EBI-1578970 Q9FLV4 +
EBI-1578970 O65373 -
EBI-1578970 Q9ZRF9 -
P30187 Q9FJV0 -
P30187 Q8GY11 -
P30187 P25854 -
O80651 Q9FL19 -
O80651 Q38847 -
O80651 Q9FGX2 -
Q9FIK0 P92525 -
Q9FIK0 Q9LX56 -
Q9FIK0 Q84JC2 -
Q9FIK0 D3K0M2 -
Q9C5C0 Q75QN6 +
Q9C5C0 Q9M9C3 -
Q9C5C0 Q9SV15 -
P22953 Q9LYP4 -
P22953 Q9LMM5 -
P22953 Q39008 +
P22953 Q682T9 +
P22953 O65373 -
Q93Z27 Q9LTW2 +
Q93Z27 Q9LW66 +
Q7X7A9 Q9LYP4 +
Q7X7A9 Q7XJK8 -
Q7X7A9 Q39162 -
Q7X7A9 O04567 -
Q9LJL9 P93050 +
Q9LYG8 Q9M2K4 -
Q9LYG8 Q8RWY0 -
Q9LYG8 Q9FM69 -
Q9LYG8 Q8H1D6 +
Q9LYG8 Q8W490 +
Q9M8T0 O22042 +
Q9M8T0 Q84WC8 +
Q9M8T0 P93050 +
Q9M8T0 O49396 +
Q9M8T0 Q9FHZ1 +
Q9FX43 Q9M1Z5 +
Q9FX43 Q39026 -
Q9FX43 Q9SJG9 +
Q9FX43 Q9FMY3 -
Q9FX43 Q8GYQ5 +
Q6R0E4 Q9LTW2 -
Q6R0E4 Q9FM69 +
Q6R0E4 Q9C5C0 +
Q6R0E4 Q5XXJ3 +
Q8VYG7 Q9M2L4 +
Q8VYG7 Q39254 -
Q9LYL6 Q9FM69 -
Q9LYL6 P25069 +
Q9LYL6 Q9FME9 +
Q9LYL6 Q9FUD3 +
Q39019 Q9LPQ3 +
Q39019 Q9M2L4 -
Q39019 Q9FJK3 +
Q39019 Q9FLL0 +
Q39254 Q9FMC2 +
Q39254 Q9LUI6 +
Q39254 Q84MD8 +
Q9SDB3 Q84JC2 -
Q84JU4 Q9LJL9 +
Q84JU4 Q9M2L4 -
Q84JU4 Q9SVG9 -
Q84JU4 Q9LEZ2 +
Q39050 Q9FLL0 +
Q9SL70 Q93Z27 +
Q9SL70 Q9LW45 -
Q9SL70 Q9C5C0 +
Q8LG64 Q8VYG7 -
Q8LG64 Q7X7A9 -
Q8LG64 Q8GYQ5 -
Q9C960 Q8W490 +
Q9C960 Q39010 +
Q9C960 Q9C9Q4 +
Q9C960 Q84MD8 +
Q9C960 O65373 -
Q9C960 O64817 +
Q9FM43 Q9SL70 -
Q9FM43 Q944J2 -
Q9FM43 Q9ZRF9 -
Q9S7H5 Q94A06 -
Q9S7H5 Q9M9C3 -
Q9FIW6 Q9FHQ3 +
Q9FIW6 Q39162 +
Q9FIW6 Q8LPR4 +
Q9C562 Q9FFN7 +
Q9C562 Q9M1Z5 -
Q9C562 Q9FHQ3 -
Q9C562 Q9LD45 +
Q9C562 Q6R0E4 -
Q38847 Q9LJL9 -
Q38847 Q9LNG8 -
Q38847 Q9LS24 +
Q9LD45 Q84JC2 +
Q9LD45 Q1H5F3 +
Q9FUD3 Q9SSF8 -
Q9FUD3 Q9C5C0 +
O64903 Q8LGD5 +
O64903 Q9M5K2 -
O64903 Q9M7Q2 -
O64903 Q9LDI3 -
O64903 Q84WC8 +
O64903 O64903 -
Q8H1D6 Q9ZPE4 -
Q8H1D6 Q9SYP2 +
Q8H1D6 Q9SUP6 +
Q8H1D6 Q9ZPX9 -
Q39024 Q39024 +
Q39024 Q94A06 +
Q39024 O22921 -
Q84WC8 Q9LZP8 -
Q84WC8 P92525 -
Q9FJK3 Q9FGX2 -
Q9FJK3 Q9SDB3 -
Q9FJK3 O49840 +
Q9C9Q4 Q8H1D6 +
O22176 O04336 +
O22176 O81346 +
O22176 Q9FME9 +
O22176 F4IIU4 +
O22176 Q9LNG8 -
Q7Y224 O80651 +
Q7Y224 Q949U4 +
Q7Y224 Q9XID3 +
Q7Y224 Q39140 -
Q9XID3 Q9LTW2 -
Q9XID3 Q9LZP8 +
Q9XID3 Q39024 -
Q9XID3 Q9M9V8 -
P29383 Q9FMY3 +
P29383 Q8GWV6 +
P29383 Q9SGN7 +
P29383 Q9M5K2 -
Q39140 Q8RWY0 +
Q39140 Q9C9Q4 +
Q9LX56 Q9SVG9 -
Q9LTW2 Q9FME9 -
Q9LTW2 Q9FFN7 +
Q9LTW2 Q39140 +
P27450 Q9ZUI9 -
P27450 Q8GYF5 +
EBI-1578952 Q5XXJ3 +
Q9LS24 Q9MAB4 +
Q9LS24 Q7XJK8 -
Q9LS24 Q9LJY7 -
Q5XXJ3 Q9LHI7 -
Q5XXJ3 Q9FJV0 -
Q9FL19 Q9M844 -
Q9FL19 Q9LX56 +
Q9FL19 Q9FGX2 -
Q9FL19 Q8LPR4 -
Q9FL19 Q9LZV7 -
O23552 Q9FGZ5 +
O23552 Q75QN6 -
O23552 Q9M2K4 +
O23552 Q9LJ68 +
O23552 Q9LV04 -
O23552 Q42479 -
Q8GY88 Q9LPK5 +
Q8GY88 Q9M7Q2 -
Q8GY88 Q8LE56 -
Q9LPZ9 O82754 -
Q9LPZ9 Q9C7R6 -
Q9LPZ9 P25069 -
