source target sign
Q8RWQ8 Q9LZP8 +
Q8RWQ8 O23320 +
Q8RWQ8 P30187 +
Q8RWQ8 O80651 +
Q8RWQ8 Q9S744 -
Q8RWQ8 Q9SUP6 -
Q8RWQ8 O64817 +
Q9M7Q2 P25071 +
Q9M7Q2 O23320 -
Q9M7Q2 P59220 +
Q9M7Q2 P25854 -
Q9M7Q2 Q9S744 -
Q9M7Q2 Q9FMC2 -
Q9M7Q2 Q8LG64 -
O65469 P25071 +
O65469 O23320 -
O65469 O23552 -
O65469 P59220 -
O65469 P43294 +
O65469 Q03509 -
O65469 P25854 +
O65469 Q9FJK3 +
O65469 Q4PSU4 +
O65469 P55737 -
P30187 C0LGH4 +
P30187 Q70E96 -
P30187 Q9M7Q2 -
P30187 O65469 -
P30187 Q5XXJ3 -
P30187 Q8GYF5 -
P30187 Q9ZVM9 +
P30187 O81292 -
P30187 Q9FIW6 -
P30187 O22179 +
P30187 Q8LE56 +
P30187 O80651 -
P30187 Q8GY88 +
P30187 Q42479 +
P30187 Q9SYS3 -
P30187 Q9SJX8 -
P30187 Q39010 -
P30187 Q8GY11 -
P30187 Q9LZP8 -
P30187 Q9SUP6 +
P30187 Q9LYL6 -
P30187 Q7X9N2 +
P30187 Q9SKN2 +
P30187 Q9M2K4 +
P30187 Q2V359 +
P30187 Q9LDI3 -
P30187 Q9LQ65 -
P30187 O22763 +
O80651 P25071 -
O80651 O23552 +
O80651 P59220 +
O80651 Q9LDI3 -
O80651 Q9SZ03 +
O80651 Q8GZ99 +
O80651 Q03509 -
O80651 Q5XXJ3 -
O80651 Q4PSU4 -
O80651 Q9LHI7 +
Q93Z27 P25071 +
Q93Z27 P59220 -
Q93Z27 P30187 +
Q93Z27 Q39026 +
Q93Z27 Q03509 -
Q93Z27 P27450 -
Q93Z27 Q9LV04 +
Q93Z27 Q8LG64 -
Q8VYG7 Q9FGZ5 -
Q8VYG7 P59220 +
Q8VYG7 P30187 -
Q8VYG7 Q03509 -
Q8VYG7 P25854 +
Q8VYG7 Q9FJK3 +
Q8VYG7 D3K0M2 +
Q8VYG7 Q8RWQ8 +
Q8VYG7 Q8LG64 -
Q9LYL6 Q8VYG7 -
Q9LYL6 Q8H1D6 -
Q9LYL6 Q93XM6 +
Q9LYL6 P59220 -
Q9LYL6 P43294 -
Q9LYL6 Q03509 +
Q9LYL6 Q8RWQ8 -
Q9LYL6 Q9S744 +
Q9LYL6 Q93Z30 +
Q9S744 C0LGH4 +
Q9S744 Q9M7Q2 -
Q9S744 Q9FGZ5 -
Q9S744 Q8H1D6 -
Q9S744 Q70E96 +
Q9S744 Q84WC8 +
Q9S744 Q9FJK3 -
Q9S744 O65469 -
Q9S744 Q9SSF8 -
Q9S744 Q9FMC2 -
Q9S744 Q9FIW6 +
Q9S744 Q9LSI9 +
Q9S744 Q8LE56 -
Q9S744 Q9LV04 +
Q9S744 O80651 -
Q9S744 Q8GY88 -
Q9S744 Q93Z27 +
Q9S744 Q93XM6 -
Q9S744 Q9SYS3 +
Q9S744 O64817 -
Q9S744 Q9SZ03 -
Q9S744 Q39010 -
Q9S744 Q9SUP6 +
Q9S744 Q8VYG7 -
Q9S744 Q9LX56 +
Q9S744 Q4PSU4 +
Q9S744 Q9ZPE4 -
Q39050 P25071 +
Q39050 Q8VYG7 +
Q39050 Q7X9N2 -
Q39050 P59220 +
Q39050 P30187 -
Q39050 Q9S744 +
Q39050 Q9SUP6 -
Q39050 Q8LG64 +
Q03509 C0LGH4 +
Q03509 Q9M7Q2 +
Q03509 Q8RWQ8 +
Q03509 Q9LV04 -
Q03509 Q9FGZ5 +
Q03509 Q8H1D6 +
Q03509 Q8GZ99 +
Q03509 Q84WC8 -
Q03509 Q9FJK3 +
Q03509 Q5XXJ3 +
Q03509 Q8GYF5 +
Q03509 Q9SSF8 +
Q03509 O81292 +
Q03509 Q9FIW6 +
Q03509 P27450 +
Q03509 Q9LSI9 +
Q03509 P59220 +
Q03509 O80651 +
Q03509 Q8GY88 +
Q03509 Q9LHI7 -
Q03509 Q9SYS3 -
Q03509 Q9ZPE4 +
Q03509 Q9SJX8 -
Q03509 Q39010 -
Q03509 Q39050 +
Q03509 Q93Z30 +
Q03509 Q9SZ03 +
Q03509 D3K0M2 +
Q03509 P55737 -
Q03509 Q7X9N2 -
Q03509 Q9SKN2 -
Q03509 Q2V359 +
Q03509 Q9LDI3 -
Q03509 Q9LQ65 -
Q03509 O22763 +
