source target sign
Q9SJX8 P59220 -
Q9SJX8 Q9S744 -
Q9SJX8 P25071 +
Q9S744 Q8LE56 +
Q9S744 Q9SGN7 +
Q9S744 Q9LYG8 -
Q9S744 Q9ZUI9 -
Q9S744 Q9FHZ1 -
Q9S744 Q9FMC2 -
Q9S744 Q9ZPE4 -
Q9S744 Q9FGZ5 -
Q9S744 Q8H1D6 +
Q9S744 Q8VYG7 -
Q9S744 Q38847 +
Q9S744 O64817 -
Q9S744 P83755 -
Q9S744 Q9M9C3 -
Q9S744 Q8W490 +
Q9S744 Q9FIW6 +
Q9S744 O49839 +
Q9S744 Q9FJK3 -
Q9S744 Q9SSF8 -
Q9S744 Q4PSU4 +
Q9S744 O80651 -
Q9S744 Q9LV04 +
Q9S744 Q9LJZ2 +
Q9S744 Q9M844 -
Q9S744 P93050 +
Q9S744 Q9SYP2 -
Q9S744 Q8LPR4 -
Q9S744 Q9LSI9 +
Q9S744 Q9SUP6 +
Q9S744 O49840 +
Q9S744 Q84WC8 +
Q9S744 Q9S7H5 +
Q9S744 Q70E96 +
Q9S744 C0LGH4 +
Q9S744 O65469 -
Q9S744 Q9SZ03 -
Q9S744 Q9M9V8 +
Q9S744 Q9FLV4 -
Q9S744 O23145 -
Q9S744 Q93XM6 -
Q9S744 Q9SND6 -
Q9S744 Q9LW66 +
Q9S744 O04567 +
Q9S744 Q93Z27 +
Q9S744 Q9LX56 +
Q9S744 Q9FGX2 +
Q9S744 Q29Q72 -
Q9S744 Q8GY88 -
Q9S744 Q9FM69 -
Q9S744 Q9SYS3 +
Q9ZUI9 P25854 -
Q9ZUI9 P30187 -
Q9ZUI9 Q03509 -
Q9SR07 P25069 -
Q9ZPE4 P25854 -
Q9ZPE4 P30187 +
Q9ZPE4 P25071 -
Q9FG20 P59220 +
Q8H1D6 P25854 -
Q8H1D6 P30187 -
Q8H1D6 P59220 +
P22953 Q9LYP4 -
P22953 O65373 -
P22953 P25071 +
Q9LZV7 P25854 -
Q9LZV7 O23320 +
Q9LZV7 Q03509 +
Q9LZV7 Q9S744 +
Q9LSI9 P30187 -
Q9LSI9 P59220 -
Q9FGF5 Q9S744 -
Q9SZ03 O23320 -
Q9SZ03 P25854 +
Q9SZ03 P59220 +
Q9SZ03 P30187 -
Q9SZ03 P25071 +
Q7Y224 P25071 -
Q682T9 Q9FHN8 +
O49396 P25071 -
Q9SV15 P25069 +
Q7FRS8 Q9LDI3 -
Q9M1Z5 Q9M1Z5 +
Q9M1Z5 Q9S7U9 -
Q0WPH8 P25854 -
Q84JC2 Q03509 +
Q84JC2 Q9S744 -
Q9LNX6 P25854 +
P27450 P25854 +
P27450 O23320 -
P27450 P59220 -
P27450 P30187 -
P27450 Q9S744 -
Q8RWY0 P25071 -
Q9LZP8 Q03509 +
Q9LZP8 O22763 +
Q9LZP8 Q9S744 +
Q9LZP8 P25071 +
Q9LJL9 P59220 -
Q9LJL9 Q9S744 -
Q9T074 P25854 -
Q9T074 Q9S744 -
Q9FG14 P59220 +
Q39026 Q39026 +
Q9FIK0 P30187 +
Q9FIK0 Q03509 +
Q9FIK0 Q9S744 +
O81292 P25854 -
O81292 P59220 +
O81292 Q9S744 -
Q39010 P25854 +
Q39010 P59220 -
Q39010 Q9S744 +
Q39010 P25071 +
O22921 Q39026 -
O81346 P59220 -
O65554 Q03509 -
O65554 Q9S744 -
Q8GY11 P25854 -
Q8GY11 O23320 -
Q8GY11 Q03509 +
Q8GY11 Q9S744 +
Q9M844 P59220 -
O04336 P59220 -
O48814 O23320 +
Q93XM6 P30187 +
Q93XM6 Q03509 +
O23552 P59220 -
O23552 P30187 +
O23552 Q03509 -
O23552 Q9S744 +
C0LGH4 O23320 -
Q8LG64 P59220 +
Q8LG64 P30187 -
Q8LG64 Q03509 +
Q8LG64 Q9S744 +
Q8LG64 P25071 -
Q9SDB3 Q9S744 -
O23320 Q9SYB9 +
O23320 Q8LG64 +
O23320 Q9LYL6 -
O23320 Q9FMC2 -
O23320 Q38876 -
O23320 Q9SYP2 -
O23320 Q9SJX8 +
O23320 Q84MD8 -
O23320 Q9LSI9 -
O23320 P29383 -
O23320 Q8GYF5 +
O23320 P93050 -
O23320 Q8LE56 -
O23320 O22179 +
O23320 Q9LFU3 +
O23320 O81292 -
O23320 O22763 -
O23320 Q9MAB4 -
O23320 Q8H1D6 -
O23320 Q8VYG7 +
O23320 Q7X9N2 +
