source target sign
F55B12.3 T07E3.5 -
F55B12.3 F38B2.1 +
F55B12.3 C06E1.1 +
F55B12.3 F10C1.7 -
F55B12.3 ZK131.11 -
F20C5.6 F32G8.6 +
F20C5.6 DH11.4 +
F20C5.6 C49G7.1 +
F20C5.6 W06F12.1 +
F20C5.6 T01G9.2 -
F20C5.6 F17A2.5 -
K12G11.3 F29G6.3 -
K12G11.3 K12G11.3 +
F39H12.1 F52C6.3 -
F39H12.1 C49A1.4 -
F39H12.1 F14F3.1 +
F39H12.1 T20G5.11 +
F39H12.1 F44G3.9 -
Y38H6C.14 K04G2.10 -
Y38H6C.14 K08F8.4 +
Y38H6C.14 C26C6.2 +
Y38H6C.14 H06I04.1 -
Y38H6C.14 F45C12.11 -
Y38H6C.14 Y54E2A.3 +
Y65B4BR.5 F01F1.9 +
Y65B4BR.5 C48D5.1 -
Y65B4BR.5 CC8.1 +
Y65B4BR.5 Y40C5A.1 -
Y65B4BR.5 Y55F3AM.3 +
Y65B4BR.5 Y65B4BR.5 +
Y65B4BR.5 F29G6.3 +
Y65B4BR.5 Y18D10A.8 +
Y65B4BR.5 K04H4.2 +
T19B4.5 T19B4.5 +
T19B4.5 Y41E3.7 -
T19B4.5 ZK1067.6 +
T19B4.5 C17D12.2 -
T19B4.5 Y40B10A.2 +
T19B4.5 F54D10.7 +
F22B7.13 C02F5.9 +
F22B7.13 C06A5.9 +
F22B7.13 C26C6.2 -
F22B7.13 C02C6.1 -
F22B7.13 F29G9.2 -
F22B7.13 W04D2.1 +
F22B7.13 T04H1.2 +
F22B7.13 Y37E11AR.2 +
Y69A2AR.30 F42G10.2 +
Y69A2AR.30 F10E9.3 +
Y69A2AR.30 F44G3.9 +
Y69A2AR.30 F37C4.5 +
Y69A2AR.30 Y119C1A.1 +
F32B4.4 F54G8.4 +
F32B4.4 C06G1.5 +
F32B4.4 F28D1.2 +
F32B4.4 C25A1.4 +
F32B4.4 W04D2.1 -
F32B4.4 F32B4.4 +
F32B4.4 F31C3.2 -
F32B4.4 W10C8.2 -
F32B4.4 T11B7.1 +
F32B4.4 W02G9.2 +
F32B4.4 F25E2.5 -
F32B4.4 T04F8.6 +
F32B4.4 F38A6.1 -
R166.1 Y75B8A.30 -
R166.1 D1054.2 +
R166.1 F01G10.2 +
R166.1 ZK1127.9 -
R166.1 Y39B6A.1 -
K02E10.2 C02C6.1 -
K02E10.2 T28A11.11 +
K02E10.2 Y55F3C.6 -
K02E10.2 F28D1.2 +
F54D10.7 C27B7.4 +
F54D10.7 Y17G7B.15 +
F54D10.7 T05H4.14 -
F54D10.7 F35G12.9 +
F54D10.7 F54D10.7 +
F54D10.7 C05C10.5 +
F54D10.7 T04H1.2 +
F54D10.7 B0507.1 +
F54D10.7 F32G8.6 +
F44F1.7 T17H7.4 -
F44F1.7 Y39B6A.11 +
F44F1.7 C06A8.5 -
F44F1.7 C18G1.2 +
F44F1.7 T12B5.6 +
C01B10.6 Y55F3AM.15 -
C01B10.6 F47B8.3 -
C01B10.6 CC8.1 -
C01B10.6 C18A11.7 -
C01B10.6 M03D4.1 +
C01B10.6 C04F1.3 +
C28H8.12 Y113G7B.23 -
C28H8.12 C28H8.12 -
C28H8.12 Y75B8A.30 -
C28H8.12 F10C1.2 -
C28H8.12 T11B7.1 -
C28H8.12 Y11D7A.12 +
C28H8.12 ZK593.6 -
C28H8.12 B0024.14 +
M04F3.1 F42D1.2 +
M04F3.1 F43G9.11 -
M04F3.1 C09G1.4 +
M04F3.1 Y63D3A.5 +
M04F3.1 F44G3.9 +
T06E4.3 F38A5.7 -
T06E4.3 W08G11.3 -
T06E4.3 T28F12.2 +
T06E4.3 F10E9.3 +
W01A11.4 T21B6.3 -
W01A11.4 ZK121.2 -
W01A11.4 R03G5.2 -
W01A11.4 C16B8.3 -
W01A11.4 F28D1.2 +
W01A11.4 R02F2.5 -
F49H12.3 C36C9.1 +
F49H12.3 Y105E8B.5 -
F49H12.3 DH11.4 +
F49H12.3 B0280.3 -
F49H12.3 F44G3.9 +
F49H12.3 C50E10.4 -
F49H12.3 F08B6.4 -
F49H12.3 R02F11.1 +
F49H12.3 B0507.1 +
F49H12.3 C08F8.8 -
T25C8.2 F14F3.1 -
T25C8.2 C49A1.4 -
T25C8.2 C05C10.5 +
