source target sign
YPL201C YIL053W +
YPL201C YER062C -
YOR288C YDR005C -
YDL224C YNR069C +
YDL224C YOL091W -
YJR130C YAR031W -
YJR130C YDR225W +
YLL036C YLR132C +
YOL148C YNR010W +
YOL148C YGR294W -
YOR215C YHR115C -
YOR215C YDR106W -
YFR002W YGL040C +
YDR207C YER025W +
YDR207C YOR301W -
YDR207C YOL148C +
YDR195W YPL159C -
YDR195W YIL050W +
YDR195W YHR177W -
YML031W YDL088C +
YML031W YLR017W +
YLL045C YER090W -
YLL045C YIL104C +
YEL018W YNL217W +
YEL018W YJR003C +
YDR121W YBR278W -
YDR121W YER015W +
YDR121W YFL002WA -
YML041C YDL055C -
YFL037W YKL157W -
YFL037W YGR213C -
YFL037W YOR265W -
YPR093C YDR059C -
YPR093C YNL135C -
YOR283W YDL029W -
YKL069W YKL069W +
YKL069W YGL172W -
YGL051W YGL051W -
YGL051W YML018C -
YGL051W YAR033W -
YDR513W YCR068W +
YDR513W YJL070C +
YDR513W YDR364C +
YDL070W YLR227C -
YDL070W YNR034W -
YBL068W YBR194W -
YBL068W YOL061W -
YKL068W YKL010C -
YKL068W YFR024CA +
YPL135W YDR229W +
YPL135W YMR030W -
YHR060W YDR469W -
YHR060W YGR020C -
YHR060W YPL019C +
YMR039C YPL122C -
YMR039C YPL059W +
YMR039C YMR316CB -
YNR068C YOL070C -
YMR028W YDL188C +
YMR028W YDL134C -
YMR028W YPR160W +
YHR035W YDL127W -
YER056CA YDR308C -
YER056CA YDR244W -
YMR232W YCR009C +
YMR232W YJL086C +
YER043C YLR011W -
YGR180C YLR446W -
YGR180C YKL214C +
YNL037C YOR136W -
YNL037C YNL049C -
YDL064W YJR070C -
YDL064W YER112W +
YDL064W YBL010C +
YOR281C YOR379C -
YJL030W YGL124C -
YDR240C YOL106W +
YDR240C YMR227C -
YDR240C YJR133W -
YNL118C YDL160C -
YNL118C YAL021C -
YNL118C YLR273C -
YKL040C YIL162W +
YKL040C YML011C -
YKL040C YGR196C +
YKL040C Q0085 +
YNL049C YPR181C +
YNL049C TORF47 +
YDR070C YOL059W +
YDR070C YDR088C +
YNL249C YNL249C +
YGR247W YOR327C -
YGR247W YOR014W +
YDR357C YGL079W -
YDR357C YDL088C -
YHR022C YJL138C -
YDR424C YOR006C +
YDR424C YOL109W +
YKL189W YHR102W -
YKL189W YDL110C -
YKL189W YJR003C -
YLR294C YOR042W -
YLR294C YDR086C +
YJL117W YDR008C +
YJL117W YJL154C -
YKL076C YKL211C -
YKL076C YIL001W -
YKL076C YHL033C -
YLR324W YLR324W -
YLR324W YPR028W -
YGR082W YBR241C -
YGR082W YLR335W +
YLR017W YPR017C -
YDR277C YDR183W +
YEL043W YPR171W +
YDR394W YGR163W +
YDR008C YEL023C -
YDR008C YOR377W +
YIL112W YGL024W -
YIL112W YPL173W -
YNL088W YMR060C +
YNL088W YMR219W -
YFR037C YMR091C +
YMR048W YOR124C -
YMR048W YOR318C -
YBR155W YDR434W +
YBR155W YKR096W -
YBR040W YKL166C +
YBR040W YBR247C +
YGL252C YGL252C +
YGL252C YGR027C -
YJL203W YLR031W +
YJL203W YDR177W +
YFL029C YPR054W +
YFL029C YDR027C -
YJL127WA YGR189C +
YJL127WA YOR347C -
YAL044WA YNL249C -
YAL044WA YDR098C -
YBL014C YBR186W +
YJL151C YOR302W +
YEL068C YLR323C -
YEL068C YDL071C +
YEL068C YAL049C +
YJR052W YJL135W +
YJR052W YLR442C -
YJR052W YJL151C -
YIL001W YPL053C +
YIL001W YJL200C +
YPR028W YGR004W +
YHR204W YER126C +
YHR204W YOL126C -
YCL021WA YGR133W +
YCL021WA YPR160W +
YER016W YGL061C -
YNL219C YEL042W -
YBR205W YPL159C +
YBR205W YIL053W +
YOR124C YOR138C +
YDL025C YJR125C -
YOR331C YBR182C -
YOR318C YBL051C +
YOR318C YGR163W -
YOR318C YBL057C -
YBR087W YGR223C -
YLR452C YER070W +
YLR452C YLL042C -
YLR452C YKL061W -
YDR013W YPR135W +
YDR013W YNR048W -
YDR505C YGR117C +
YDR505C YKL157W +
YDR505C YKR007W -
YKR026C YKR026C +
YFL010C YPR054W +
YER188W YHR169W -
YKL143W YDL110C -
YPL218W YDR386W -
YPL218W YDR382W -
YPL218W YNL204C +
YOL135C YGL036W -
YOL135C YCR063W -
YOL135C YDR308C +
YOL135C YFR037C +
YPR019W YDL217C -
YGL015C YDL216C -
YGL015C YFL038C -
YGR071C YNL182C +
YJR135C YPR046W +
YKL151C YOL059W +
YKL151C YLR439W +
YDR366C YER071C -
YDR366C YFR036W +
YDR366C YDR455C +
YMR095C YHR134W -
YMR095C YNL334C -
YPL161C YLR049C -
YKL008C YGR189C +
YKL008C YHL003C -
YKL008C YBL025W -
YPR083W YNL149C +
YKR022C YLR385C +
YJR047C YGR048W -
YJR047C YCR022C -
YJR047C YHR068W -
YPL157W YNR004W -
YOR101W YBR029C +
YOR101W YDR264C +
YOR101W YML028W -
YJL085W YGR013W -
YDR200C YNL127W +
YDR200C YMR267W +
YDR200C YMR052W -
YCL054W YOR283W -
YHR156C YML034W -
YHR156C YJR010W +
YLL027W YDR314C +
YOR020C YOR020C -
YBR029C YJR112W -
YLR117C YBR244W -
YLR117C YNL239W +
YLR117C YBR188C +
YDR192C YER087CA -
YOL018C YFR027W -
YOL018C YGL095C -
YDR516C YCL040W +
YDR516C YMR224C -
YER022W YML007W +
YHR161C YPL077C +
YMR024W YPR107C +
YMR024W YKL012W -
YMR024W YGR125W -
YGL095C YJR073C +
YDR115W YGR158C -
YDR115W YBR249C -
YDR115W YJL164C +
YDR115W YNL063W +
YPR135W YHL009C +
YDR261WB YDR244W -
YDR051C YNL201C -
YDR051C YDR051C -
YPR062W YPR062W -
YPR062W YGL229C -
YDR383C YHL031C -
YDR383C YLR315W -
YDR383C YLR082C -
YJR102C YML101C +
YJR102C YLR417W -
YJR102C YPL065W +
YLR440C YBR155W +
YLR440C YDR252W -
YLR440C YJR034W -
YOL126C YML055W -
YBR274W YLR420W -
YBR274W YLR114C +
YIL079C YOR020C -
YIL079C YDR192C +
YOL001W YPR018W -
YIR037W YMR016C -
YIR037W YCR050C -
YNL331C YFL029C +
YNL331C YDL168W -
YNL331C YNL331C +
YGR252W YDR045C -
YLR350W YGR284C +
YLR350W YER019W +
YDL002C YLR052W -
YDL002C YGL150C -
YDL002C YER092W +
YGR149W YGR284C -
YGR149W YAL036C +
YGL065C YJL203W +
YGL065C YCR021C -
YDL044C YNR032W -
YDL044C YHR140W -
YJR134C YJL061W +
YJR134C YLR015W -
YDL098C YKR011C +
YDL098C YNL122C -
YJR127C YGR142W +
YJR127C YOR210W -
YOR115C YKR068C -
YGR178C YHR121W +
YGR178C YDL053C -
YDL125C YMR317W +
YDL125C YKL159C -
YDL188C YGL170C +
YDL066W YLR399C +
YDL066W YLR392C -
YER079W YML114C +
YER079W YDL155W +
YJL137C YFR015C +
YJL137C YJL137C -
YOR368W YER116C +
YOR368W YPR062W +
YOR368W YMR182C +
YGR121C YER188W -
YGR121C YBR255W +
YGR057C YOR377W -
YML110C YNL263C -
YGL214W YLR435W +
YGL214W YKR062W -
YMR068W YIR016W -
YMR068W YJR127C +
TORF1 YJL083W -
TORF1 YKR011C +
YJR010W YJR010W +
YOL129W YGL221C +
YHR184W YHR184W +
YHR184W YJR050W +
YLL042C YDL235C +
YLL042C YGR286C +
YLL042C YDR422C -
YLR264W YDR315C +
YLR264W YER105C -
YGR263C YLR465C -
YJL200C YJL088W -
YNL122C YKL061W +
YPL204W YDR206W +
YFL038C YNR011C +
YDL246C YJR159W +
YDL246C YDL246C -
YGR081C YGL108C +
YGR081C YNL171C +
YGR081C YLR389C +
YOL145C YIL151C +
YOL145C YOR180C +
YOL145C YDR036C -
YBR198C YLR322W +
YMR091C YGR232W +
YMR091C YLR466W -
YIR018W YGL004C +
YBR123C YOR353C -
YHR115C YOR283W -
YER087CA YLR404W +
YDR084C YGL198W +
YDR084C YPR168W -
YDR323C YGL095C +
YDR323C YDL025C +
YDR323C YBR223C -
YOR167C YBR241C -
YOR167C YDR308C +
YDL154W YGL025C -
YDR167W YDR526C -
YGR196C YLR146C +
YDL164C YDR106W +
YPR119W YNR022C -
YPR119W YDR412W +
YPR119W YNL135C +
YOR232W YJL164C +
YJR125C YLR352W +
YJR125C YOR178C -
YOR359W YDL168W +
YML114C YDR167W +
YMR276W YMR077C -
YMR276W YFL010C -
YPL259C YNR004W -
YBR190W YJL030W +
YBR190W YBL014C -
YBR190W YDR167W +
YDR034C YER043C +
YKR010C YGL094C -
YKR010C YNL216W +
YOR025W YML101C +
YJL178C YDR252W +
YJL178C YPR110C -
YCR050C YDL168W +
YCR050C YIL039W +
YJL100W YDL106C +
YJL100W YPL100W -
YJL100W YHL031C -
YJL100W YLR032W -
YLR315W YOR331C -
YMR021C YMR021C -
YMR021C YJR039W +
YNL210W YGL030W -
YNL210W YMR165C -
