source target sign
YKL130C YCL028W -
YKL130C YDL160C -
YKL130C YNL189W -
YKL130C YLR245C -
YKL130C YLR295C -
YKL130C YMR314W -
YKL130C YKL130C -
YKL130C YDL013W -
YKL130C YGL172W -
YKL130C YLR072W -
YKL130C YIL105C +
YFL017C YOL059W -
YFL017C YDR429C -
YFL017C YPL111W +
YFL017C YNL314W -
YFL017C YMR047C +
YFL017C YFL017C -
YLL036C YOR108W -
YLL036C YAL034WA -
YLL036C YHR025W -
YLL036C YHR114W -
YLL036C YLR132C +
YKL142W YKL142W -
YKL142W YGL061C -
YKL142W YPR185W +
YKL142W YPL004C -
YKL142W YPL088W -
YKL142W YAL044WA +
YLR345W YLR345W -
YLR345W YNL334C -
YLR345W YAL032C -
YLR345W YML055W +
YLR345W YJL151C +
YLR345W YCR009C -
YLR345W YLR025W +
YLR345W YOR380W +
YGL051W YML051W -
YGL051W YOL083W -
YGL051W YGL051W -
YGL051W YFR024CA +
YGL051W YAR033W -
YDL070W YPR182W -
YKL068W YIL074C +
YKL068W YIL109C -
YKL068W YFR024CA +
YKL068W YOR304CA +
YKL068W YMR047C -
YKL068W YOL111C -
YPL135W YPL125W +
YPL135W YDR100W +
YPL135W YDR229W +
YPL135W YNL236W +
YPL135W YJR056C +
YHR060W YKL067W +
YHR060W YMR267W +
YHR060W YML110C +
YGL153W YHR025W -
YGL153W YHR060W +
YGL153W YGL198W +
YGL153W YGL153W -
YGL153W YDR256C -
YGL153W YNL218W -
YGL153W YPR105C +
YGL153W YLR291C -
YJL030W YER118C +
YJL030W YNL218W +
YJL030W YGL090W -
YJL030W YDR132C +
YJL030W YBR080C +
YJL030W YKL002W -
YJL030W YNL111C +
YJL030W YHR113W -
YJL030W YNL236W +
YJL030W YDR214W -
YJL030W YDR206W -
YDL017W YMR111C +
YDL017W YPL004C +
YBR103W YHL004W -
YBR103W YNL124W -
YBR103W YOR185C -
YBR103W YDR176W -
YBR103W YOL133W +
YBR103W YJL199C -
YBR103W YNL094W +
YBR103W YPR040W -
YBR103W YBR059C +
YNL249C YMR111C -
YNL249C YMR096W -
YNL249C YNL249C +
YNL249C YDR284C -
YKL189W YBR006W -
YKL189W YOL083W -
YKL189W YJL112W -
YKL189W YNL092W -
YKL189W YIL046W -
YKL189W YDR480W +
YJL117W YJL151C +
YJL117W YAR027W -
YJL117W YGL187C +
YJL117W YLR215C -
YJL117W YGR040W -
YJL117W YDR479C -
YLR324W YDL089W +
YLR324W YLR347C -
YLR324W YPR028W -
YLR324W YLR324W -
YLR324W YMR153W -
YLR324W YDR480W -
YMR047C YNL078W +
YMR047C YNL229C +
