source target sign
YBR133C YJL162C -
YPR017C YFL038C -
YPR017C YPL019C -
YDR505C YDR174W -
YEL015W YMR032W -
YDL127W YDR245W -
YJR013W YPL037C -
YJR013W YDL165W +
YPR191W YNR067C -
YPR191W YDR520C +
YGR083C YDR439W -
YGR083C YCR087CA -
YGR083C YPR153W +
YGR083C YCR083W -
YOR372C YBR217W +
YDL071C YAL028W -
YDL071C YHR105W -
YDL071C MEL1 +
YLR362W YKR083C +
YLR362W YNL219C +
YJL183W YFL009W -
YJL183W YOR362C +
YJL183W YOR025W +
YML014W YPR174C -
YFL017WA YDR516C +
YGR122W YGR196C +
YGR122W YMR033W -
YGR122W YMR276W +
YLR438CA YLR150W +
YLR438CA YOL135C +
YLR438CA YKR010C +
YLR024C YER182W +
YJL019W YJR133W +
YJL019W YBL068W -
YNR025C YKL103C -
YNR025C YBL035C +
YPL251W YMR165C +
YPL251W YDR394W -
YPL094C YPL111W -
YML092C YMR163C -
YOR043W YGL238W +
YGR172C YEL068C +
YGR172C YML014W -
YBR087W YDR063W +
YJR057W YER025W +
YJR057W YDL012C +
YJL110C YIL082W -
YJR127C YIL160C +
YJR127C YML038C +
YJR127C YOR167C -
YJR127C YLL017W -
YHL025W YMR052W +
YHL025W YMR314W -
YBR284W YIL045W -
YBR284W YOR025W +
YPL125W YLR157C -
YPL125W YNL099C -
YKL035W YML057W -
YGR110W YEL043W -
YGR110W YBL057C +
YNR022C YGR010W +
YEL013W YNR075W +
YEL013W YDR412W -
YMR186W YNL217W +
YMR186W YMR298W +
YJL097W YGR129W +
YGL090W YMR017W -
YGL090W YNL049C -
YGL090W YJL048C +
YGL090W YDL088C +
YGL090W YPL214C -
YPR107C YOL107W +
YMR104C YBR055C -
YMR104C YLR036C +
YMR146C YOR385W +
YMR146C YCR106W -
YMR146C YGR239C -
YJR075W YBL051C -
YJR075W YGR004W -
YLR181C YPR083W +
YLR181C YFR037C +
YLR181C YJR072C -
YLR096W YDR159W +
YLR096W YHR014W +
YDL208W YPR113W +
YDL208W YDR218C -
YDL208W YGR119C -
YDL208W YJR122W +
YDL208W YJR022W +
YDL208W YGL213C -
YKR068C YDR132C +
YDR085C YGR158C +
YDR472W YCR036W -
YDR472W YNL138W +
YDR472W YCL063W -
YDR472W YAL054C -
YBR162WA YDL224C +
YBR162WA YNL217W +
YBR162WA YMR129W +
YJL090C YOL082W +
YJL090C YMR052W -
YJL090C YMR121C +
YJL090C YDL025C -
YER056CA YJR094C +
YER056CA YKR014C -
YER056CA YLR465C -
YDR016C YEL013W -
YOR039W YDL134C -
YOR039W YGR286C +
YOR039W YBR255W +
YML025C YGR253C +
YML025C YER063W +
YML025C YLL042C -
YFL017C YAL062W +
YPR075C YGL094C -
YPR075C YLR089C +
YPR075C YKL181W -
YPR075C YJR046W -
YPR075C YKL113C -
YLR177W YBL037W +
YLR177W YHR180W -
YLR177W YJL127WA -
YGR046W YGR046W +
YGR046W YER144C +
YBR134W YOR032C -
YDR487C YDL044C -
YDR487C YPR054W +
YDR502C YGL192W -
YDR502C YMR024W -
YDR167W YHR058C +
YNL104C YPL208W -
YNL104C YHR074W -
YGR189C YGL154C +
YPL214C YPL259C +
YPL214C YLR257W +
YPL214C YJL075C -
YGR068C YHR135C -
YLL062C YNR004W -
YLL062C YLR333C -
