source target sign
YDR431W YPL094C -
YGL153W YER056CA -
YGL153W YOL105C +
YGL153W YGL153W -
YGL153W YCR036W +
YGL153W YDR256C -
YGL153W YLR291C -
YGL153W YPR105C +
YGL153W YDR036C -
YMR124W YER149C -
YMR124W YLR423C +
YMR124W YAL021C +
YMR316CB YPR149W -
YMR316CB YJR023C +
YDL001W YMR079W -
YDL001W YDL133W +
YBR260C YGR196C -
YBR260C YDR239C -
YBR260C YNL094W -
YHR068W YHR068W -
YLR157C YKL117W -
YDR233C YOR285W +
YBL058W YDL190C -
YBL058W YNL155W +
YBL058W YLR291C -
YJR102C YDR132C +
YJR102C YLR417W -
YJR102C YML101C +
YJR102C YPL065W +
YLR146C YPR069C -
YHL025W YLR438W +
YNL135C YER052C -
YNL135C YPL049C +
YFL039C YNL138W -
YFL039C YNL189W +
YFL039C YLR291C -
YFL039C YFL039C -
YFL039C YMR092C +
YGR129W YDR416W +
YPL049C YKL189W -
YPL049C YDR296W +
YPL049C YBL016W -
YPL049C YDL057W +
YPL049C YPL031C +
YPL049C YDR212W +
YPL049C YPR017C -
YPL049C YHR084W -
YPL049C YML064C -
YPL049C YGL181W -
YPL049C YER188W +
YPL049C YER180C -
YPL049C YDL189W -
YPL049C YGR268C -
YPL049C YNL189W -
YPL049C YPL049C -
YPL049C YBR261C -
YPL049C YDL239C -
YPL049C YCL066W -
YPL049C YDR480W +
YPL049C YIL105WA -
YJR052W YLR442C -
YBL016W YDR480W -
YGL036W YCL055W -
YOR108W YNL104C +
YOR108W YBR261C -
YOR108W YOR108W +
YGR123C YKL117W +
YOR124C YOR138C +
YJR072C YLR150W -
YJR072C YOR262W +
YJR117W YDR315C +
YJR022W YLR438CA -
YER107C YMR047C +
YNL023C YKL130C +
YKL197C YNL329C -
YGR058W YGR058W -
YKL035W YKL035W -
YKL035W YML064C +
YPR046W YCR106W -
YKL040C YCL028W -
YER017C YDL100C -
YOR358W YBL021C -
YJR135C YPR046W +
YDL126C YGL108C -
YDL126C YFL044C +
YDL126C YBR170C -
YLL017W YGR241C -
YCL024W YKR048C -
YLL046C YFR047C -
YER015W YER070W -
YDR140W YAR003W -
YJL086C YHR114W +
YNL154C YKL204W +
YNL154C YOR355W +
YNL154C YER079W -
YNL154C YDR264C -
YER056CA YDR244W -
YER056CA YML042W -
YDL160C YGR178C +
YDL160C YDL017W -
YDL160C YEL015W +
YIR034C YGL153W -
YGL198W YDR425W +
YGL198W YPL095C +
YKL067W YML064C -
YKL067W YLR347C +
YKL067W YKL067W -
YKL067W YNL189W +
YDR190C YPL235W -
YKL192C YOR124C +
YDR100W YLR108C +
YDR100W YPL094C -
YDR100W YML029W -
YDR100W YPL020C +
YDR100W YER101C -
YDR100W YBL069W -
YDR100W YPL100W +
YDR100W YMR024W +
YDR100W YMR079W +
YDR100W YPL218W -
YDR100W YDL164C +
YDR100W YKL003WA -
YDR100W YLR393W -
YDR100W YNL189W +
YDR100W YML110C +
YDR100W YBR261C -
YDR100W YDR100W +
YDR100W YGR223C -
YDR100W YGR177C -
YDR100W YNL198C -
YFL028C YER043C -
YDR378C YER146W +
YDR378C YLR438CA +
YBR223C YDR510W +
YIL095W YER144C -
YIL095W YGR241C -
YIL095W YLR206W +
YIL095W YHR161C +
YGL068W YDR361C +
YOR178C YIL045W -
YAL032C YDR532C -
YAL032C YDR416W +
YAL032C YNL229C -
YAL032C YLR423C -
YAL032C YJL112W +
YLL014W YML029W +
YLL014W YIR038C +
YER087CA YLR404W +
YER087CA YAR027W -
YER087CA YIR038C +
YDL084W YDR510W -
YDL084W YGL122C -
YDL084W YDL084W -
YOR223W YHL003C -
YKL017C YOL108C +
YBL025W YMR270C +
YER128W YPR173C -
YGL037C YGL037C -
YGL037C YBR261C -
YGL037C YPL070W -
YGL037C YNL189W -
YKR014C YMR258C +
YKR014C YOR370C -
YBR103W YJR141W +
YBR103W YHL004W -
YBR103W YIL112W -
YBR103W YPL173W -
YER174C YAL044WA -
YER174C YAL046C +
YER174C YGR262C -
YPL059W YNL047C +
YPL059W YIL105C -
YJL065C YDL012C +
YJL065C YDR121W -
YDR216W YAL054C +
YJL185C YMR204C +
YJL185C YCL056C -
YPL149W YIL033C +
YBR133C YDL154W +
YDL239C YKL103C -
YDL239C YGL153W +
YDL239C YAL028W +
YDL239C YKR034W +
YDL239C YLR098C +
YDL239C YML042W -
YDL239C YLR423C -
YDL239C YPL124W -
YDL239C YHR184W -
YDL239C YDR176W -
YDL239C YOR324C +
YDL239C YLR072W +
YDL239C YOR380W -
YGR003W YOL133W +
YIL122W YDR045C -
YIL122W YIL122W +
YIL122W YDL189W -
YIL122W YJL030W -
YDR273W YML051W -
YDR273W YDL239C -
YDR273W YFR052W -
YHR072WA YPL208W -
YJR047C YHR068W -
YNR052C YNL288W +
YNR052C YDR374C +
YNR052C YAL021C +
YJL200C YOL133W -
YDL209C YLL036C -
YER059W YJL084C -
YER059W YLR190W +
YER059W YDL224C -
YER059W YPL031C -
YDR529C YHR114W +
YOR181W YGR136W +
YGL104C YDR479C -
YMR316W YER125W +
YDR252W YGR134W -
YDR308C YML051W -
YPL260W YIL144W -
YPL260W YDL025C -
YOL018C YDL100C +
YOL018C YIR038C -
YOL018C YGL095C -
YOL018C YHR114W +
YJR010W YJR010W +
YJR010W YLR291C +
YJL048C YKL130C -
YNR030W YIR033W +
YNR030W YIR038C +
YNR014W YGR178C -
YMR257C YER125W +
YOR283W YOR229W +
YBL035C YNL102W -
YOR061W YOR039W -
YER016W YGL061C -
YGL145W YPR105C -
YJR074W YMR314W +
YJR074W YLR293C -
YFL017WA YHR113W -
YFL017WA YKR034W -
YCL029C YER016W +
YHR166C YPL124W +
YHR166C YLR451W -
YOR275C YPR173C +
YAL054C YNL189W -
YGL214W YLR435W +
YBR111C YLR245C -
YBR111C YPL070W +
YPR115W YNL201C +
YIL104C YNL124W +
YLR132C YGR267C -
YLR132C YNL286W -
YDR124W YDR063W -
YMR288W YNL286W +
YBR193C YER022W +
YBR193C YGL127C -
YBR193C YGR104C +
YBR170C YDL190C +
YGL208W YDR477W -
YGL208W YGL115W +
YCR004C YDR032C -
YOR164C YDL100C +
YOR164C YEL043W -
YOR164C YPR105C +
YDR489W YPL077C +
YDR489W YDR013W +
YDR489W YBL006C +
YOL059W YKR048C -
YOL059W YMR139W +
YOL059W YKL142W +
YFR049W YDR148C -
YFR049W YOR047C +
YBL026W YCR077C +
YLR227C YOR284W +
YGR047C YKR034W -
YOR026W YJL013C +
YOR026W YGR188C +
YDR455C YLR295C +
YDL154W YGL025C -
YDL154W YFL003C -
YDL154W YIL144W -
YDL154W YMR224C -
YJR056C YDR361C -
YJR056C YJR056C +
YOL145C YGL153W -
YPL203W YIL033C -
YKR094C YDR330W +
YLR288C YMR159C -
YLR288C YDR311W +
YNL025C YPL031C +
YNL025C YDL108W +
YOL012C YJL019W -
YOL065C YDR479C +
YCL056C YIL065C +
YCL056C YDR142C -
YHR211W YPL094C +
YHR211W YIR038C -
YGR195W YDR448W +
YGR195W YDR416W -
YML127W YFR037C -
YGL112C YMR236W +
YGL112C YOR220W +
YGL112C YMR255W -
YGL112C YBR198C -
YIR033W YLR268W -
YIR033W YPR174C -
YIR033W YDR434W +
YIR033W YOL126C +
YIR033W YNL111C +
YIR033W YER087CA -
YIR033W YML055W +
YIR033W YBR029C -
YIR033W YCR068W +
YIR033W YJL117W -
YBR273C YDL190C +
YBR273C YDR411C +
YOR180C YGL153W +
YOR180C YLR284C -
YOR355W YNL091W -
YOR355W YPR048W +
YOR355W YDR207C -
YOR355W YNL236W -
YOR355W YHL046C +
YOR355W YML051W +
YOR355W YGL150C -
YOL082W YOL034W -
YOL082W YDR122W -
YOL082W YOR353C +
YOL082W YCL033C -
YOL082W YNL189W -
YOL082W YGL156W +
YOL082W YDR311W -
YOL082W YPL135W -
YOL082W YHR113W -
YOL082W YDR207C -
YIL172C YDL012C -
YOR361C YDR429C +
YOL123W YGL122C -
YOL123W YCL028W -
YKL015W YGR057C -
YKL015W YML051W -
YKL015W YDL110C -
YBR264C YOR370C +
YOR014W YJR091C +
YJR058C YGL175C -
YGL054C YIR038C -
YOR155C YPL070W +
YOR155C YOR155C +
YOR155C YNL189W -
YLR447C YOR047C -
YLR447C YDR277C +
YLR447C YHR060W +
YBR188C YMR124W +
YDR526C YDL100C -
YNL094W YOR043W -
YNL094W YDR388W -
YNL094W YNL025C -
YLR190W YIL050W -
YLR032W YBR186W +
YDR203W YJR091C +
YLR113W YGL158W -
YLR113W YGR058W -
YLR403W YGR017W -
YLR403W YOR025W +
YIR038C YGL104C +
YIR038C YJR075W +
YIR038C YPR113W +
YIR038C YBR205W +
YIR038C YGL225W -
YIR038C YHR123W +
YIR038C YML038C +
YIR038C YJL117W +
YIR038C YNL263C -
YIR038C YDR284C -
YIR038C YBR243C -
YIR038C YBL091CA -
YIR038C YIR038C +
YIR038C YOR321W +
YIR038C YHR140W +
YIR038C YJR118C -
YIR038C YBL020W +
YPL091W YOL082W -
YKL142W YDR036C -
YKL142W YMR210W +
YKL142W YNL063W +
YKL142W YKL157W +
YKL142W YPL004C -
YKL142W YMR165C +
YKL142W YDR115W +
YKL142W YKL142W -
YDR214W YPL240C +
YDR214W YMR186W +
YDR214W YOL052C -
YGL024W YOL130W -
YAL044WA YDR098C -
YAL044WA YNL249C -
YLR181C YER128W -
YLR181C YDR486C -
YKL171W YGR203W -
YGL213C YBR059C +
YER023W YPL169C +
YER023W YER023W +
YGL053W YDL164C +
YGL053W YPR174C +
YGL053W YOR059C +
YGL053W YDR479C +
YGL053W YML029W -
YKR096W YBL051C -
YDR314C YML011C +
YCL054W YNL154C +
YNL263C YIR033W -
YNL263C YDR479C +
YNL263C YGR177C -
YDL005C YML051W +
YDR020C YDR020C -
YDR020C YNR012W +
YGR088W YNR052C -
YLR112W YHR114W -
YHR156C YJR010W +
YDR063W YBR234C +
YDR063W YKR034W -
YHR098C YJR048W -
YHR098C YPR181C +
YLR024C YGL058W +
YDR532C YFR008W +
YDR532C YIL144W -
YOR324C YDL015C +
YCL032W YDR032C -
YCL032W YLR362W -
YCL032W YLR423C +
YMR269W YKR026C +
YGR067C YOL116W -
YER179W YER179W -
YER179W YIL105C -
YKR022C YLR424W -
YOR109W YDR100W +
YDL029W YBR234C -
YPR105C YPR191W +
YPR105C YHR060W +
YPR105C YGR120C -
YPR105C YMR181C +
YPR105C YLR291C +
YPR105C YOR331C -
YNL171C YCR106W +
YPR173C YDR448W -
YPR173C YLR181C -
YPR173C YJR003C -
YNL127W YKR055W -
YCR060W YKL117W -
YDL022W YDR142C +
YNL273W YMR048W -
YOR301W YLR404W -
YLR209C YNL189W +
YER177W YKL168C +
YER177W YLR177W +
YGL090W YNL113W +
YGR179C YLR315W -
YGR099W YDL017W -
YGR099W YDR353W +
YGR099W YMR047C +
YGR099W YKL068W +
YFR002W YMR153W +
YDL065C YGR119C +
YDL065C YGR218W +
YDL065C YLR071C -
YDL065C YMR047C +
YDL065C YMR163C +
YER071C YIR003W +
YNL092W YML037C +
YNL092W YDR148C -
YNL092W YDR259C -
YNL092W YHR114W +
YNL092W YJR097W -
