source target sign
P39081 P25299 +
P47101 P26793 +
P47101 P53145 +
P35193 P40021 +
P35193 P29295 -
P35193 Q12527 -
P53088 P38729 -
P53088 P22204 -
P33296 P18900 -
P33296 P21147 +
P39523 Q07657 -
P39523 P38289 -
P39523 P40075 -
P39523 P40091 -
P33419 Q12365 -
P33419 P36160 -
P52891 Q05580 -
P52891 P11154 +
Q12009 Q03735 -
Q12329 Q04991 +
P32911 Q06525 +
P38289 P53112 -
P38289 P38634 +
P46995 P32447 -
P46995 Q03649 -
P35203 P01149 -
P35203 Q05931 +
P35203 P17106 +
P34222 Q03770 +
P34222 P48510 +
P34222 P53978 +
Q03508 Q12168 +
Q03508 P41807 -
Q03508 Q04322 -
P45976 Q06102 -
P00360 P38128 -
Q08457 P43614 +
Q08457 P40454 +
P34758 P33334 -
P34758 P32448 -
P34758 P53043 -
P32526 P40959 -
P37370 P10566 +
P37370 P02365 +
P38817 P48563 -
P38817 P52891 -
Q12326 P46655 +
P05753 P35189 +
P07260 P39936 -
P53823 P18410 +
P53823 P31115 +
Q12362 Q08553 +
Q12362 Q03103 +
Q08492 P54860 -
Q08492 P38158 -
Q08685 P39081 +
P07278 P41805 +
P07278 P38773 -
Q01329 P53939 -
P08458 Q06070 +
P08458 P38790 -
P08458 P32047 +
P37254 Q03944 -
P37254 P04449 +
P49687 Q12532 +
P43583 Q03790 +
P43583 P47150 +
Q12199 P39073 -
P27472 P53909 -
P27472 P36019 -
P27472 Q03919 -
Q06405 P25638 -
Q06405 P25044 -
P38704 Q06070 +
P38704 Q07505 -
P38704 P40187 +
P38704 P53741 +
P27692 P08539 +
P27692 P89105 +
Q08446 P05736 +
Q08446 P40187 -
Q12510 Q99296 -
Q12510 P36068 -
P50076 P53088 +
P50076 Q12427 -
P50076 EBI-10860871 +
P15274 P38790 -
P25389 Q02890 +
P25389 P41903 +
P00560 P22133 -
P00560 P08679 -
P54860 P39939 -
P54860 P07884 +
P54860 O13535 -
Q06412 P13134 +
P28791 P33891 -
P28791 P53839 +
P25044 Q06833 -
Q04322 Q07549 +
Q04322 Q08172 +
Q04322 Q12344 -
P53939 Q99299 +
P46683 P46151 +
P00729 Q08444 -
P35734 P32419 +
P35734 P32495 -
P35734 P32797 +
P04802 P46984 +
P04802 Q03770 -
P48562 P29366 -
P48562 EBI-11704038 +
P48562 P38128 +
P48562 P05066 -
P40450 P33334 +
P40450 Q08989 +
P40450 Q04964 -
P40450 P32380 -
O13531 P38720 -
O13531 P20095 +
P39564 P38181 +
Q12229 P32495 +
P08539 P30822 -
P33891 P15202 -
P33891 P52919 -
P48525 P53622 +
P48525 P35202 +
P38081 P21524 -
P38081 P32343 +
Q02199 Q02199 -
Q02199 P38182 -
P36123 P39705 +
P36123 P17505 -
P36123 Q03898 +
P36123 P40956 +
P54005 P32448 -
P54005 P53847 -
P54005 P46683 +
P39938 Q00453 +
P39938 Q12362 -
P39938 Q08645 -
EBI-11701334 P48567 +
EBI-11701334 P31115 +
P38998 Q12298 +
P38998 P37254 -
P39015 P53847 -
P25604 P40343 -
P25604 P23542 +
P38764 P42935 +
P38764 P35193 +
Q03780 P53901 +
Q03780 Q08645 -
Q03780 P39969 +
P02407 P38764 -
P02407 Q03210 -
Q03957 P46962 +
Q03957 P46963 -
P32830 P38128 +
P32830 Q06593 -
P33399 Q04491 +
P33399 P15274 +
P33399 P38243 +
P47150 P39707 +
P49367 P16120 +
P39707 O13531 +
P40106 P07260 -
P40106 Q08968 +
P34164 P38081 -
P34164 P39002 +
P34164 Q12326 +
P34164 P32561 -
P0C2H6 P00331 -
P0C2H6 P48581 +
P53108 P39707 -
P54007 P40036 +
P54007 P38009 -
P54007 P13712 +
Q08465 P40568 -
Q03330 Q03558 -
Q03330 P00925 +
P40494 P38631 +
P40494 Q12453 -
P40494 Q06604 +
P14120 P30952 +
P11154 P54007 +
P11154 P53839 +
P11154 P07271 +
P38243 Q07451 +
P38243 P08458 +
P38243 P04449 -
P36165 P53104 -
P36165 P22133 -
P36165 Q06593 -
P14681 P14681 +
P14681 P06784 +
P36037 Q01477 +
P36037 Q12326 +
P00950 P43601 -
P00950 P23542 +
P53622 O13563 +
P53622 P47150 +
P43534 P14120 -
P43534 P32383 +
P00817 Q03790 -
P00817 P50101 +
P00817 P08524 -
P43601 P22216 +
P43601 Q03018 -
P38523 P25374 +
P22141 P40303 +
P22141 P30822 +
P22141 P32343 -
P40036 P53193 +
Q92392 P40318 +
P49723 P49723 +
P49723 P09938 -
Q02872 P20438 -
Q02872 P38283 +
Q02872 P54781 +
P38632 P53067 +
P38632 P42884 -
P38009 P40568 +
P38009 P13365 +
P38238 P07269 -
P38238 P40095 +
P38238 Q08446 -
P16661 P32863 -
P16661 P36160 -
P53118 Q06063 -
P53118 Q01846 +
P08679 P25297 -
Q12018 P39014 +
P14242 P40014 -
P14242 P19073 -
P14359 P38523 +
P14359 P40187 +
P53083 P14359 -
P53083 P32797 -
Q3E757 P34758 +
P36019 P54787 +
P36019 Q06440 -
P36019 Q12179 +
P36006 P54780 +
