source target sign
Q04439 Q04439 +
Q04439 P34164 +
Q04439 P53759 -
Q04439 P32523 -
Q04439 Q01560 -
Q04439 P40021 +
Q04439 P53933 -
Q04439 P53145 -
Q04439 Q12365 +
Q04439 Q12446 +
Q04439 P40453 -
Q04439 P40563 +
P39081 P15873 +
P39081 P32793 +
P39081 P48510 +
P39081 Q12018 -
Q06142 P40073 -
Q06142 P29366 +
Q06142 P48837 -
Q06142 P06738 -
Q06142 Q02199 -
Q06142 P80667 -
P52891 P49723 +
P52891 P48510 +
P52891 P34164 -
P52891 P20095 -
P52891 P39969 +
P52891 P49686 +
P52891 Q02630 -
P52891 Q02629 +
P46995 P80210 -
P46995 P41816 -
P46995 P49723 +
P46995 P53864 +
P46995 P38074 -
P46995 P43603 +
P46995 P47129 +
P46995 P38205 +
P46995 P25604 +
P46995 P38081 -
P46995 P25561 -
P46995 P53874 -
P46995 P04802 -
P46995 P06367 -
P46995 P32614 +
P46995 Q05775 +
P46995 P10963 +
P53265 P33203 -
P53265 P43582 +
P53265 P46995 +
P53265 Q03780 +
P53265 P32793 -
P53265 P22696 -
P53265 Q01477 +
P53265 P38041 +
P53265 P40563 +
P37254 P38081 +
P37254 P25561 -
P37254 P43582 +
P37254 P53901 -
P37254 P22696 -
P37254 P40956 +
P37254 P53750 +
P49687 P00925 -
P49687 P48837 +
P49687 Q06142 +
P49687 P43582 -
P49687 Q12168 +
P49687 P40494 +
P49687 P49686 -
P49687 Q02630 +
P49687 P40453 -
P49687 P39015 -
P06103 P53104 +
P06103 P43582 +
P06103 P39743 +
P06103 P40021 -
P06103 Q01477 +
P06103 P06103 +
Q12510 P32835 -
Q12510 P53104 -
Q12510 Q06142 -
Q12510 P39743 -
Q12510 P25651 +
Q12510 P43603 -
Q12510 Q07505 -
Q12510 Q12344 -
Q12510 Q05166 +
Q12510 P38266 +
P15274 P32835 -
P15274 Q05979 +
P15274 Q06525 -
P15274 Q03898 +
P15274 P53864 -
P15274 P22696 -
P15274 P53281 -
P15274 P40318 -
P15274 P36006 -
P25651 Q00684 -
P25651 P32419 -
P25651 P48837 +
P25651 P32614 -
P25651 P25651 -
P25044 P33203 +
P25044 P43582 -
P25044 Q06525 -
P25044 Q07657 -
P25044 P48510 +
P25044 P04821 -
P25044 Q12122 +
P25044 P40318 +
P25044 Q08109 +
Q04322 P02829 -
Q04322 Q01477 -
Q04322 P08018 +
Q04322 P06367 +
Q04322 Q03780 -
Q04322 P40021 +
Q04322 P80667 -
Q04322 Q12344 -
Q04322 P04802 -
P04802 P25604 +
P04802 P33203 +
P04802 P53051 -
P04802 Q05775 -
P04802 P04821 -
P48562 Q08968 -
P48562 Q04439 +
P48562 P29366 -
P48562 P38753 -
P48562 P38266 +
P48562 P14681 -
P48562 Q12163 -
P48562 Q08409 +
P48562 P40563 -
P48562 P36006 -
P38081 P33203 +
P38081 P39940 +
P38081 P43582 -
P38081 P46995 +
P38081 Q02629 -
P38081 P53933 +
P38081 Q12400 -
P38081 P22696 +
P38081 P40318 +
Q02199 P53051 +
Q02199 P53933 -
Q02199 P48837 +
Q02199 P40494 -
Q02199 Q02199 -
Q02199 P32614 -
Q02199 P49686 -
EBI-11701334 P38090 -
EBI-11701334 P53864 +
EBI-11701334 P21524 +
EBI-11701334 P25651 +
EBI-11701334 P01094 -
EBI-11701334 P38205 +
P38998 P10591 -
P38998 P39940 -
P38998 P01094 -
P38998 P00817 -
P39015 P39940 +
P39015 P25561 +
P39015 P43582 -
P39015 Q06525 -
P39015 P33203 -
P39015 Q03919 +
P39015 P46995 +
P39015 P22696 +
P25604 P38753 +
P25604 P46655 +
P25604 Q06142 +
P25604 P39081 +
P25604 P39969 -
P25604 P32499 -
P25604 Q03919 -
P25604 P53104 -
Q03780 P25694 -
Q03780 Q12365 +
Q03780 P47068 +
Q03780 P39743 +
Q03780 P39969 +
Q03780 P38041 -
Q03780 P53281 +
P33399 P39940 +
P33399 P43582 +
P33399 EBI-11701334 -
P33399 Q12400 -
P33399 Q12163 +
P33399 P40318 -
P04821 Q00684 -
P04821 P41816 -
P04821 P35729 +
P04821 P08018 -
P04821 Q02630 +
P04821 P11154 -
P04821 P32523 +
P04821 P46655 -
P04821 P01094 +
P04821 P53145 -
P04821 Q06604 -
P04821 P53750 +
P34164 P39940 -
P34164 P39683 -
P34164 P43582 +
P34164 P46995 -
P34164 P38822 +
P34164 Q06142 -
P34164 Q12344 -
P34164 Q08109 +
P15891 P40073 +
P15891 P53933 -
P15891 P39683 +
P15891 P53145 -
P15891 P40494 -
P15891 Q05080 +
P15891 P39743 +
P15891 P0CF34 -
P40494 P38753 -
P40494 P00817 +
P40494 Q06706 -
P40494 P53145 +
P40494 P40073 -
P40494 P38822 -
P40494 P80667 +
P40494 P32499 +
P40494 EBI-11701537 -
P40494 P43603 +
P11154 Q00684 -
P11154 P43582 -
P11154 P46995 +
P11154 P38090 +
P11154 P14681 -
P11154 P40318 -
P11154 P22696 -
P11154 P10592 +
P14681 Q03919 +
P14681 P53901 +
P14681 P14681 +
P14681 Q05979 +
P14681 Q05775 -
P00817 P47128 +
P00817 P32419 +
P00817 Q03780 -
P00817 P40318 -
P49723 P49723 +
P49723 Q06525 +
P49723 P32614 +
P49723 P49686 -
P49723 P25694 +
P49723 Q05775 +
Q12018 P47137 +
Q12018 P49687 +
Q12018 P25694 -
Q12018 Q04322 -
Q12018 P25651 -
P36006 Q04439 +
P36006 P11353 -
P36006 P47068 -
