source target sign
P33203 P36160 -
P33203 P53864 -
P33203 Q12263 -
Q06405 P17505 -
Q08553 P49687 +
P17505 P12945 -
P17505 Q12527 -
P17505 P48581 -
P47066 P32835 +
P47066 P07279 +
P47066 Q92392 -
P47066 Q12527 +
P47066 EBI-11705578 +
Q12298 P15705 +
Q12298 P34244 -
P53010 Q12460 -
P07884 Q08465 +
Q01389 P13134 -
Q01389 P38701 -
Q01389 P40989 +
Q12306 Q06524 -
Q12306 Q03944 +
P89105 P32490 +
P05030 P32347 -
P05030 P53974 +
P38934 P38631 +
P38934 Q01477 +
P40513 P32419 +
P40513 P06787 +
P40513 P25389 +
P40513 Q08647 +
P15108 P53281 +
P15108 Q08912 +
P15108 P33399 -
P15108 Q05580 -
P15108 Q12326 -
P25345 P40956 -
P25345 P34252 +
P24814 Q00402 +
P24814 P40825 -
P24814 P53193 +
P38692 P32561 -
P00950 O13563 -
P00950 Q03306 +
P00950 P53982 -
P00950 P48837 +
P04821 P34245 +
Q07549 P25389 +
P39940 Q07622 -
P39940 P53901 +
P22204 P25293 +
P22204 P38790 -
P22204 P05736 +
P53153 P14737 +
P53153 P53738 +
Q99312 P31374 -
Q99312 Q06440 -
Q99312 P47022 +
P32830 P49367 -
P32830 P35189 +
Q03210 P40477 +
Q03210 Q12451 +
Q03210 Q08912 +
Q03210 P38697 -
P53169 P04821 -
P40450 P04050 +
P40450 Q6Q5H1 -
P40450 Q03944 -
P32383 P43534 +
P16474 P53955 -
P16474 P25298 +
P16474 P32581 -
P25044 P39523 -
P40106 P39705 +
P40106 P23301 +
P39015 P38283 +
P39015 P33442 -
Q08975 P34077 +
Q08975 P10356 +
P53189 Q06697 -
P11986 P10659 -
P11986 P53067 +
P11484 P53094 -
P38886 Q08032 -
P38886 P89105 -
P38886 P39015 -
Q05580 P21524 +
P22138 P02406 -
P22138 P15891 -
Q06224 P38283 +
Q06224 P40969 -
P32505 Q08172 -
P32505 P37254 +
P53104 P00924 +
P53104 P21242 +
P53104 P22216 +
P32047 P41816 +
P38140 Q06597 -
