source target sign
Q02629 P49687 -
Q02629 P35729 -
Q02629 Q02629 -
Q02629 Q06142 -
Q02629 P46673 -
Q02629 P34077 +
Q02629 Q02199 -
Q02629 Q99257 +
Q02629 P38181 -
P31787 Q06525 -
P04050 P0CG63 -
P04050 Q03957 +
P47137 P39940 +
P47137 P46995 -
P47137 P40318 +
P47137 P43582 +
P47137 P22696 -
P47068 P32526 +
P47068 P38870 -
P47068 Q04439 -
P47068 P53750 -
P47068 P47022 -
P47068 P53933 -
P47068 Q03497 -
P47068 Q06833 -
P47068 P39938 -
Q06525 P20095 -
Q06525 P23254 +
Q06525 P10963 -
Q06525 P53089 -
Q06525 P06787 +
Q06525 Q06405 +
Q06525 P34164 +
Q06525 P53051 +
Q06525 P15019 +
Q06525 P53839 -
Q06525 P00817 +
Q06525 P87282 -
Q06525 P37254 +
Q06525 P80210 +
Q06525 P06367 +
Q06525 P32381 -
Q06525 P38081 +
Q06525 P06738 -
Q06525 P47137 +
Q06525 P14120 +
Q06525 P36140 +
P41805 P0CG63 -
Q06508 P39940 +
P53145 P0CF34 +
P00360 P0CG63 +
P36060 P39940 +
P36060 P33203 +
P33296 P0CG63 +
P53083 P39940 +
P15496 P33203 -
P15496 P39940 -
Q12532 P39743 +
P53955 P39743 -
P53955 P43603 +
P53955 P80667 +
P53146 Q12745 -
P53094 P36006 -
Q12168 P53281 -
Q12168 P38753 -
Q12168 Q04439 -
P53847 P33891 -
P12612 P43582 -
P35729 P35729 -
P80667 P40956 +
P80667 P47129 -
P80667 P40453 +
P80667 Q12168 +
P80667 P40563 -
P80667 Q03497 +
P80667 Q12446 -
P80667 P08018 -
P80667 P53901 -
P80667 P25604 -
P80667 P53750 -
P80667 Q06833 -
P80667 P33400 +
P80667 P53112 -
Q02630 Q02199 -
Q02630 P35729 -
Q02630 Q02629 -
Q02630 P53011 -
Q02630 Q02630 +
Q02630 P52891 -
Q02630 P46673 +
Q02630 Q06142 +
Q02630 Q01560 -
Q02630 P49686 +
Q02630 P34077 -
Q02630 Q99257 +
Q08647 EBI-10860871 -
Q08647 EBI-11701537 +
Q04697 P40318 -
Q04697 P33203 +
EBI-11701336 Q12400 +
P41816 Q08409 -
P41816 P22696 -
P41816 P39940 -
P39935 P07260 -
P15873 P15873 -
P15873 P43605 +
P15873 Q12306 -
P15873 P26793 -
P40087 P0CG63 -
P30952 P53076 +
P30952 P40318 -
P30952 P33203 -
P30952 Q06525 +
P20676 Q06142 -
P26783 P0CG63 -
P38289 P39743 +
P38289 P32793 -
Q12163 P53750 -
Q12163 Q03497 +
P38041 Q12510 +
P38041 P40095 +
P38041 P21827 -
P38041 P47150 +
P38041 O13561 +
P38041 Q12168 +
P38041 Q12267 -
P38041 P40020 -
P53901 P39743 -
P53901 P43603 -
P53901 P32793 +
P40484 P22204 -
P11154 P40318 -
P11154 P43582 -
P11154 P22696 -
P53874 P43582 -
P53874 P22696 -
P53874 P33203 -
P33400 P39743 -
P33400 P43603 -
P07884 EBI-11701296 -
P25335 P38041 +
P11353 P46995 -
P22696 P53864 +
P22696 P21242 +
P22696 O13550 -
P22696 P06787 +
P22696 P01094 -
P22696 P46984 -
P22696 P39683 -
P22696 P30952 +
P22696 P00925 +
P22696 P40217 +
P22696 P38934 -
P22696 P40959 -
P22696 P48559 -
P22696 P36019 -
P22696 P12612 -
P22696 Q06597 -
P22696 P23254 -
P22696 P49723 +
P22696 Q03919 +
P22696 P38158 +
P22696 P38758 +
P22696 P33399 +
P22696 P32803 +
P22696 P46683 +
P22696 P11353 -
P22696 P07278 -
P22696 P00817 +
P22696 P38729 -
P22696 Q12306 +
P22696 P32381 -
P22696 P15496 -
P22696 P34164 -
P22696 P53839 +
P22204 P38074 +
P06367 P43582 +
P06367 P22696 -
P04802 P33203 +
P04802 P04821 -
Q05580 P15891 +
P54005 P39940 -
P53064 P04050 +
P40483 P33203 -
P40483 P53281 +
P40483 Q06449 -
P43534 P39940 +
P40217 P39940 -
P40217 P06103 +
P40217 P40318 +
P40217 P33203 +
P54780 P0CG63 -
P39081 P25299 +
P46680 P39940 +
P46680 P40318 -
P32855 P43603 -
P32803 P33203 -
Q02208 P25651 -
EBI-11701622 Q08647 +
P25044 P33203 +
P25044 Q06525 -
P25044 P40318 +
P25044 P43582 -
Q08873 P15891 +
P07834 P38779 -
P40095 P39969 -
P54007 P40318 -
Q12122 P46995 +
Q12122 P43582 +
Q12122 P22696 -
Q12122 P33203 -
P06787 P46995 +
P06787 P33203 +
P06787 P32380 -
P06787 P43582 +
P06787 Q04439 +
Q08109 P43558 +
Q08109 Q04228 +
Q08109 Q08109 +
P15019 P22696 +
P47075 P0CG63 -
P48837 P49686 +
P48837 Q02630 -
P48837 P52891 -
P48837 P48837 +
P48837 P38181 +
P48837 Q02629 +
Q04991 P43603 +
O13528 P39940 +
P08018 Q12163 -
P08018 P40073 -
P08018 P47068 -
P40020 P39969 +
P05753 P0CG63 +
Q07549 P39940 +
P53104 P38182 +
P53104 Q12292 +
Q06628 P53104 -
P38827 Q02574 +
P38827 P61830 +
P31115 EBI-11681759 -
P32419 P22696 -
P32419 P39940 +
Q08444 P40318 -
Q12510 P39743 -
Q12510 P43603 -
Q08273 Q12018 +
Q08273 P07834 +
P43614 P47068 -
P43614 P04821 +
P32793 Q12510 -
P32793 P40956 -
P32793 Q12200 +
P32793 Q12168 -
P32793 P25604 +
P32793 Q04749 -
P32793 P32790 -
P32793 P53118 +
P32793 P32855 +
P32793 Q12446 -
P32793 P33400 -
P32793 P15891 -
P32793 Q12164 -
P32793 Q07657 -
P32793 Q12199 -
P32793 P53189 +
P32793 P38870 -
P32793 P36123 -
P32793 P32863 +
P32793 P38266 -
P32793 P53933 -
P32793 Q04322 +
P38634 Q00684 -
P38634 P32485 -
P05030 P0CG63 +
Q12453 P33418 +
Q12453 Q02630 -
Q12463 P53738 -
Q12164 P39743 -
Q03957 P46962 +
Q03957 P46963 -
P38009 P39940 -
P38009 Q06525 +
P38009 P40318 +
EBI-11703618 P53738 -
EBI-11703618 P38205 -
P31374 P39743 +
P32521 Q04439 +
P40454 P43582 -
P38729 P43582 +
EBI-10957299 P33322 +
P53076 P00950 -
P53076 P47137 -
P53076 P38081 -
P53169 Q05080 -
P38283 P24869 +
P53735 Q04439 -
P06784 P32917 -
P32614 P43582 +
P32614 P22696 +
P15108 P0CG63 -
P02829 P02829 +
P02829 P0CG63 +
P47043 P43603 +
P39955 Q04439 -
P39955 Q05080 +
P38870 P43603 +
P25345 P33203 +
P06103 P06103 +
P06103 P32497 +
P06103 P38249 -
P22141 P40303 +
P38998 P39940 -
P22082 P47068 +
P32490 P38822 -
P36036 P43603 +
P36036 P32793 -
EBI-11701334 P38238 +
EBI-11701334 P38205 +
EBI-11701334 P31115 +
EBI-11701334 P48567 +
P53750 P15891 -
P53750 Q06449 +
