source_entrezID	target_entrezID
672	55284
6925	3398
7316	27342
5925	196
3297	27145
652968	54468
93343	7251
7321	7337
10844	440145
5500	10155
3937	5335
409	6949
9577	79184
7128	7533
1540	7189
5516	28227
8464	112869
8045	7159
3660	8850
5501	23076
23118	10454
5321	6281
4688	5879
11073	1869
25847	29945
94121	6812
64326	10221
6667	6597
5579	10399
999	3728
5591	3609
4609	57634
5701	11047
4739	1398
23595	5000
7316	7316
5600	7867
10140	29883
169792	83737
26146	60
55662	140462
1786	80854
2958	6908
661	9533
11051	11052
10095	10092
7016	7529
9894	80185
2058	5917
672	51720
1213	9146
55613	66036
27161	11218
11060	11060
3320	367
8737	330
9111	672
5058	2099
5930	4904
6615	3066
26088	1213
5929	4297
1111	8451
5335	2885
6654	6453
6667	3064
1877	3065
9400	5436
26190	8454
8452	90293
79101	9015
1616	6613
10980	8453
6667	1051
4691	7150
2475	1978
54165	9040
5499	286262
5599	5609
23291	8454
7398	5111
914	23607
3308	5071
5591	9701
30011	6456
5566	5577
867	7316
1791	25841
84164	9325
11267	84313
5565	5571
114609	7099
5356	4670
55917	5518
6810	6814
1459	26053
675	580
4792	8454
5292	3320
9846	5295
142	1024
8428	29966
3265	5900
6135	7157
7157	3301
6605	196528
6886	4005
55588	9477
10670	64121
55729	9869
2885	11184
84246	112950
3476	5537
10498	1387
25	672
57697	2175
10250	23524
6598	4609
5966	5970
83737	7322
84557	8878
23291	8945
9903	8452
8864	7157
6337	4734
2246	3313
10987	8454
10657	3190
10336	1459
3065	4609
2885	3937
5886	7186
1033	1017
1499	4221
9129	26121
5468	10499
80204	6500
10980	8065
10598	2289
8563	80145
6597	5977
5265	10956
991	11186
3735	7965
8517	59343
81565	5048
9874	55723
3178	4670
4609	904
7291	6929
5709	5714
55829	79139
64837	3799
11065	11065
10980	53339
1459	984
408	4792
351	320
7189	4217
4722	4719
4193	7323
8454	1017
80143	5518
8202	2033
8676	8773
2113	51567
10987	8533
648	7323
7329	9759
3708	767
10213	7337
27125	1025
10616	7323
8295	112869
4172	4176
8850	2122
408	9221
6915	8766
841	356
10419	10273
3660	3607
1956	160
10933	23309
5686	5688
10980	2873
8110	6595
1386	5599
4791	55294
79657	8607
4068	8832
22938	6497
331	8767
5719	5718
3398	6921
11329	81532
65018	7052
6118	2547
596	23770
85369	5515
6045	8338
8661	8667
29993	29763
5925	3065
79728	5888
6598	6760
1315	375
4088	1499
8161	6606
6915	134430
8450	55832
9474	25851
2885	51517
3320	7048
581	4170
5704	5708
5901	5902
