source target sign
P36406 Q13404 -
Q8NCQ5 Q96SB4 +
Q92769 P68400 -
Q92769 Q96ST3 +
Q16568 P40199 -
Q6IAW1 Q13501 -
Q8N4C8 Q5VY09 +
P45984-1 P40763 +
P45984-1 P05412 +
P45984-1 P15336 -
Q9NRA0 P07948 +
Q9NRA0 P06241 +
Q92466 Q01094 +
P02008 P02100 -
P26010 P21333 -
P26010 Q9UBP9 -
P26010 Q63HR2 +
Q9UIV1 P50616 -
Q9UIV1 A5YKK6 -
O43639 P04626 +
O43639 P48059 -
O43639 Q16513 +
O43639 P21860 +
O43639 P10721 -
O43639 P48023 +
O43639 P78362 +
Q9NP70 Q96MK3 +
O43426 P16333 -
O43426 Q99962 +
O43426 O95400 +
O43426 P49418 -
P14174 Q92905 +
P10909 P30101 -
P11684 P02751 +
P60953 Q5VT25 -
P60953 O00401 -
P60953 P19525 +
P60953 P42768 +
P60953 P25054 -
P60953 Q07960 +
P60953 Q13576 -
P60953 Q96N96-1 +
Q9BZQ8 P31749 +
B3KMQ7 Q96SB4 +
P19419 P28482 -
P19419 P27361 +
Q99460 Q16186 +
Q9H165 Q00534 +
Q9H165 P11802 -
O95259-2 P62158 -
Q92619 P63000 -
Q9BXI6 O14745 +
O15034 P62136 -
O60636 Q92569 +
P13807 Q96RG2 +
EBI-1178037 O75164 +
Q8TAK5 Q9NWT6 +
O00213 P00533 +
O00213 P04626 +
O00213 Q07954 -
Q8ND25 P51668 -
Q8ND25 P51965 -
Q96SD1 P49917 -
P46527 P07948 +
P46527 Q00535 +
P46527 O15111 +
P46527 P62837 +
P46527 P20248 -
P46527 2.7.11.22 -
P46527 P22314 -
P46527 P12931 -
Q99741 Q13415 +
Q99741 Q13416 -
Q99741 P25205 +
Q99741 Q9H211 -
Q99741 O43913 +
Q99741 Q9UBD5 -
Q99741 P38936 +
Q99741 Q7L590 -
Q99741 P11802 +
Q13114 Q92844 +
EBI-5773845 Q9Y6K9 +
P84157 Q8IXL6 -
Q01105 P68400 -
Q9NYJ8 P0CG48 -
Q9NYJ8 Q14457 -
Q03135 P18031 +
Q03135 Q16881 +
O15265 P62807 +
O15265 Q9BX66 -
Q06787 Q06787 +
Q06787 Q7L576 -
Q06787 Q96F07 +
Q9UKT4 O60447 +
P52756 Q9UMS4 +
Q86VP1 P0CG48 -
Q86VP1 O15111 -
Q9H2D6-5 P54274 -
Q01831 P19447 +
Q01831 O15527 +
P07910-2 P68400 -
Q92932 Q8IXL6 -
P84077 O60271 +
O96028 P10275 -
Q8TAQ2-1 P68400 +
O00255-2 Q00653-PRO_0000030322 +
Q63ZY3 P68400 +
Q7Z4I7 Q5S007 -
Q15746 P19105 -
P04632 P17655 -
P11912 P02751 -
A1X283 P48023 +
P06703 Q02790 +
P06703 P04637 +
P06703 Q00987 +
Q9HAW7 Q02156 +
Q14974 A9QM74 +
Q14974 O00505 -
Q14974 Q14974 +
Q14974 P51178 -
Q14974 O00629 -
Q8N4C6 Q9Y224 +
Q8IZP0 P42684 +
Q8IZP0 Q9ULV8 -
Q8IZP0 P20936 +
Q8IZP0 Q13322 -
Q8IZP0 O00459 -
Q8IZP0 Q07889 -
Q8IZP0 P12931 +
Q8IZP0 P06241-2 -
Q8IZP0 P46108 +
Q8IZP0 P52735 -
Q8IZP0 P06241 +
Q8IZP0 P08631 +
Q8IZP0 B5MC15 -
Q8IZP0 P07332 -
Q8IZP0 Q13191 +
Q8IZP0 P07947 +
Q16539-3 P49790 -
Q7RTN6 Q15831 +
O14862 Q9ULZ3 +
O14862 O14862 -
P18847-3 Q04206 +
P01344 P11717 -
Q8NGJ0 P78362 -
Q9P270 Q96SB4 -
EBI-2462654 Q6ZN17 -
O60756 P78362 -
Q9UKW4 P10721 +
Q9UKW4 P10275 +
Q9UKW4 P04626 +
Q9UKW4 P21860 -
P29466 P29466 -
O95793 Q96SB4 +
P49757-1 Q05513 +
Q86YD7 P78362 -
P17706 P60953 +
P30622 P68366 +
O75943 O60934 +
Q8N2S1-3 P35555 -
Q8IYU2 O75604 -
Q6PB30 P78362 -
Q6PB30 Q96SB4 +
P51178 P21980 -
Q9NQC7 P0CG48 +
Q8N2Q7 P78352 +
Q9NWM3-1 Q9Y6K9 -
Q99549 P68431 +
P15529 P01024 -
P15529 P78504 +
Q05066 Q15599 +
Q13177 Q13177 -
Q13177 P53667 +
Q99708 Q5S007 +
P41240 P23467 -
P41240 P41240 +
P41240 Q15262 -
P41240 P17302 +
P41240 P23470 +
O75494-1 P68400 -
Q12959 Q96KB5 +
Q15788 EBI-12519384 +
Q15788 Q92841 +
Q15788 Q13133 -
Q15788 P35398 +
Q15788 Q07869 -
Q15788 P19793 -
Q15788 Q96RI1 -
P17544 P17544 -
P17544 P17275 -
P17544 P18847 -
P17544 P53567 +
P17544 Q14494 -
Q8IYS0 Q9UGN5 +
O00220 P50591 +
Q96MY1 Q96SB4 -
EBI-2462652 Q6ZN17 -
Q15291 Q03164 +
Q15291 P61964 +
Q15291 Q9UBL3 -
Q13625 P62826 +
Q13625 Q13625 +
Q13625 Q04206 -
Q13625 Q07817-1 -
Q13625 P04637 -
Q13625 P10415 -
Q9BQ95 Q9Y285 +
P19105 Q5VT25 +
P08559 Q9P0J1 -
P08559 Q15119-1 -
P08559 P31751-1 +
P08559 Q15118-1 -
P08559 Q15120-1 +
P08559 Q15118 -
P08559 Q16654 -
Q15637-2 O95400 +
P35268 P78362 -
P37840-1 Q04917 +
P37840-1 P37840-1 +
P46934 Q9Y4G8 -
P46934 P11362 -
P46934 P61077 -
P46934 Q9BXW4 +
P46934 P60520 +
P46934 Q9Y3C5 +
P46934 Q9H0R8 -
P46934 P51168 -
P46934 O95400 +
Q6P2H3 Q13404 +
Q6P2H3 P22314 -
Q6P2H3 P61088 +
Q16520 P53567 -
Q16520 P17275 -
Q16520 O14867 +
Q16520 Q9Y2D1 +
