source target sign
Q13103 Q16654 -
Q13103 Q8N8B7 +
EBI-11175670 Q8N108 +
EBI-11175670 O95376 +
Q9UBF1 Q9GZV5 +
Q9UBF1 Q96IY1 -
Q9UBF1 Q86UT5-2 +
P40199 P43403 +
P40199 P08621-1 -
Q92673 A6NJZ7 -
Q13224 Q9P2Y5 +
P10321 O95503 -
P10321 O14757 -
P10321 Q6IN85 +
Q9NQS7 Q9Y6K1 -
Q9NQS7 P53370 +
Q8NB25 O14936 -
Q9UKW4 Q9UBQ5 -
Q9UKW4 Q9H8V3 +
Q9UKW4 P10636-6 -
P05089 P41231 +
Q96FV3 P18847 -
Q96FV3 Q7Z6J0 -
Q96FV3 P19525 +
P06729 Q8WZA0 +
Q14011 P23297 -
Q14011 Q6ZVD8 -
Q68CZ2 Q15427 -
Q9H4G0 Q13131 +
Q9H4G0 Q9NUQ6-1 -
P78344 O15111 +
P78344 P41145 -
P78344 P55209 -
P78344 P55036 -
P29372 P28799 +
Q05066 Q92988 -
Q05066 Q8N2Q7 +
Q05066 Q8NEB9 -
O14746 P31751 -
Q8WV48 P41235 -
Q8WV48 Q8WWK9 -
Q8WV48 P42696 +
O60331-4 P19827-PRO_0000016507 -
O60331-4 P30622 -
O43852-1 Q8N5H7 +
O00273 P60660 +
P01892 Q13243 -
P01892 Q8NDX6 +
P01892 Q8IZQ1 +
P01892 O75909 +
Q6ZMI0 Q96GM8 -
Q9NWM3-1 Q12805 -
Q9NWM3-1 Q9UHD8 -
Q9H8S9 P11362 -
Q96J92 Q99459 +
Q96J92 Q13325 -
EBI-2922463 P51003 -
EBI-2922463 Q13418 -
O15520 Q9H1Y0 +
O15520 P35269 -
O60516 Q7Z4V5-2 +
O60516 Q96GA3 -
P63098 O60543 -
P63098 Q07817 +
P35241 Q9Y4P1 +
G3V219 Q8NA82 +
G3V219 Q68DC2 -
P22681 Q9UBZ4 -
P22681 P02741 -
P22681 Q9GZV5 -
O14793 O14492 -
Q13442 Q9H9J4-2 -
"ORPHANET Q9Y3R0 -
"ORPHANET P49643 -
P45984-1 Q68EM7 +
P45984-1 P55081 +
Q01130 P19256 -
Q01130 P30685 +
P61769 Q9NX63 -
P61769 P48357-1 -
P61769 P11177 -
P61769 P01133 -
Q5T200-2 Q9UER7 +
Q5T200-2 Q08881 +
Q5T200-2 O95409 +
Q6NYC1 P46821 +
Q6NYC1 Q9C005 -
Q6NYC1 Q9Y3C6 +
Q6NYC1 EBI-5773344 +
P00519-1 P02778 -
P00519-1 P07766 +
P00519-1 Q00975 -
Q969X6 Q9UBF1 +
Q969X6 P40763 +
Q9Y285 P31749-1 -
P01584 P06241-2 +
P01584 Q13542 -
Q9BVJ6-1 Q86V81 -
P62249 Q53GS9 +
P28749 Q13418 +
Q96D37 Q9NWV8 +
Q96D37 Q9UGL1 +
