source target sign
24105 19356 -
24105 16513 -
17883 15461 -
17883 12575 -
67087 109689 -
11835 14811 -
79221 12700 +
79221 99377 +
17978 12991 -
18033 240087 -
18033 99377 +
67025 73086 +
66834 83814 +
66834 18538 -
16906 636931 +
16906 83454 +
16906 12955 +
16906 18970 -
53310 12122 +
381022 140557 -
21339 12370 +
13543 13424 -
13543 23942 -
11614 12879 +
13198 228003 +
13198 21410 -
114712 208650 +
19055 16898 +
19055 17219 -
19055 13418 -
19055 71458 +
56210 18538 -
56210 26413 +
16468 12447 +
11865 13198 -
56086 20482 +
56086 20467 +
56086 17127 -
71242 230908 +
71242 15081 -
71242 20848 +
83797 12703 +
231798 218914 +
231798 15396 +
233199 16514 +
21376 17169 -
21376 13806 -
21376 12234 +
75826 22376 -
21951 14433 -
21951 12034 -
14786 240518 +
14786 19185 +
75744 12369 -
20588 15900 -
18645 21849 +
18645 12988 +
18645 279766 +
20466 20408 +
18020 110784 -
18667 93760 +
51869 103551 -
16898 17164 +
16898 56637 -
16898 56289 -
16898 15504 +
66131 20184 -
66131 381022 +
13016 50868 +
13016 107831 -
19646 15170 +
17977 17131 -
12609 16396 -
12609 18970 -
224997 93736 -
224997 224997 +
224997 16975 -
229615 20371 +
21429 21849 -
12151 213464 -
17932 73381 +
17932 19989 +
17932 17344 +
50496 56208 -
50496 22196 -
50496 54427 -
21454 30957 +
21454 606496 +
21454 17874 -
21454 20588 +
17257 13712 -
18034 20276 -
16978 245688 -
15194 16898 +
15194 83454 +
15194 14799 +
93759 214931 +
13876 11947 +
13876 15900 +
19357 16971 +
19357 12929 -
20019 17999 +
20019 22631 -
20019 12534 -
76804 215031 -
76804 81004 +
17246 19878 -
12125 60595 -
243833 14281 +
21761 21416 +
21761 17428 -
21761 433759 +
16443 54123 +
16443 229949 -
51810 13448 +
51810 16658 +
51810 17765 -
216156 233545 +
13017 14460 +
56351 15469 +
106628 27494 +
106628 15469 -
106628 12916 -
26395 16001 +
26395 16492 +
18711 14582 +
13424 20662 +
11964 67500 -
11964 56086 +
13426 54189 -
13426 214812 +
22003 51810 +
22003 24069 +
22003 110157 -
22003 26417 -
22003 21973 -
22003 13665 -
22003 16451 +
231201 208727 -
231201 14463 +
12301 22778 -
18764 13006 -
106585 56637 -
106585 58198 -
30945 11991 +
30945 74256 +
30945 13017 -
30945 229542 +
12020 19696 +
15378 17349 +
15378 16019 +
15378 11796 +
14360 19720 -
14360 13197 +
14360 17059 +
69504 20848 -
26400 12288 +
20181 12313 -
20181 27494 -
12370 12952 +
12370 13429 -
12370 107829 +
12370 18519 -
12370 20419 +
12370 16906 +
84092 16179 -
84092 12288 +
84092 18412 +
55942 78284 -
100049603 14852 +
58184 21682 +
18128 15903 -
19708 17928 -
17344 14205 +
17344 16590 -
17344 208650 -
83396 14462 -
83396 56716 -
20408 75410 -
20408 107823 -
20408 21761 +
12006 233199 -
70620 70160 +
70620 56351 +
13712 216156 -
18708 14799 -
83431 19055 +
83431 107932 -
83431 20670 +
83431 28114 -
83431 19185 +
23988 13429 -
54383 84092 -
54383 14784 -
54383 140557 -
21341 21834 -
21341 56513 -
26549 101206 -
26549 20181 -
12369 13424 -
12369 20833 +
14800 20779 +
14815 13436 +
21374 70620 -
225895 12978 -
22589 14632 -
110862 18091 +
17164 217588 -
17164 11792 -
14463 19060 +
20893 12550 +
216233 16150 -
216233 15378 +
216233 12578 -
72042 71648 -
72042 18746 +
13191 94212 +
17480 100683 -
17480 56787 -
17480 170930 +
17454 15516 -
54711 14056 +
16476 26940 +
22339 74374 -
22339 13018 +
23957 29864 -
23957 14784 +
13163 22352 -
13163 226442 +
13163 11674 +
110147 51792 -
110147 81601 +
110147 15183 -
110147 18175 +
12894 63958 -
14528 74370 -
14528 105148 +
14528 16332 +
14528 12606 +
14528 12753 -
66824 16898 +
66824 22344 -
66824 216233 -
66824 16973 +
12416 21416 +
12416 15982 +
12416 110862 +
11796 12703 +
83454 17172 +
19211 20528 +
19211 20740 -
19211 109331 -
20439 13002 -
69890 22632 +
69890 17295 -
107932 14084 +
53319 20683 +
54189 22061 -
240087 17311 -
22062 110862 +
22062 12995 +
16451 19285 -
16451 192292 -
16451 108679 -
20787 13131 +
20787 56637 +
26423 30951 -
26423 68094 -
240752 76022 +
57258 24069 +
57258 56480 -
56469 13448 -
56469 17979 -
56469 21418 -
57441 66830 +
12189 11461 -
14056 21374 -
14056 19664 -
22195 11352 +
69260 21372 +
69260 23859 +
22344 26564 -
22344 21937 +
21413 18518 -
21413 15258 +
21413 11764 +
12394 69504 +
12394 57258 +
52609 16516 +
15396 16599 +
140557 105148 +
140557 66824 -
21929 214384 +
74018 66511 +
22642 17169 -
13006 16513 +
99003 215031 -
99003 16451 -
252870 12445 -
18036 54607 -
18036 22196 -
56717 22631 -
22359 67300 +
22359 216963 -
18519 16337 +
18519 17762 -
18519 68041 -
13649 67923 +
13649 72183 +
22294 20587 -
240057 14389 -
14255 15161 +
14255 99003 +
16170 94212 -
16170 74016 +
19060 18505 +
19060 24053 +
19060 53319 +
17258 13436 -
17258 11806 -
69191 20893 +
66724 17928 +
66724 15499 -
19697 19885 -
16568 20907 +
231580 108686 +
231580 58198 +
664799 268294 +
68375 17135 +
68375 17248 -
68375 54131 -
68375 99982 -
18609 22589 -
75829 18762 +
75829 231332 +
18971 12416 +
15433 228359 -
15433 17765 -
107823 17928 +
208650 239528 +
16828 69807 -
18035 19878 +
18035 17480 -
72512 16151 -
72512 18746 +
20278 20184 -
20278 67268 +
20278 116870 -
24064 233199 -
20128 15526 -
20128 13436 +
20128 27221 +
216150 22630 -
216150 83797 +
20907 17977 +
20907 17999 +
207215 16971 +
12567 22761 -
14389 17927 +
14389 15364 -
14389 15170 -
19387 16513 -
606496 11614 -
606496 18538 -
12914 19016 -
16551 68375 +
16551 15242 +
26409 71242 +
26409 16590 -
15361 20419 +
15361 24068 +
20389 17978 +
20389 17258 +
20389 75826 -
11352 66834 -
11352 228359 +
11352 74117 +
12461 12289 -
12461 19185 +
30050 17128 -
30050 15388 +
16331 21376 +
16331 23988 +
16331 18708 +
16331 16975 -
16331 217127 +
69253 21848 -
69253 108679 +
18509 14751 +
18509 20910 +
67155 21380 +
12700 109689 +
15405 13429 +
18141 93759 -
16412 18412 +
69837 18573 +
69837 17927 -
67300 13449 +
67300 19821 -
114741 56484 -
114741 15481 +
17237 14813 -
17237 21665 +
17237 224170 +
17342 75410 -
17342 384783 +
16542 53319 -
19268 218952 +
19268 15170 +
53379 17295 +
13433 18479 -
13433 12385 +
13433 19014 -
12417 15433 -
12417 216869 -
20974 19763 -
20974 12550 -
15242 23942 +
14836 20419 -
14836 12028 -
15982 24131 +
15982 12421 +
110355 11474 +
110355 26965 +
110355 75829 +
330914 15982 +
18518 26940 -
18518 108086 +
18518 15519 -
110876 14786 -
110876 15170 -
24051 27354 -
24051 18141 -
24051 22339 -
24051 22223 -
24051 116848 -
22230 26554 -
279766 17907 +
279766 17246 +
279766 21974 +
110157 11474 +
110157 14388 +
74016 13449 -
12988 15903 -
20411 17246 +
109711 17260 -
109711 16396 +
109711 20411 -
109711 16513 +
109711 16514 +
14814 67057 -
13537 21349 -
104383 213742 -
104383 16396 +
104383 109689 -
20655 74769 +
20655 51789 -
20655 12288 -
20655 116870 -
17059 12234 -
17059 58198 +
75410 22339 -
75410 14360 +
13144 110876 +
19821 12558 -
16001 15516 +
12419 27354 +
12419 330914 -
12419 12361 +
17886 101206 -
17886 18036 -
17886 20807 -
17886 14360 -
17886 12576 +
17886 11796 +
15512 211586 -
15512 11806 -
15512 22218 -
15512 26417 +
57376 15260 +
21417 71371 +
13418 11459 +
13418 13435 +
17684 12234 +
24131 68652 -
24131 67300 +
24131 19361 +
384783 20439 -
384783 229949 -
20185 99982 -
229906 22359 +
229906 11651 -
20184 12952 +
20184 20614 -
20184 56312 +
15469 12578 -
218952 69807 -
218952 12916 +
218952 19016 -
22321 17979 +
19651 72930 +
19651 12293 +
96979 58208 -
22144 11838 +
22144 17172 +
22144 22761 +
22144 26413 -
22144 21974 +
21416 110147 +
21416 22376 -
21416 20017 +
21416 12953 +
228359 12028 +
18611 140629 -
18611 14852 +
18970 99890 +
12550 116870 -
12695 14811 -
12695 232232 +
12427 16170 +
12427 20974 +
71978 24069 +
71978 12879 +
13449 22318 -
240354 24105 -
240354 208727 -
17192 66313 +
17192 69228 -
17192 18175 +
20670 50772 +
20670 11792 +
266632 11792 +
266632 19016 +
66105 21374 +
66105 70834 -
66105 20404 +
66105 18746 +
14812 24052 -
14812 240057 -
14812 18125 -
14751 19697 +
14751 268294 +
80905 21340 +
12534 215031 +
12534 54401 -
12534 23988 +
224170 21422 -
12236 328572 -
21423 140629 +
21423 85305 -
21423 26447 -
29864 20218 +
29864 208727 -
107829 19017 +
107829 108086 -
107829 13982 +
21937 22632 +
21937 12412 +
23939 11651 -
16150 20587 +
14784 11991 -
14784 22062 +
14784 14281 +
16492 54126 -
229542 12301 -
229542 19075 +
229542 66929 -
16179 11352 -
16179 56637 -
319924 11474 +
15081 52463 +
15081 13866 -
15081 21937 -
68094 12952 -
68094 229542 +
68652 13138 -
14632 18627 -
14632 22631 -
68041 12034 -
66403 17928 -
11350 12702 -
11350 12576 -
12995 240087 +
12995 17258 +
268933 20533 +
268933 15182 +
268749 104416 -
268749 20910 +
93742 17978 -
93742 239027 -
14534 11749 -
14534 17196 -
12879 11838 +
225870 14852 -
18479 11909 +
14248 107045 -
16533 11792 +
16533 140557 -
16533 20481 -
99377 18519 -
99377 17428 +
70122 233545 +
21410 67025 +
22630 99982 +
22630 22352 -
11838 227624 -
11838 110784 +
11838 15469 +
11838 228714 -
11838 26417 +
11793 330914 -
11793 13131 -
11793 84585 -
17135 16337 -
17135 15194 +
17135 22418 +
12445 67500 +
12445 12953 +
100503670 13726 +
100503670 24051 +
106344 19356 +
58194 208650 -
58194 11545 -
58194 12048 +
24052 20437 -
24052 56637 +
24052 11865 -
93679 17311 -
18451 17219 -
18451 72179 -
59035 69837 -
56484 29808 -
56484 14048 +
19664 72183 +
17128 13191 +
17128 21687 +
328572 15078 -
22088 20419 -
67923 19058 -
67923 69228 -
20662 12631 +
13131 233545 -
13131 12189 -
13131 12048 +
63958 16337 +
63958 15430 -
63958 12369 -
63958 16590 -
63958 20687 -
17874 228866 +
17874 233199 +
21682 16514 -
21682 18091 +
21974 13131 -
107746 21376 -
107746 18746 -
50754 67500 -
50754 21349 +
12606 19362 +
12606 17295 -
12606 279766 +
50873 11474 -
20017 11793 -
18091 26754 -
18091 18559 -
18091 22294 +
20586 52440 +
20586 16452 -
20586 110355 +
83602 21926 -
232232 15433 +
269523 12289 +
269523 17164 +
66511 26380 +
26416 21926 +
26416 235320 +
17999 12609 -
214669 70160 +
23872 69228 +
23872 68794 -
239985 16177 -
239985 16362 +
239985 54427 -
17248 16978 -
14633 108679 -
66513 12428 +
66513 114741 -
18538 207215 +
18538 11816 +
15511 21372 +
15511 56045 +
20276 14360 +
20402 54383 +
239528 381022 +
20833 15502 +
20419 20848 +
17927 17169 -
17927 13017 -
17927 12419 +
17927 18412 -
15900 110147 +
15900 22628 +
15900 14433 -
12385 252870 +
12385 12609 -
12385 54711 +
20528 20670 -
15904 18412 +
15904 69837 +
50915 106344 +
71458 19664 -
71458 56484 -
19309 74018 +
19309 73086 +
18039 229615 -
105148 22418 +
105148 17999 +
214931 15433 +
214931 56191 +
66313 208727 +
66313 22628 -
66313 20588 +
192292 26549 -
192292 15184 -
16180 96979 -
226049 18627 -
226049 11747 -
72179 18195 -
68558 433766 +
68558 80905 -
109740 11352 -
26380 140557 +
26380 20185 -
242785 75560 +
242785 18971 -
216869 52440 -
23807 23808 -
23807 18125 -
23807 13982 +
14191 12675 -
14191 16906 -
14191 17268 -
209354 67588 +
209354 17237 -
73381 72828 +
50927 93736 -
50927 110355 +
68794 19303 -
68794 226442 -
20650 12427 +
64424 103551 +
19359 20389 -
54126 235320 -
18754 16180 -
18754 12928 -
108655 51789 -
108655 18715 +
11816 69504 -
11816 12566 +
11816 53310 +
56480 53602 -
101206 56438 -
101206 110784 -
27223 21804 -
214384 20408 -
13486 19303 -
245688 228359 -
245688 12020 +
245688 30841 -
245688 20740 +
245688 13197 -
11909 21926 +
11909 18559 -
22061 21974 +
16825 12567 +
24053 57441 -
66233 98758 -
66233 17762 +
106759 20877 -
13138 12289 -
17125 66929 -
19883 14056 -
22030 14266 +
22030 17872 -
12566 66834 +
12566 19763 -
84505 84092 -
84505 269523 +
20416 14205 -
56045 56191 +
56045 20466 -
80838 18479 +
67673 79362 +
20238 19697 -
59007 50754 -
19401 27374 -
12048 18039 +
12048 16419 +
12048 13806 +
56208 17762 -
56208 12125 -
13726 29871 -
13726 18033 +
13726 72828 +
19338 67155 +
19338 72584 +
19338 208727 -
19338 14634 -
19338 14800 +
433759 56406 +
433759 13163 -
233545 21417 +
233545 16658 +
18211 227743 -
15184 66724 +
15184 20682 -
217588 17927 -
20482 19127 -
20482 12428 +
20482 65113 +
99982 21406 +
99982 50915 +
215031 74370 -
215031 93760 -
268903 20218 +
268903 20277 -
19989 18458 -
19989 224997 -
19989 69253 +
19989 21682 -
19989 12447 +
13866 109711 -
239027 14102 -
239027 27015 +
59004 636931 +
59004 12385 -
59004 17172 +
93762 378435 -
93762 17480 -
84585 71890 +
234366 56438 -
234366 12417 +
234366 14633 +
16019 56436 -
72930 19356 +
72930 13424 -
16854 12301 -
12591 57320 -
12591 53376 +
