source_entrezID	target_entrezID
178943	176348
172679	172419
185003	177610
178943	176637
176946	176131
175827	175827
179654	179654
171849	180982
176808	176808
175022	177336
176409	178074
172303	172941
175831	179808
172505	180801
173365	178459
172667	172549
188802	189167
173914	174267
173053	181284
172554	179049
178458	173748
174395	173728
178547	176152
172938	173509
173053	173191
179878	172775
176061	175677
177040	176150
179027	178064
178345	179592
178547	173321
175976	178259
175096	177657
177057	174309
173914	175877
176344	176376
174624	3565860
172773	184085
173914	173137
179347	172269
174144	175230
172264	178491
172679	173384
172594	180468
171988	177111
179473	176377
173407	174624
179388	177458
174238	174081
172233	178619
180324	175837
176511	179817
181018	172247
172679	175462
172633	172633
171988	181344
175499	175959
179941	178324
176152	176152
177057	174624
175831	180413
172247	176377
176561	175270
174624	174624
186085	186085
171849	175802
175831	173301
178074	178074
172009	174715
175837	175837
176503	174076
176061	174836
188872	177440
172942	172679
177161	177161
179598	266854
181029	173038
175802	176808
173795	173795
176143	172712
172842	181556
175022	175022
174874	3565767
180102	178938
178547	180473
175922	175653
175909	179971
176503	175443
173858	179709
172304	172304
174571	174571
179535	176793
173744	172009
176143	266819
180468	190399
180949	183243
172802	176458
179597	175006
172667	178186
173053	185826
176657	190617
177617	177617
188802	178904
177335	177734
179959	174697
177170	176180
173440	174364
173449	178362
175831	177482
179461	181209
178943	173907
175879	172857
175909	181348
178250	171980
176164	178669
176511	173435
175922	176445
176605	190775
171988	172233
172099	259571
176454	191757
174718	174718
176927	177236
180463	172755
190775	176806
179535	179535
172278	177342
178669	171927
180497	266854
177658	181050
177016	177706
179709	174484
177710	177710
176380	171849
179202	171786
176161	174254
179941	172308
173149	173287
178491	181163
176829	179971
186085	188246
172890	177229
173347	177073
175909	172610
172092	174081
175909	172773
175099	173728
175781	173053
174951	179709
171927	266885
171765	3565767
179493	179493
173168	173858
175628	176011
177797	172034
176185	172390
173985	177617
178942	176349
179941	179709
176808	171849
175813	177873
179641	175601
174317	173287
179941	175712
174697	180575
179027	173728
175922	177352
171990	172737
175551	172920
180497	180497
177657	172123
172591	173287
174314	172958
173151	178536
179117	179117
175909	173968
180168	172278
180049	174624
175959	175133
175117	178074
176667	178074
176168	175789
173149	186869
175976	178409
175099	178186
177336	177336
175545	172948
180431	180324
178547	175946
178943	174826
177016	174121
180497	179145
171923	3565977
177994	178320
172612	172612
177921	178624
177942	177229
172679	179493
172712	176445
180431	172882
189346	177987
175918	177161
189346	175162
172616	175717
172737	172737
181018	176377
171804	174309
175545	174256
173407	174309
175831	175952
177253	174624
175802	181432
181227	177895
172505	176210
171990	181944
176210	174267
175604	176139
175922	181050
171804	174624
173338	173007
180431	175054
173064	180468
178320	177965
179709	266820
172679	174089
177431	180324
177617	172264
173690	173690
259571	179654
176438	176438
174874	266820
177318	176481
180324	180324
175909	172978
179145	179145
172773	174766
173407	171896
173985	172264
173384	173384
175837	189346
174657	173748
176519	175121
179473	181018
173920	178074
172278	176927
176444	180014
178943	174571
175909	176015
177808	177808
182474	177617
179941	174571
180674	188703
181644	178361
175210	177914
176185	176185
179027	186085
171849	176093
178943	179941
188802	173846
176061	172653
176161	176637
171646	174090
175717	176380
178547	172737
172802	178788
172854	178005
182286	182474
180049	174309
171988	178619
174638	179274
179709	179709
177335	176548
180324	173944
176526	180185
178943	179493
178547	176468
180497	178186
177335	175217
173365	174399
180982	173287
176143	175113
173440	178147
172859	171849
172612	172737
172981	176525
180497	178007
175909	179998
175781	175716
179598	178186
178491	173985
175922	174894
180324	175571
173384	172238
176657	175837
173449	179971
179461	179876
172737	266820
179111	179111
179493	172238
172374	172612
173728	173728
174551	173728
172667	178534
180468	172915
179709	266819
175909	175638
176200	266854
179010	177797
172679	180432
179971	179971
176061	266854
173053	175441
180497	179654
177253	174309
179592	179592
176164	266885
178186	178064
178943	174254
172268	171788
176164	171927
178547	181899
181372	177890
179941	179791
179493	266842
179183	172675
176196	175284
171818	171715
180367	176666
178944	182474
