source target sign
P12830 P62841 +
P12830 Q9H0U4 +
Q15078 Q6ZMQ8 -
Q15078 P55273 +
Q15078 Q6ZMQ8-2 +
Q15078 Q00535 +
Q9C0J8 P55055 +
Q9C0J8 O75146 -
Q9BQS8 P54253 -
Q9BQS8 O00267-1 +
Q96D09 Q9UKT4 +
Q96D09 Q8NAV1-1 -
P35916 Q15910 -
P35916 Q9H469 -
P35916 EBI-5773710 +
Q13191 P35226 -
Q13191 O95405 -
P18124 P50406 -
P18124 Q9BU40 +
Q9HAT8 Q02790 +
Q9HAT8 P56817-1 +
P62277 Q8N1I0 +
P62277 Q53EL6 +
O60543 O43913 +
Q9Y5C1 P29016 +
Q9Y5C1 P06858 -
Q02750 Q5TA50 +
Q14145 O15527 +
Q96CA5 P18464 +
P11233 Q5JR59 +
P11233 O94806 -
P11233 P34969 -
Q9P2Y4 O14669 +
P36888 Q9BTU6 +
Q05923 P51452 +
Q05923 Q9NQ92 -
Q05923 O14939 +
Q96B01-3 EBI-11424342 -
Q96B01-3 O75400 +
Q96IZ7 Q9Y615 +
Q96IZ7 O14893-1 +
EBI-5773657 O15182 +
EBI-5773657 P50613 +
P19419 Q9HCE5 -
P19419 Q9UHB7 +
Q9Y230 P05386 -
P42681 Q9UM82 -
Q9UER7 P54278 -
Q9UER7 Q2QGD7 -
P98082 P45983 -
Q14739 Q96SB4-2 +
Q14739 Q13185 +
EBI-5773580 Q15723 +
EBI-5773580 EBI-2107192 -
Q9UKN7 Q16674 -
Q9UKN7 P02751-7 +
Q9UKN7 P52735 -
Q9UKN7 Q16512 +
Q08945 Q9BXY0 -
Q08945 Q5TCZ1-1 +
P49815 P09651 +
P49815 P61981 -
Q07820-1 P21675-1 +
Q07820-1 Q8NGJ1 -
P22303 Q9BTA9 +
P22303 Q68CJ9 +
P29323 P13497-4 -
P29323 Q92851-7 -
P29323 P49790 -
P06858 Q9BY76 -
Q8N895 P48552 +
Q7Z6Z7 Q5W0B1 +
P21709 Q96N96-2 -
P21709 Q96CA5 +
Q9H3S4 P54274-1 -
EBI-10828808 EBI-10828808 +
Q15750 B3KXG1 -
Q15750 Q9UNS2 -
Q12830 P49450 -
Q12830 Q8TCG1 -
Q12830 EBI-1521221 -
P27482 Q9P0U3 +
P27482 Q96DC9 -
P27482 Q9HD67 +
Q8IXJ6 Q8IWV2 +
Q8IXJ6 Q96S59 +
P0DMV8 P13760 +
P0DMV8 Q5NDL2 -
P0DMV8 P04233 -
P20962 O60229 -
P20962 Q9BRJ7 +
P17252 P17252 -
P17252 P31431 +
P02776 Q8WUE5 -
P02776 O60885 -
P60953-2 Q5XPI4 -
P60953-2 Q07960 -
P14921-1 P06401-1 +
P14921-1 Q9HD42 -
P05413 P56199 +
Q9TNN7 P30499 +
Q9TNN7 O15525 -
Q86XE2 O14544 -
Q96L34 Q99075 -
Q96L34 P63104 -
Q6FI35 Q9UNA4 -
Q6FI35 Q9BQS8 +
Q6FI35 O60885 -
Q8NBP7 Q15800 -
Q15061 Q9NUQ6-1 -
Q15061 Q969X6 +
O43660 P52272 -
Q8WXU2 Q92636 +
Q8WXU2 P48058 -
Q8WXU2 Q96RL1 -
Q99558 P05186 +
O76013 Q14677 +
Q96JZ2 O75886 -
Q96JZ2 P56199 -
Q96JZ2 Q9H6Q3 +
P14635 Q16644 +
Q6WKZ4 P23193 -
Q15672 Q92993 -
Q15672 Q9NQR1 -
Q9Y6Q2 Q3B7T3 +
Q9Y6Q2 O43660 +
O14836 P09237 +
O96013 Q92837 -
Q9H8V3 P61026 +
Q9H8V3 O14757 -
EBI-2922463 Q6Q788 +
O00267-1 P40692 +
O00267-1 Q9UNS2 -
Q8NB25 Q8TEJ3 +
Q8NB25 P14778 +
Q8NB25 Q9NPD8 -
Q8NB25 P05556-1 -
Q8IZW8 Q04864-2 -
O00410 P62834 -
O00410 P18124 +
Q6NT76 O76013 +
P30504 P55899 +
Q15459 P62316-1 -
Q15459 Q15637 +
Q13277 Q9UKI2 -
O60684 P32243 -
O60684 Q9NRG4 -
Q9UQ84 O94776 +
Q9UQ84 P07339 -
EBI-9521705 O96028 -
EBI-9521705 O95793 +
Q9H4L4 Q08999 -
P18827 O94906 +
P18827 O75063 -
EBI-1180097 Q96A73 +
EBI-1180097 P11277 -
P04406 P48147 +
Q14766-1 Q86XE2 -
Q14766-1 P35556-1 +
P51671 Q9BYB0 -
Q14683 P16035 -
EBI-9521707 Q15637-2 -
CHEMBL2095226 P01024-PRO_0000005915 -
CHEMBL2095226 Q6NTE8 +
CHEMBL2095226 R-HSA-2089970 +
CHEMBL2095226 EBI-2566390 -
Q8TF40 P41145 +
ENSG00000173039 Q9NXX6 +
Q8IYF1 Q03518 -
Q8IYF1 O75113 -
Q96EH5 EBI-4289209 +
Q96EH5 Q14202 -
Q01081 Q9UPX8 +
Q01081 P26368 -
Q01081 Q9UK73 +
Q13118 O43432 -
Q9HB75 Q9BTC8 +
P43686 P62195 +
P43686 O75832 -
Q13237 P08651 -
O00220 O15143 +
O00220 P50591 +
O00220 Q8NHX9 +
Q9UKT4 O60447 +
Q9UKT4 P43628 +
P06730 Q13542 +
O14733-2 P45983 +
O14733-2 Q12888-1 +
Q9UI08 Q9BTA9 +
O94832 P35398 -
Q92622 Q9P2Y5 +
Q5TAX3 Q9H9Z2 -
Q5TAX3 Q14686 +
P05388 P15941 -
P05388 O00198 +
Q8NDX6 P41252 +
Q8NDX6 Q5JSH3-1 -
Q13838 Q9Y3Y2 -
Q13838 O95390 +
O14966 P04114 +
O14966 P43628 -
P36956-3 P22303 -
P36956-3 O43516 +
P36956-3 P01210 -
P04632 P17655 -
P19438 P01375 -
P19438 P28799 -
P16333 P42768 +
P16333 P02649 +
Q9NRY6 Q8IXJ6-2 +
Q9NRY6 P33681 +
Q13415 P33992 +
Q13415 Q9H211 -
Q8IYL3 P23760 +
P35557 O75170 -
O14512 Q5T1M5 +
O14512 Q7RTN6 +
O14512 O43257 +
O14512 Q8IYL3 -
Q86TC9 P20929 -
Q86TC9 Q8WVK2 +
Q86TC9 O43464 +
P10636-7 P41146 +
P10636-7 O00141 -
Q92841 Q15596 -
Q92841 Q9Y6Q9 +
Q92841 EBI-9521705 +
Q92574 P05186 -
Q92574 Q86Y07 -
Q92574 P43351 +
Q9H9S4 P03950 +
Q9H9S4 Q99708 +
Q02297-3 Q9P0N9-1 -
Q96NT1 Q13618 -
Q96NT1 Q16629 +
Q6IAU5 P38432 -
Q6IAU5 P07942 -
Q6IAU5 P0CAP2 +
Q9H1Y0 P30419-1 +
P02794 Q8IXL6 -
P02794 P62807 -
P02794 P17096-2 +
P53420 Q9NWZ3 -
P53420 Q9P232 -
Q7KZ85 Q9BRG2 -
Q9C0C2 Q96B23 -
Q9C0C2 Q8WTS6 -
Q92688-1 O94763 -
P61978 P61024 +
P35398 Q969D9 -
P35398 Q13564 +
P54284 Q8TAT6 +
P54284 O15034 +
P54284 Q6DCA0 +
P19634 O43318 +
P19634 O95155 +
P19634 O43745 -
P19634 P14921-2 -
P52803 Q9UL15 -
P52803 O75113 +
Q96DC9 Q9Y6W6 -
Q96DC9 P42226 -
Q96DC9 A6NI79 -
O15055 P51813 +
Q6ZW49-1 P31350 +
Q6ZW49-1 P11274 +
Q6ZW49-1 O14924 -
Q6ZW49-1 P16104 +
Q05066 Q96A22 -
Q05066 P08865 +
Q05066 Q15599 +
Q7L9L4 P49427 +
P51003 Q01538 +
P22460 P35609 +
P22460 Q92619 -
P12755 Q16829 -
P61326 O94829 -
Q06546 O75925 +
P63241 Q9BZS1 -
Q9UHP3 O60307 -
Q9UHP3 Q9BZL4 +
Q9C005 Q9C005 -
Q8WV28 Q9UBZ9 -
Q504U0 Q13555 -
Q504U0 Q13469-2 +
Q504U0 EBI-2566372 -
Q7Z5V6 P10082 +
Q7Z5V6 Q9UHD9 +
Q04864-2 P63241 +
O00743 Q8IWU2 +
O00743 O75663 -
P42858 Q9BY11 +
P42858 O75400 -
O43542 Q9BRR9 +
Q96A22 P09012 +
Q96A22 P62841 -
Q96A22 Q9HCP0 -
Q15637 Q8IWX8 +
Q71SY5 P49841 +
Q71SY5 Q8NBS9 +
P61601 Q8WWK9 +
P61601 Q8IWW6 +
P61601 Q9BX73 -
Q8WUM0 Q86XR7 -
Q8WUM0 Q6NUP7 -
P50148 P53805 -
P50148 Q9UM07 -
P50148 O00468 +
P50148 Q8NI08 -
P40879 Q9H4L4 +
P40879 O60711 -
P40879 Q15599 -
Q8TAE8 P24522 -
Q8TAE8 Q9P2Y4 -
P32927 Q9UKT5-1 +
O60271 O60271 -
O43303 Q96JN8 +
O43303 Q8IW35 -
Q8WWW0 Q9UM82 -
Q8WWW0 Q15569 -
P08621-1 Q13239 -
P46821-PRO_0000018605 Q96FA3 +
Q9UPE1 Q03431 +
Q9UPE1 P40763 +
Q9UPE1 Q15034 -
P25440 Q8TEJ3 -
P25440 Q12972 +
Q5SW96 Q93100 +
Q5SW96 Q15291 -
P07858 Q9NYA1 -
P07858 P01040 +
P07858 Q9NRY6 -
Q9Y3V2 Q3B7T3 -
Q9Y3V2 Q8NE35 +
P55212 P53999 +
P55212 P10827 +
Q8NC69 Q13618 -
Q8NC69 Q8NC69 -
Q13387 Q9NSE2 -
Q13387 Q9Y675 +
P18075 Q13253 +
P18075 Q9UBZ4 -
Q92636 Q16288 -
P07550 P07550 -
P07550 Q5TCQ9 -
P07550 Q7L804 +
Q8IZ21 Q96QA6 -
Q8IZ21 O15117 -
Q9H4Z3 P19838-PRO_0000030311 +
Q96PT4 Q7KZI7 +
Q96PT4 P13984 +
Q9H3S1 P12111 +
Q9H3S1 Q9ULL4 -
Q9UQB8 Q9UQB8 -
Q9H6Q3 Q96JZ2 +
Q05086 P68036 +
Q05086 O76013 -
Q9HA38 O00566 -
Q9HA38 P22455 +
Q9HA38 O75323 +
Q9Y215 P62316-1 +
O00499-10 EBI-12519375 -
O00499-10 P10636-4 +
Q7L2H7 Q6ZVD8 +
Q7L2H7 Q13746 +
P16035 O75084 +
P16035 P11171 -
P18509 Q86WC6 +
P18509 Q8IYF1 +
P18509 Q15291 +
Q15326 Q14469 +
Q5TH69 Q96PF2 -
Q5TH69 Q14517 +
Q5TH69 Q14449 +
P37275 Q16537 -
P37275 Q9NPF8 -
P37275 P15374 +
P49768 Q02410 -
P49768 Q9BQ95 -
P23025 Q01113 -
Q9H3R0 Q9UN36 -
Q9H3R0 P43146 -
Q9H3R0 O00257 +
Q13257 Q8N8V4 -
P02489 P34741 +
P02489 Q68E01 -
P02489 P02489 -
Q14011 Q9ULW3 +
Q14011 B5MC15 +
Q8TC29 P49137 -
Q7L804 Q68CZ1 +
Q14517 Q9NSC5 -
EBI-11175721 P68366 +
EBI-11175721 EBI-11175721 -
O14625 Q96D71 +
Q92547 P11387 -
Q92547 Q92547 -
Q92547 P05556 -
Q9H9Z2 EBI-2462028 -
Q96AH0 Q86Z14 +
Q7Z6G8 P62308 +
Q7Z6G8 P05556-1 +
P20702 Q92519 -
O95071 P49917 +
P21333 O14786 +
Q15696 P54274-1 +
Q15696 Q96IV0 -
