source_entrezID	target_entrezID
851509	855833
856457	851168
853535	854322
852724	852724
854649	854598
854761	853148
853585	851002
852371	850889
851518	856751
851727	852980
854937	852294
851394	851159
852235	853273
851076	851746
851683	855929
855836	855440
855186	850712
854469	855972
855237	854201
851250	850909
856063	854381
851369	853106
850554	854119
852357	855952
855144	854085
850713	853863
854243	856319
850763	856449
852947	855116
853936	854663
850734	850734
851313	852282
855861	850585
855535	852982
851748	851748
855836	853489
856723	853860
855616	856696
851811	855700
855005	855356
855583	855468
851742	854742
855507	851831
850504	851707
853244	856236
851461	852834
852834	852880
850409	854926
851979	855454
1466445	850744
851076	851076
851209	855625
853956	855664
856889	856570
856490	850520
855700	852294
852681	853900
850440	855577
855043	856153
854904	855687
851797	850998
850349	850810
850594	850594
853958	853909
856382	851740
855017	855505
854042	851701
852553	852443
853503	854185
852415	851877
852283	852294
851627	850904
852037	856355
850760	855139
851051	854353
852462	856691
851957	856577
856201	856891
856228	852982
852724	851858
856060	851756
855281	856751
856519	850877
852766	852814
850554	852873
856237	852881
850554	851193
854026	852833
854822	856566
850298	851125
851394	856799
851579	853010
852034	852034
856490	856499
853956	850682
855049	853264
850720	854912
855310	856848
852982	855158
852322	852755
851005	853857
853346	855277
853922	853922
855267	852497
854399	856317
853275	853300
853033	856737
852457	853283
855954	855194
856607	855512
852030	851486
855428	854773
854086	853900
852184	855744
852402	854795
853956	855335
855934	855925
851623	852352
854822	854822
855066	853957
856126	851530
855828	856201
856476	855104
855532	853116
853041	853041
854382	854385
850633	851259
852003	856742
852451	856119
855335	855335
851048	851369
851827	856751
853900	850399
855844	856886
850612	852740
854381	850688
853871	851255
853475	851415
850440	855605
851259	855728
856746	851797
855892	853041
856559	856293
850422	850649
853393	856403
851256	854935
852968	851831
855664	853860
852322	852984
854940	851475
853100	854191
856870	855399
852425	850941
850720	856146
850539	851928
851125	850919
851776	853555
851632	850982
850930	851190
852042	850346
852119	854647
856570	852255
1466445	852497
850636	856119
853535	854791
855700	853271
855323	855323
852624	855166
850875	854073
852575	851408
853871	856870
854487	855591
855144	850607
852675	854181
856918	850691
851716	852582
854020	854290
851957	850909
854418	855505
852996	852492
850554	856742
855934	854211
852726	854106
851925	850589
856529	855746
856753	850604
850686	850686
855897	853347
856743	856183
856774	850343
854158	855097
851990	854118
854781	855306
854731	852042
855163	853478
854398	851467
850520	853544
852969	850897
854150	856752
853503	853298
851369	850521
855136	850504
853340	854790
855520	854999
850806	851255
856743	855139
851310	851408
851441	855934
853871	856222
856267	853335
853871	855399
854926	855267
852555	856455
851318	852025
854138	850401
851203	855844
854543	855838
854158	851483
852896	852964
851723	856499
854735	853147
851076	855836
856831	852713
851955	856506
850763	856604
852547	855061
855737	854382
851811	852294
851632	856264
856519	855700
851934	852096
851369	855316
856751	855925
854381	855269
850504	850504
856870	851150
854330	856312
856736	856736
853718	855728
851720	852724
850422	856553
851888	851888
854713	851532
852695	855937
855530	852584
852522	855653
855859	850734
850554	850370
856891	852610
852779	855972
1466445	855821
852681	850399
850613	854284
854945	851457
852973	855243
854435	854735
853552	851928
853712	852037
854713	850450
854977	855184
851488	851115
854085	851919
850430	850719
855567	851431
853327	853605
850409	855276
856463	854229
855687	856901
850918	853498
852995	853860
851431	853399
852042	851369
852982	855862
850559	855044
855272	850367
853381	851699
852806	851259
855281	855332
852294	854102
851733	854694
853077	855478
856751	854485
850983	854424
850422	855118
856767	855003
852276	850396
856159	853090
851313	853335
855512	856143
853160	850796
853034	853034
851934	851811
854552	850543
852766	851723
851745	856499
850554	854980
856746	855357
850298	853458
854875	856096
855269	854116
850504	855117
856563	856563
856863	856723
851206	856085
851532	852536
856517	851259
852439	856012
851024	851373
850840	856062
856449	851660
856677	856465
854404	854404
856351	851152
850598	854680
855737	852451
852276	855618
856919	856889
852284	852665
851653	851112
853090	853817
856723	855335
851895	850806
854505	856886
853100	851928
856801	853427
853373	852258
856746	850912
851706	856647
851399	851798
851665	855461
854235	854235
856919	850808
856237	853283
850613	852003
854150	855700
855281	850808
855888	854956
851399	853333
855661	855661
855155	852964
856062	851112
850554	855362
852470	853631
851904	856507
850793	852673
856674	856607
851048	851263
854418	855005
851665	853530
856422	854284
851259	851993
851071	850720
851250	856577
852096	855841
852295	856654
852879	853017
854933	851266
855700	852295
852376	852376
850552	853410
855495	852569
850818	856571
856486	851827
856570	855253
851957	853824
852592	855049
856868	851154
851339	855043
855066	853410
856463	855068
853639	853093
850623	856216
851548	853458
853191	854926
855077	856458
851052	851990
852955	854999
852283	851399
850919	850422
854382	856317
855302	851196
851153	855680
853177	852591
852398	851744
854204	852371
854102	851810
853922	853503
853372	853418
852416	855155
855538	852494
856058	852265
856063	856012
852079	852230
853340	855751
852838	856201
850713	852230
851461	853147
856723	850796
855532	851048
856715	852969
854444	856686
851906	856169
852665	854227
856519	850702
852964	850839
852982	853458
853751	852614
852255	852702
850782	853638
851404	853442
856570	850427
853940	853507
850620	856508
852018	851495
856876	856753
852724	850888
855965	853851
856508	851731
853729	854650
853817	852294
852377	856058
853942	851686
853956	852767
853192	854680
855449	855620
852665	854776
851415	856317
855737	851404
856607	856731
851190	855942
852539	855332
856130	855067
850313	856135
852276	856301
850554	854328
854876	850620
852100	855067
852235	856689
853364	856499
852457	854981
856355	854119
851379	852042
854327	851495
854993	855017
852235	852921
854138	852987
853318	850440
851678	855957
856169	856918
852549	854317
852404	852512
853191	852059
856208	853301
850863	853359
854345	852492
852421	851262
855843	852512
853773	853817
850806	853871
856876	850543
855356	853409
852088	856866
853109	854023
853438	853447
852283	852547
852713	851994
854256	854552
852681	851733
850790	856767
851005	852416
856293	851965
852427	853728
853632	853733
850347	852814
856267	851636
854034	855417
852494	852295
856154	855177
855259	851813
851005	856751
852762	856236
851745	851756
854553	854073
855439	856459
855490	855490
851041	854475
854985	852122
852688	853503
852457	850306
851212	856186
852814	852814
855836	856425
855631	853884
851342	854444
854827	852145
852421	852938
855418	852499
853877	854680
854168	852434
856674	853712
853585	854601
854940	854940
852665	852582
855514	852549
851716	855468
856842	855184
856843	850447
850551	854381
854084	855646
856089	854085
850966	853406
853219	852376
856848	851984
851318	853681
855489	853062
854322	853301
852119	851373
854527	853500
852283	854382
854152	855884
853369	850585
856226	855609
855700	856777
852169	854931
853712	856355
855676	856901
856065	852053
854465	855757
856821	851659
856012	852767
851306	855649
851339	855512
856695	851495
856862	852173
852766	851756
851756	853167
853832	852376
851726	850527
854284	854810
856659	851342
851513	855043
854945	854945
852295	852547
855012	853287
856682	854407
850580	850836
856076	851430
852675	854997
853062	854243
854465	855049
856141	851731
856870	850715
852882	854997
855068	856723
852881	852457
853910	853255
856455	851903
855668	855624
851400	850768
850763	855539
854016	856700
855642	854063
856870	854507
851408	856355
856030	855522
