source target sign
F07B7.2 F21C3.4 +
VW02B12L.3 K10C3.5 +
VW02B12L.3 T19D7.2 +
F29F11.6 Y71G12B.9 -
F29F11.6 F40A3.6 +
F40A3.6 T04C12.4 -
F40A3.6 F11D5.1 +
F40A3.6 F54F2.5 -
Y48E1B.10 T03F6.1 +
Y48E1B.10 K08D10.7 -
T13C5.4 C14F5.5 -
T13C5.4 F11G11.11 -
T13C5.4 ZK1193.1 -
F26D10.10 D1007.12 -
F26D10.10 F11H8.4 +
F26D10.10 C28C12.3 -
F26D10.10 F49E8.6 -
F26D10.10 Y71G12B.11 +
F26D10.10 C27A12.2 -
F47B8.6 C07E3.3 -
K06A1.4 C44C8.6 -
Y79H2A.11 T11B7.1 -
Y79H2A.11 W04D2.1 +
Y79H2A.11 ZK643.5 -
Y79H2A.11 F23F12.6 +
W06A11.3 R186.4 -
W06A11.3 T23G7.1 -
W06A11.3 C35A5.9 -
K10D6.4 Y39B6A.13 -
T18H9.6 ZK1058.4 +
T18H9.6 F44E7.9 -
R02D5.1 W03C9.1 -
R02D5.1 ZK1025.9 +
Y23H5A.4 C50F4.1 +
C29F5.1 W04E12.2 -
F58E6.10 C02C2.1 -
F58E6.10 Y52B11A.8 +
F54D5.5 ZK1128.2 -
F54D5.5 Y48E1B.12 -
F54D5.5 Y46G5A.18 -
M01B2.2 R01E6.5 +
F31B9.1 C10G8.7 +
F31B9.1 F09A5.4 +
F37B1.8 F08F8.1 -
F37B1.8 K10D6.4 +
F44A2.5 F49E10.3 +
F44A2.5 T22C8.3 -
Y102E9.2 Y34D9A.4 -
Y102E9.2 D1054.13 -
R119.1 M110.5 +
R119.1 F53F1.4 -
R186.5 Y17G7B.4 +
R186.5 C05D10.1 -
R186.5 W03C9.7 -
R186.5 ZK353.6 +
R186.5 T22H2.6 -
R186.5 F07F6.8 -
C33H5.15 F22E5.17 +
C33H5.15 C28H8.9 -
T04C12.6 C16C10.6 +
T04C12.6 F07A11.1 +
T04C12.6 F26E4.2 -
T04C12.6 W02D3.9 +
C01G8.5 C25E10.8 +
C01G8.5 F54E7.8 -
T19B10.4 F46G11.1 +
T19B10.4 F08B6.3 -
T04H1.4 D2013.6 +
T04H1.4 K07C11.1 +
T04H1.4 B0336.2 -
T04H1.4 K01C8.10 +
T04H1.4 ZC8.4 +
T04H1.4 ZK1248.10 +
T04H1.4 C34D10.1 +
T04H1.4 T05G5.10 +
Y15E3A.1 C41C4.8 -
F26D11.11 F23B12.5 -
F26D11.11 Y66H1A.6 +
C16C8.9 F36D1.1 +
C16C8.9 Y24F12A.2 +
C33E10.1 F27B3.6 -
C33E10.1 Y57G11C.24 +
C33E10.1 M142.6 -
C33E10.1 T13A10.2 -
F17C11.9 F52E4.1 +
F08C6.1 ZK270.2 -
F08C6.1 ZK1073.2 +
C17E4.2 Y37D8A.11 -
C17E4.2 C17G10.5 +
K08E3.6 Y119C1A.1 -
T07F8.4 F56E3.3 +
T07F8.4 C06E4.2 +
T07F8.4 C36B1.7 -
M142.6 C07E3.3 +
