source_entrezID	target_entrezID
43788	53428
34324	40172
37731	41798
38327	40170
43724	43312
36854	43724
2768677	41420
41071	40201
41836	31801
40170	40170
31140	43952
37629	43542
38489	39136
31016	42504
36028	38113
2768940	43312
34610	38155
38478	43529
36638	40717
39203	38565
35154	34263
43808	5740252
38369	49816
34610	37377
39340	34411
33212	36606
37586	39961
48448	37300
31373	38809
53554	31589
36277	43095
40170	39212
53433	43476
43017	38055
35786	37237
40287	41602
33837	31571
42034	38527
33971	3355127
42453	43724
35991	41848
39765	40813
34172	34875
39744	41942
40141	41836
38981	36383
40141	36382
33215	36423
36015	35939
43788	326128
33837	41850
32947	31118
39744	31846
33655	40448
33262	39136
42034	43785
36002	39454
39753	36309
42087	34102
36246	43434
33034	40233
42034	40170
41458	42957
31571	41850
31666	326115
43164	40542
35800	40725
40384	34420
42446	33203
43808	37070
40030	40035
33156	32752
41565	32855
39077	33226
43449	36545
31014	35420
34423	32763
36015	37774
34875	43017
35113	36057
40432	36298
40042	42175
31016	39043
40679	34997
39744	40657
39690	36420
36495	37602
41836	31449
38492	34423
35113	43017
38643	36750
39744	32268
40657	43768
41911	38478
33849	31157
32965	47900
33114	42438
34172	33977
44811	36390
35540	31149
33529	38301
35113	3772329
39884	33212
31680	2768981
31248	40458
42435	37237
41458	35192
41160	33814
43637	39132
46156	31521
36015	42854
39414	38565
39431	326128
44355	32838
40141	318206
42341	32855
44811	41836
43162	43769
42034	42186
39173	39753
34411	41034
35563	47121
43446	40221
31842	41744
42034	31151
35173	41965
3772715	32662
39340	34968
41836	38565
36001	37290
44811	37922
38078	42175
32979	43651
35121	38779
3355109	43229
43751	3772329
35924	37402
42802	40717
39764	41529
34924	37723
42034	44409
42273	43927
40624	39881
37355	38786
39203	37069
42453	34924
44728	38799
35121	33565
42453	41034
43819	34709
49260	35293
35151	36339
37774	40233
31016	40432
31293	31589
41836	39203
31251	33571
32979	31816
40617	47757
42854	40233
41800	37216
44289	49260
35121	31518
41151	40693
38012	41602
42175	44728
43091	39254
318847	34595
39753	36748
43819	40092
39683	34885
36041	34170
36606	39884
42034	43981
32996	35333
42034	34149
31110	31110
43808	40683
36654	31373
39885	33212
31251	43673
39445	36810
31149	31165
43793	33469
33837	36382
33864	33444
43788	3772329
36059	34038
41746	39594
36495	41836
2768677	33226
44339	34070
3772082	36057
31151	43769
37521	43402
33837	38565
33977	35113
39744	42130
39659	37216
42034	37734
31038	42175
39866	36497
37635	42045
34119	42428
32965	42954
40610	2768677
42034	31738
3772329	36390
41151	40170
42034	38890
39455	42140
37528	37235
43788	31310
3355136	41830
42034	49816
43654	44801
43228	34095
34969	35047
318847	41836
33560	34126
248194	53581
40843	42516
44432	37967
40173	36766
34595	48071
37475	39386
36638	42802
38961	37455
32684	42690
39431	35113
36830	41562
36889	33982
37774	31269
43514	43514
39078	33226
3355109	43385
40690	40689
40042	44728
38995	41602
31014	35742
35329	39753
38961	36497
34328	41836
41850	45959
40014	39753
36107	31801
36545	39102
41461	32787
35219	31016
36028	31349
39156	49260
32262	36358
38155	43441
43952	42175
40042	43952
42034	31022
44000	40173
39844	39195
33837	31310
43017	326128
35113	44030
326128	38055
326128	53428
39884	48317
39414	44446
39683	42693
35121	35121
34610	31361
33686	38878
31773	36390
40657	39826
44573	34780
36133	37962
53472	31002
32787	326128
43017	37429
33226	43725
37894	36638
41911	53428
41458	34896
36527	47869
3772329	326128
42934	36040
41085	39619
42034	34847
32934	41708
38693	37372
33934	45525
40830	41965
31151	42871
33565	33565
37837	42177
31629	34636
32787	43017
35256	47869
53445	34896
41941	36461
36748	53577
43580	41084
37528	40739
35744	34119
38078	44728
37528	39683
42034	38995
41836	34595
31773	34328
35306	36122
41461	40966
35576	33814
34172	43788
42743	37336
53560	3354888
34172	32787
33423	39431
38369	35893
33255	33423
37785	44703
42034	33208
43819	42314
38443	36277
34172	43017
36507	36506
32983	41122
36619	43415
46091	41562
32787	3772329
39645	41602
45881	39777
31027	36461
41612	41084
41153	34110
41941	41836
34595	38565
35257	37290
44885	36692
40232	41144
34595	37069
36655	39221
39881	47408
42447	33569
31571	36382
40732	31746
37069	48071
39317	41802
38327	39039
44432	34969
31027	41836
40170	48317
42954	41942
31016	35333
37083	40438
37851	37216
41147	35173
37767	2768981
34610	38156
33565	31518
44432	33981
38995	43162
33738	37894
2768677	34420
43017	43017
32965	41942
42777	41952
43327	37687
35047	33226
38516	31016
40388	38389
43604	42738
39375	39374
2768677	38327
32977	40388
32132	48448
3355109	318846
40548	41034
42484	31332
34595	39203
44000	41798
36104	53569
47594	32752
33648	31016
42641	36638
40009	39753
33977	3772329
44703	44855
34881	33837
32996	34591
35113	38055
37962	3355132
39445	36376
39744	42954
34548	40173
33977	326128
32787	35113
34591	31016
33034	41153
34172	326128
31141	40294
32996	41935
31208	31840
42896	44861
43017	3772329
34610	43441
40030	39431
40170	40693
35310	38970
42509	33458
40388	33981
42696	37767
46156	41491
35816	34225
40384	40384
32268	41942
35478	37237
35113	35113
53472	32256
35784	34338
38065	41084
43785	40388
43819	53439
42647	40176
34172	35113
39157	41801
41836	318846
37629	31376
40657	32268
41836	40693
41942	31230
35047	37864
43348	38062
53439	40092
31016	40548
36080	42854
38367	39133
38044	43441
32166	36390
37387	33346
42034	32078
43017	44030
40170	38565
31571	38565
42048	40678
37247	3355127
37090	33782
42218	42843
34411	42971
34632	34119
36080	37774
38327	41836
39938	38424
44000	37731
43017	43788
33196	35653
38478	33814
43808	38369
40035	33423
39340	31535
31310	40095
41941	35381
41562	34167
38256	35934
38750	32777
41151	38565
41836	36390
39313	38527
39203	39203
33423	40966
48071	38565
40141	31680
38961	35378
39866	32039
