source target sign
EBI-1578952 Q9S7U9 +
EBI-1578952 Q9LSI9 +
EBI-1578952 Q3E9X6 +
EBI-1578952 Q84W01 -
EBI-1578952 Q9LD45 +
Q39010 Q9STX0 -
Q39010 Q93Z27 -
Q39010 Q7FRS8 +
Q39010 Q9M8W6 -
Q39010 Q9LD45 +
Q7Y224 Q9SLP1 +
Q9SUP6 O80651 +
Q9SUP6 EBI-1578970 +
Q9SUP6 Q9LKA4 +
Q9SUP6 Q9FJK3 +
Q9SUP6 O81346 -
Q9SUP6 Q9ZVM9 -
Q9SUP6 Q0WPH8 +
Q9FJK3 Q9SV15 -
Q9FJK3 Q9S7H5 -
Q9FJK3 Q9FHQ3 -
Q9FJK3 Q9LZP8 -
Q9FJK3 Q8LPR4 +
Q9S7U9 Q9M9C3 +
Q9S7U9 P27450 +
Q9S7U9 Q39010 +
Q9S7U9 Q7X7A9 +
Q9S7U9 O48814 -
EBI-1543126 O82754 +
EBI-1543126 Q9ZPX9 +
Q9LZV7 Q9SSF8 +
Q9SV15 Q9FX43 +
Q9SV15 Q39024 +
Q9SV15 Q8LE56 +
Q42479 O48814 -
Q42479 O22763 -
Q9LHI7 Q9M2K4 +
Q9LHI7 O04336 -
Q84JU4 Q9LMM5 -
Q84JU4 Q9S7H5 +
Q84JU4 O22179 -
Q84JU4 Q39023 +
Q84JU4 O49839 -
Q84JU4 Q7X9H9 +
Q84JU4 EBI-1578970 -
Q9LEZ2 Q2V359 +
Q9LEZ2 Q9LV04 -
Q9LEZ2 Q94A06 -
Q9LEZ2 Q9LW66 +
Q9LEZ2 Q9FJV0 +
Q9LEZ2 Q9LTM4 -
Q9SJA8 Q9LW45 -
Q9SJA8 Q03509 -
Q9SJA8 Q4PSU4 -
Q949U4 P30187 -
Q949U4 Q7FRS8 +
Q949U4 Q9SSF8 +
Q949U4 Q9FJV0 +
Q949U4 Q7X9H9 -
Q949U4 O81346 +
Q949U4 P43294 +
Q38847 Q39254 +
Q38847 Q9LPK5 -
Q38847 Q94A06 -
Q38847 Q9FG14 +
Q38847 Q9FHZ1 -
Q9M1Z5 Q9S7H5 +
Q9M1Z5 Q9FHQ3 +
Q9M1Z5 Q9LTM4 -
Q9M1Z5 Q39050 +
Q9M1Z5 Q39019 +
P25854 Q8GY11 -
P25854 Q9SJA8 -
P25854 O48814 -
P25854 Q9SVG9 +
P25854 Q8RY71 +
P25854 Q94A06 -
Q9LW66 Q9S744 -
Q9LW66 Q9FJV0 -
Q9LW66 O81346 +
EBI-1789434 P93050 +
EBI-1789434 Q29Q72 -
Q9FGZ5 Q9FL03 +
Q9FGZ5 P93050 +
Q9FGZ5 Q93XM6 +
Q9FGZ5 Q3E9X6 -
Q9FGZ5 Q4PSU4 -
Q9FGZ5 Q9C7R6 +
O22176 Q9FM69 +
O22176 Q9LEZ2 +
O22176 D3K0M2 -
O22176 Q39254 +
O22176 Q9SGN7 +
O22176 Q38847 -
Q84WC8 Q9LQ65 -
Q84WC8 O22763 +
Q84WC8 Q9S7H5 +
Q84WC8 O64903 +
Q84WC8 Q9LNX6 -
Q84WC8 Q9C9Q4 -
Q9ZRF9 Q9M9C5 +
Q9ZRF9 Q93Z27 +
Q9ZRF9 Q8GWV6 -
Q9ZRF9 Q9FME9 -
Q9ZRF9 O22176 +
Q9ZRF9 O23552 -
Q9ZRF9 Q9C562 -
O65554 Q9FMC2 -
O65554 O04336 +
O65554 O64903 +
O65554 Q9SYS3 -
Q8RYD9 Q9M1Z5 +
Q8RYD9 Q9FGX2 +
Q8RYD9 Q9SUP6 +
Q8RYD9 Q9LS24 -
Q682T9 Q9SZ03 -
Q682T9 Q9LD45 +
O81292 Q9FKR2 -
O81292 Q03509 -
Q39021 EBI-1578970 +
Q39021 Q9FIW6 -
Q39021 Q9ZPX9 -
Q9LFU3 Q2V359 +
Q9LFU3 EBI-1578970 -
Q9LFU3 Q94A06 -
Q9LFU3 Q9FJK3 -
Q9C5C0 Q9S744 -
Q9C5C0 Q9FFN7 -
O65373 O65469 -
O65373 Q93Z30 -
O65373 Q9LUI6 +
O65373 Q39050 -
O65373 Q8GZ99 -
Q9LNG8 Q9LDI3 -
Q9LNG8 Q70E96 +
Q9LNG8 Q9C5C0 +
Q9LNG8 Q9M7Q2 -
Q944J2 Q9LJY7 -
Q944J2 Q9SL70 +
Q944J2 Q03509 +
Q9M844 O81292 +
Q9M844 Q949U4 -
Q9M844 Q9M2L4 -
Q9M844 Q8LPR4 +
O49840 Q9SJG9 -
O49840 O82754 -
O49840 Q4PSE3 +
O49840 Q9LMM5 +
Q9FGF5 Q8GWV6 -
Q9FGF5 Q9LQQ9 -
Q9FGF5 Q9LJ68 -
Q9FGF5 Q9SJG9 +
Q8VZK4 O49839 -
Q8VZK4 Q9SYS3 -
Q8VZK4 P25071 -
Q8VZK4 Q9SYB9 +
O23145 Q93WU6 -
O23145 Q9LJY7 -
O23145 Q84WC8 +
Q7XJK8 Q8VZK4 +
Q7XJK8 Q9SSC7 +
Q7XJK8 Q9SZ03 +
Q8RWQ8 O80719 +
Q8RWQ8 Q9SND6 -
Q8RWQ8 Q9FX43 +
Q8RWQ8 O22176 +
Q8RWQ8 Q9LZV7 -
Q8LPR4 Q7X9H9 -
Q9SYS3 Q84JU4 +
Q9SYS3 Q9LYP4 +
Q9SYS3 Q8VZK4 +
Q9SYS3 O49839 +
Q9SYS3 Q9LUI6 +
Q9FG20 Q4PSE3 -
O22763 Q9SLP1 +
Q6R0E4 Q9ZRF9 +
Q6R0E4 Q39162 +
Q6R0E4 Q8LE56 +
P59220 Q9M8W6 -
P59220 Q8GWV6 -
P59220 P59220 -
Q9LJL9 O65373 -
Q9LJL9 Q9SJG9 -
Q9LJL9 Q8GYQ5 -
Q9LJL9 Q9SDB3 -
B9DGI8 Q9FGF5 -
B9DGI8 O80719 -
B9DGI8 Q42479 +
Q0WPH8 C0LGH4 -
Q0WPH8 Q8LPR4 -
Q9LD45 O80719 +
Q9LD45 Q9M2L4 +
Q9M2K4 Q9FHQ3 +
Q9SSF8 Q93Z27 +
Q9SSF8 Q39024 -
Q9SSF8 Q8GY88 -
P30187 Q9SLP1 -
P55737 Q9FHN8 -
P55737 Q9LFU3 -
P55737 Q9FN02 +
P55737 Q9SKN2 -
P55737 Q9SGN7 -
P55737 O81472 +
Q9LPK5 Q39140 -
Q9LPK5 Q9FN02 +
Q9LPK5 Q9LJZ2 +
Q9LYG8 Q39021 +
Q9LYG8 Q39019 +
Q9LYG8 Q39162 -
Q9LYG8 Q9SKN2 -
Q9LJY7 Q9FMC2 -
Q9LJY7 O22921 +
Q9LJY7 Q39024 -
Q9LJY7 P92525 -
O23320 Q9SGN7 -
O23320 O48814 -
O23320 Q3E9X6 +
O23320 O49839 -
O81223 Q9SR07 -
O81223 Q9LTM4 -
O80719 Q39008 +
O80719 Q4PSU4 +
O80719 Q8GY11 +
Q9FGX2 Q9FME9 +
O82345 Q8GWV6 +
O82345 O23145 -
O82345 C0LGH4 -
O82345 O81223 -
O82345 Q9LQQ9 +
O82345 P43294 -
Q9SZJ6 O48814 -
Q9SZJ6 O22921 +
C0LGH4 O49840 +
C0LGH4 O23552 +
C0LGH4 Q8LPR4 +
Q9LJ68 Q38876 -
Q9LJ68 O48788 +
Q9LJ68 Q9FMY3 +
Q9LQ65 Q7FRS8 -
Q9LQ65 O22042 +
Q9LQ65 Q8GYQ5 -
Q9LQ65 Q8LE56 -
O22042 EBI-1578952 +
O22042 Q8LAW2 -
O22042 O49839 +
O22042 Q7FRS8 +
O22042 Q9M1G6 -
O22042 Q9SJA8 -
Q9LPQ3 Q9FMC2 +
Q9LPQ3 Q9LFU3 -
Q84W01 Q8GYP4 -
Q38876 O49839 +
Q38876 Q39021 -
Q38876 Q7FRS8 +
P92525 Q84JC2 -
Q9ZVM9 O48814 -
Q9ZVM9 Q8LGD5 -
Q9ZVM9 Q9LV04 +
Q9ZVM9 Q9LS24 +
Q9ZVM9 Q7X7A9 +
Q39050 P83755 +
Q39050 O65554 +
Q39050 Q7X7A9 -
Q39050 Q9SYP2 +
Q39050 O82345 -
Q39050 Q9M2L4 +
Q9SJX8 Q94AA4 +
Q9SJX8 Q94A06 +
Q9SJX8 Q9SL70 +
Q9SJX8 Q8W490 +
Q9LDI3 Q93WU6 +
Q9LDI3 Q9LQQ9 -
Q9LDI3 Q7X9H9 -
Q9LDI3 Q8GYF5 -
P25071 Q9S7H5 -
P25071 Q9LPK5 -
Q9FHQ3 Q9FG20 +
Q9FHQ3 P29383 -
Q9FHQ3 Q9M8W6 -
Q9FHQ3 P43294 -
Q9SZ03 Q9M9C3 -
Q9SZ03 O22179 -
Q9SZ03 Q9SZ03 +
Q8W490 P83755 +
Q8W490 F4IIU4 +
Q8W490 Q9FLL0 +
Q8W490 Q75QN6 -
Q8W490 O82345 -
Q8W490 Q8RWQ8 +
Q8W490 Q9C562 -
Q8W490 Q9SJA8 -
O65469 Q9SUP6 -
O65469 Q8VYG7 -
P43294 Q84JU4 -
P43294 Q9LHI7 -
P43294 P29383 -
Q9LX56 Q6NLQ6 +
Q9LX56 Q9SUP6 -
Q9LX56 Q39024 -
Q9LX56 Q9LYL6 -
Q8LAW2 O81292 -
Q8LAW2 Q9LJZ2 -
Q8LAW2 Q9FL19 -
Q94AA4 Q8H1D6 +
Q94AA4 Q9C562 +
Q94AA4 Q84WW1 -
Q6NLQ6 Q9LNG8 -
Q6NLQ6 Q39024 -
Q6NLQ6 EBI-1789434 +
Q9M9C5 Q9ZUI9 +
Q9FLL0 F4IIU4 +
Q9FLL0 Q9SL70 +
Q9FLL0 Q93XM6 -
Q9FM43 P25069 -
Q9FM43 Q1H5F3 +
Q9FM43 O23552 +
Q9FM43 Q4PSE3 -
F4IIU4 Q9FJV0 -
Q8GYF5 Q8LPR4 +
Q8GYF5 Q39050 +
Q39008 Q9ZUI9 +
Q7X9N2 Q9LPK5 -
Q7X9N2 Q93Z30 -
Q7X9N2 Q7XJK8 +
Q9S7H5 Q93WU6 +
Q9S7H5 Q9M2K4 +
Q9S7H5 O65554 -
Q9S7H5 Q9SND6 +
Q949Y0 Q949Y0 +
Q949Y0 D3K0M2 -
Q949Y0 Q84WC8 +
Q949Y0 Q9M844 -
Q949Y0 Q9FN02 +
Q9M5K2 Q3E9X6 +
Q9M5K2 F4IIU4 +
Q9M5K2 Q39254 -
Q9M5K2 Q9LPK5 -
Q9M5K2 Q8RWY0 +
Q9M5K2 Q8RWQ8 +
P29383 Q39023 +
P29383 Q9FIK0 +
P29383 Q9LJZ2 +
Q84WW1 O81292 +
Q84WW1 Q9M1Z5 -
Q84WW1 Q9FUD3 +
Q84WW1 EBI-1789434 -
Q84WW1 Q9LSI9 +
Q84WW1 Q9SR07 +
Q84WW1 Q38876 -
Q84WW1 Q9FIW6 -
Q84WW1 O04336 +
Q84WW1 Q9LTM4 -
Q5XXJ3 Q9S744 +
Q5XXJ3 Q2V359 +
Q5XXJ3 EBI-1543126 -
Q5XXJ3 Q7X7A9 +
