source target sign
F56H1.4 M151.7 +
Y46G5A.24 C47B2.6 +
Y46G5A.24 F42G9.7 -
Y46G5A.24 F11A1.3 +
F20C5.6 Y68A4A.10 +
F20C5.6 ZK546.4 -
F20C5.6 B0228.1 +
D1054.5 F44A6.1 +
D1054.5 B0336.6 +
C49H3.5 B0391.11 -
F08G5.3 C33H5.15 +
F08G5.3 F53G2.6 +
F08G5.3 Y105C5B.14 -
Y17G7B.2 M151.7 -
Y17G7B.2 Y43F11A.3 -
C02F12.4 C34D10.1 +
K12G11.3 C13G3.3 -
K12G11.3 K12G11.3 +
F39H12.1 C07A9.6 +
F39H12.1 K08E7.2 +
Y38H6C.14 K04G2.10 -
Y38H6C.14 W10G11.20 +
F23H12.2 K07F5.11 -
F23H12.2 D1022.8 -
C09H10.6 T22G5.5 +
K07D4.3 R12E2.3 +
K07D4.3 F55A11.3 -
F35E2.2 C34G6.7 +
F35E2.2 B0228.1 +
C25A1.11 F53A10.2 +
F48E8.1 Y106G6D.7 -
F48E8.1 T06C12.14 +
F48E8.1 F15D4.2 -
F47B8.11 C36E6.5 +
F47B8.11 D2023.2 -
F47B8.11 T06C12.7 -
T19B4.5 B0336.9 +
T19B4.5 T19B4.5 +
T01B7.8 K04A8.6 -
T21H8.5 F40F12.7 -
T21H8.5 F13G3.9 +
F42C5.7 K08E3.5 +
F42C5.7 F22H10.3 -
F42C5.7 F59D12.2 +
Y62F5A.1 F07H5.2 -
Y62F5A.1 F48E3.4 -
Y62F5A.1 W04G5.9 -
Y39G10AR.15 T05A7.3 +
Y39G10AR.15 R05D3.6 -
Y39G10AR.15 CD4.6 -
C46E10.5 F38A5.7 +
F31D4.4 T19E7.3 +
F31D4.4 F40H3.2 -
Y113G7B.5 F01D5.5 +
T03E6.7 T22D2.1 -
T03E6.7 ZK1127.3 +
K02E10.4 ZK662.3 -
ZC434.8 Y62E10A.13 +
ZC434.8 Y105C5B.14 +
T26C11.5 C27A2.6 +
T26C11.5 ZC477.9 +
R12B2.5 F55C5.7 -
B0205.7 Y54E10A.3 +
B0205.7 K08F8.2 +
B0205.7 F46H5.5 -
F20D1.1 F36F2.4 +
F20D1.1 Y47D3A.2 -
B0336.6 F12E12.5 -
B0336.6 F32B6.4 +
B0336.6 T14F9.4 +
Y43H11AL.3 D1081.9 +
Y43H11AL.3 Y80D3A.3 -
Y43H11AL.3 ZK899.6 +
F25B5.4 C16A3.5 +
R166.1 W03C9.4 -
R166.1 ZK1127.9 -
R166.1 F55C9.10 -
K02E10.2 C02C6.1 -
F58A3.1 T22D2.1 +
F44C8.7 F38E9.1 +
F44C8.7 F44E7.8 +
B0035.6 D2007.2 +
B0035.6 ZK1225.6 +
B0035.6 T04C10.1 -
K08H2.3 Y38F1A.2 -
K08H2.3 C03C10.3 -
K08H2.3 B0464.8 +
F26F4.1 Y47D3A.15 -
F29B9.4 W08E3.2 +
F29B9.4 Y105E8B.4 +
C33G3.1 T07D4.2 +
C33G3.1 F28H6.4 -
C33G3.1 Y49F6B.4 -
C24A3.2 B0034.3 +
C24A3.2 VF39H2L.1 -
C14B9.7 C50F4.13 -
F56G4.5 W02A2.3 +
F56G4.5 ZK1053.3 -
F56G4.5 W02A11.3 +
F31C3.5 C05C8.7 +
F31C3.5 K12H4.1 +
C04E12.6 K01G5.1 -
W02A11.3 W10D9.3 +
ZK1025.9 F41C6.6 +
ZK1025.9 F11A5.2 +
ZK1025.9 F36A2.1 +
C01B10.6 T17H7.4 +
C01B10.6 C18A11.7 -
C14B1.4 K11D2.2 +
C14B1.4 Y39B6A.40 -
C14B1.4 F14F9.4 +
C34D10.1 B0250.1 +
C28H8.12 R02F11.4 +
F59B2.9 ZK40.1 -
F59B2.9 C44F1.5 +
R04A9.4 T26A8.4 -
F39G3.5 C18A11.2 -
F39G3.5 R09F10.2 -
F39G3.5 W04G3.5 +
C07A12.1 F26F4.2 +
C07A12.1 ZK867.1 -
C07A12.1 R31.1 -
F48G7.10 C34C12.5 +
M04F3.1 T20G5.1 +
M04F3.1 Y62E10A.8 -
F36F2.4 F38B2.1 -
F36F2.4 F59A2.6 -
T06E4.3 W03D2.3 -
F33D11.11 T06E4.1 -
F33E2.2 F17A2.13 +
F39H11.1 R119.2 +
F39H11.1 Y56A3A.4 +
C13G3.3 R09B5.6 -
C13G3.3 M7.2 -
Y40B1B.6 F52C6.2 -
W01A11.4 Y47G6A.25 -
W01A11.4 ZK1067.6 -
R07B7.15 C33G8.10 -
R07B7.15 F37A4.5 -
T07A5.6 F46F6.1 -
T07A5.6 C01G10.11 +
T07A5.6 W02A11.3 +
K03A11.2 Y49F6B.4 -
F49H12.3 C50E10.4 -
F49H12.3 C08F8.8 -
ZK20.5 C17B7.7 +
ZK20.5 H08M01.1 +
ZK20.5 R06F6.8 +
T25C8.2 R13F6.1 -
F26E4.6 C49A9.6 +
F26E4.6 K08E7.2 +
F02C9.4 F26E4.6 +
F02C9.4 C05C10.4 +
ZK40.1 T27F2.1 +
T04D3.1 R148.6 +
T04D3.1 ZC123.4 +
T01G1.1 T20G5.10 -
F13D12.6 T21B10.7 +
F13D12.6 F20G4.3 -
C40A11.7 C43C3.1 -
C40A11.7 C40A11.7 -
F15C11.2 F56A8.6 -
M01E11.6 Y54E5A.4 +
M01E11.6 ZK1053.3 +
F47F6.1 F02D10.6 -
F47F6.1 T19B10.4 +
K02B7.3 C34E10.6 -
F59E12.10 Y48E1B.1 +
F59E12.10 C24G6.1 -
M04D8.7 Y39C12A.9 -
M04D8.7 F56C9.10 +
