source target sign
104416 268465 +
104416 56637 -
104416 12609 -
58208 69837 -
106344 17184 -
378435 20907 +
378435 22343 +
378435 107831 -
15902 432940 +
15902 16452 -
12389 14783 -
12389 15903 -
17268 21413 +
17268 16825 +
17268 20238 -
170930 20278 -
170930 56191 -
20650 433759 -
432940 19361 +
11674 636931 -
116848 18033 -
17295 76936 -
93736 19303 +
12369 54427 -
12369 56045 -
71978 21380 -
26554 14254 -
19361 140858 -
20371 16818 -
18970 18509 -
20910 14248 +
67731 12006 +
67731 19075 -
16906 13449 -
19179 66917 -
19179 84092 +
22196 268697 +
65113 17762 -
65113 229542 +
15161 29871 +
268749 216233 +
17907 12848 +
17907 71950 +
22059 433766 +
22059 71648 +
17966 13831 +
20977 19696 -
26407 224170 +
26407 30945 -
85305 107976 +
207165 74256 -
207165 21422 +
21423 75717 +
20587 19696 +
19696 22418 -
75410 59004 +
69253 268903 -
69253 21682 +
18140 20277 -
18140 15260 -
18140 110157 +
23859 13163 -
23859 19361 +
14786 13385 -
14786 12419 -
14786 12928 -
15081 76804 -
84585 268749 +
22632 330627 +
22632 22658 +
16337 16443 -
22589 12042 -
93679 26417 -
56513 16337 -
17762 18141 -
12928 140629 -
70834 53602 -
66830 72512 -
16978 108655 -
16978 19708 -
66131 17977 +
66131 69890 -
66131 16179 -
16542 16001 -
16542 19060 +
19229 14011 +
21834 20128 -
21372 66854 +
21372 18148 +
19708 19055 -
12988 81879 +
53602 69890 -
229542 27401 +
20614 15511 +
20614 14406 -
22591 72179 -
18148 56484 -
216190 18711 +
16818 20371 +
26413 19261 +
26413 66824 -
26413 15260 +
240057 216233 -
30945 140858 +
69890 20977 +
67526 19290 -
67526 13405 +
12550 22003 +
15904 16452 -
15904 21380 +
15904 56406 +
15162 114741 +
15433 13543 +
15433 16332 +
18451 26554 +
18451 13429 +
56484 15161 -
24053 20877 -
224997 56710 -
15364 99890 +
15364 71458 +
63958 19229 +
226548 13555 -
13429 66834 +
13429 56312 +
13418 17874 -
13418 16909 +
110749 20655 +
110749 66725 -
17688 20017 +
17688 20467 -
14814 75829 -
14814 20533 +
13405 22658 -
13405 66233 -
93760 17907 +
108686 22343 -
108686 21682 -
