source target sign
Q9BQS8 Q9H0R8 -
Q9BQS8 P23467 +
Q9BQS8 Q15797 -
Q9BQS8 Q96D31 +
Q9BQS8 Q9UBU9 -
Q9BQS8 P60520 +
Q9BQS8 Q9BXW4 +
Q9BQS8 P35222 +
Q96D09 P06748 -
Q96D09 P08588 +
Q96D09 Q01082 -
Q96D09 P07949 -
Q96D09 P27348 +
Q96D09 Q15599 -
Q96D09 Q04912 -
Q13191 Q38SD2 -
Q13191 P51451 +
Q13191 Q96EB6 +
Q13191 O14745 -
Q13191 P49407 -
Q13191 Q16520 -
Q13191 P22314 -
Q13191 Q96B97 -
Q13191 P61006 -
Q13191 P78314 -
Q9HAT8 Q96SB4 +
Q9HAT8 P42679 +
Q9HAT8 EBI-10826665 -
Q9HAT8 P41227 +
Q9HAT8 Q8IZP0 +
Q9HAT8 Q14160 -
P43632 Q15596 +
P43632 Q9H2K2 +
P43632 P30504 +
P43632 P23443 +
P43632 Q29865 -
P43632 Q13535 +
P43632 Q2TAZ0 -
P43632 Q04206 +
Q02750 Q9H492 +
Q02750 P68431 +
Q02750 P35222 -
Q02750 P28482 +
Q02750 Q08752 -
P19419 P21860 +
P19419 EBI-2566390 -
P19419 P06748 +
P19419 P27361 +
P19419 P30153 +
P19419 P28482 -
P19419 P43627 +
P19419 Q99683 -
P42681 Q9NS37 -
P42681 O43791 +
P42681 P07949 -
P42681 Q96MK3 -
P42681 P10721 -
Q9UER7 Q07812 +
Q9UER7 P02766 -
P49815 P62258 +
P49815 P61981 -
P49815 P63104 -
P49815 P62136 +
P49815 P23471 +
P49815 P84022 +
P49815 Q04206 +
P22303 O43791 -
P22303 P30304 +
P22303 O75496 -
P22303 P22303 -
P06858 Q8IYU2 -
P06858 Q13323 +
P06858 Q99523 -
P06858 Q9BY76 -
P21709 P08631 -
P21709 P14618-1 +
P21709 P61088 -
P21709 P61769 -
P21709 P17535 +
P21709 Q13188 +
P21709 Q13404 +
P21709 Q04206 +
P08581 P19174 -
P08581 P23470 -
P08581 Q96RG2 +
P08581 Q02750 +
P08581 Q9ULZ2 +
P08581 O14544 -
P08581 Q13882 +
P08581 P98077 +
P08581 P42679 -
P08581 O43639 -
P08581 Q63HR2 +
P08581 P18031 +
P08581 Q68CZ2 -
P08581 P07332 -
P08581 Q9UKW4 -
P08581 Q8IZW8 +
P08581 O60880 -
P08581 P42681 +
P08581 P26045 -
P08581 O15357 -
P08581 Q06124 +
P08581 Q15262 -
P08581 Q14677 -
P08581 P09769 +
P08581 Q92529 -
P08581 Q9H6Q3 -
P08581 P18848 +
P08581 P16885 -
P08581 P16333 -
P08581 P08575 +
Q14566 P17535 -
Q14566 P23396 +
Q14566 O75496 +
Q14566 Q14566 +
EBI-10828808 EBI-10828808 +
EBI-10828808 P50552 -
EBI-10828808 Q15596 +
EBI-10828808 P62330 +
EBI-10828808 Q8NFT6 -
EBI-10828808 Q16534 -
EBI-10828808 Q07812 +
EBI-10828808 Q96MK3 -
EBI-10828808 P04156 -
P17252 P17252 -
P17252 O95210 -
P17252 P49810 +
P17252 Q96S21 -
P17252 P29279 -
P17252 O75791 -
Q01968 Q13043 -
Q01968 P01275 -
P78362 Q8WZ42 -
P78362 Q9BSQ5 -
P78362 P78317 -
P78362 Q8IW41 +
P78362 P61964 +
P78362 P18084 +
P78362 O75460 +
P78362 O95166 +
P78362 Q96LR5 +
P78362 P29034 +
P78362 P45973 +
P78362 Q9H0R8 -
P78362 Q9H492 -
P78362 Q96FA3 +
P78362 P31946 +
Q9TNN7 Q9H2K2 -
Q9TNN7 P43628 +
Q9TNN7 Q99741 +
Q9TNN7 P43632 +
Q9TNN7 Q96B97 -
Q9TNN7 P43627 -
Q9NR55 Q8WZ42 -
Q9NR55 P20265 +
Q9NR55 P53567 +
Q9NR55 P17676 +
Q9NR55 Q16534 +
Q9NR55 P17275 -
Q9NR55 P45973 +
Q9NR55 P17535 +
Q9NR55 Q13404 +
Q9NR55 P02489 +
Q8WXU2 Q9H0R8 -
Q8WXU2 Q96EB6 -
Q8WXU2 P62837 +
Q8WXU2 P08581 -
Q8WXU2 P60520 -
Q8WXU2 P05067-4 -
Q96JZ2 P22607 -
Q96JZ2 P78317 +
Q96JZ2 Q9UJY4 -
Q96JZ2 Q13480 +
Q96JZ2 O15350 +
Q96JZ2 P08581 -
Q96JZ2 Q15139 -
Q96JZ2 Q99418 +
Q96JZ2 P10275 -
Q96JZ2 P10721 +
P14635 P06493 -
P14635 Q07812 -
P14635 Q14160 -
P14635 O15525 +
P68400 P49736 -
P68400 Q04206 -
P68400 P67809 +
P68400 P29590 -
P68400 O95400 +
P68400 P42768 -
P68400 P04637 +
P68400 P23396 -
P68400 P04004 +
P68400 Q8WUM4 -
P68400 Q16665 +
P68400 Q9TNN7 -
P68400 Q53EL6 -
P68400 P24864 -
P68400 O00571 -
P68400 P08047 +
P68400 P49427 -
Q8IZW8 Q16186 -
Q8IZW8 P67870 +
Q8IZW8 Q13480 +
Q8IZW8 Q13162 -
Q8IZW8 P15408 +
Q8IZW8 P55957 +
O00410 P30101 -
O00410 Q06124 -
O00410 P04626 +
O00410 Q9H0R8 +
O00410 P11277 -
O00410 Q96EB6 +
O00410 O95166 -
O00410 P60520 +
O00410 Q92783 +
O00410 O00291 -
O00410 Q9BXW4 +
P30504 EBI-10828808 +
P30504 P43626 +
P30504 P62993 -
P30504 O75496 +
P30504 P61769 +
P30504 Q9UMX0 +
P30504 P05230 -
P30504 Q8TC07 -
Q09472 P06400 -
Q09472 P14618-1 +
Q09472 P11473 +
Q09472 O95863 -
Q09472 P49674 -
Q09472 P27695 +
Q09472 P04155 +
Q09472 Q9H2X6 -
Q09472 P10275 +
Q09472 Q13546 -
P04406 P12004 -
P04406 Q14790 +
P04406 P04406 +
P04406 Q9UQB8-4 +
P04406 P46108 -
P04406 Q00535 +
P04626 O14796 +
P04626 Q9UQF2 +
P04626 Q92569 -
P04626 P29353 +
P04626 P23467 -
P04626 Q9Y2R2 -
P04626 P21860 -
P04626 P26045 -
P04626 P16885 +
P04626 P42684 -
P04626 P46108 -
P04626 P08575 +
P04626 P35555 -
P04626 P23470 +
P04626 P43405 -
P04626 P42681 +
P04626 P16591 +
P04626 P21980 -
P04626 Q9UQQ2 +
P04626 O00459 -
P04626 Q9Y490 +
P04626 O75815 +
P04626 Q14451 +
P04626 Q96SB4 -
P04626 P46109 +
P04626 Q08881 +
P04626 P42680 -
P04626 P62993 +
P04626 Q15262 +
P04626 P00519 +
P04626 P10600 -
P04626 Q7Z6G8 +
P61586 O60610 -
P61586 P16118 -
P61586 P0CG47 +
P61586 Q9HAU4 +
P61586 P42345 -
P61586 P0CG48 -
P61586 Q9HCE7-2 +
P61586 P22607 +
P61586 Q9Y4D1 -
P61586 P04637 -
P61586 P51610 +
P61586 Q04724 +
Q8TF40 Q13526 +
Q8TF40 Q9GZQ8 +
Q8TF40 P0CG47 -
Q8TF40 O15357 +
Q8TF40 O95166 -
Q8TF40 P60520 +
Q8TF40 P20226 -
Q8TF40 O14964 -
P39060-PRO_0000005794 P05067-PRO_0000000092 -
P39060-PRO_0000005794 P39060-PRO_0000005794 -
P39060-PRO_0000005794 Q08050 +
P39060-PRO_0000005794 P21980 -
P39060-PRO_0000005794 Q96NZ8 +
P39060-PRO_0000005794 P50570 -
P06730 P61081 +
P06730 O95400 +
P06730 P52735 +
P06730 Q05397 -
P06730 O00571 +
P06730 Q9HAT8 -
P06730 P08588 -
P55209 Q92793 -
P55209 Q09472 +
