source	target
Jun	Nfkb1
Myb	Mpo
Etv4	Setd1a
Sp1	Bdkrb1
Creb3	Pcna
Tfap2a	Cdkn1a
Tfap2a	Dlc1
Egr1	Ccl5
Crebbp	Pfkfb3
Pparg	Acaa1a
Cebpb	Crip2
Rfx5	H2-DMa
Trp53	Aamp
Hoxa1	Gcm2
Rxra	Scd4
Sfpi1	Tal1
Mybl1	Ccna1
Ep300	Nppa
Gli2	Wnt16
E2f1	Ccne2
Hif1a	Ep300
Sp1	Per1
Stat5a	Socs3
Relb	LOC100041504
Myb	Emr1
Pparg	Ppargc1a
Trp53	Cables2
Nfkb2	Traf3
Rarb	Rarb
Tcf7l2	Ccnd3
Ets1	Krt8
Nfic	Ifngr2
Stat5a	Socs2
Crebbp	Ltbr
Trp53	Zmat3
Tfap2a	Ptprv
Nfic	Trp53-ps
Tfdp1	Myc
Sp1	Msx1
Esr1	mmu-miR-375-3p
Crebbp	Vegfc
Ep300	Ltbr
Hoxa5	Ncam1
Nfkb1	Il1a
Tfap2a	Itpr1
Wt1	Sdc1
Tcf7l1	Mitf
Ets1	Eif2ak2
Creb3l3	Mcl1
Gli2	Wnt5b
Tfap2a	Scd1
Mapk1	Il12a
Atf6b	Bdnf
Crebbp	Hkdc1
Creb1	Adcy8
Gli1	Wnt3
Sos1	Myc
Ep300	Tek
Gli1	Nkx2-9
Gli2	Wnt10b
Stat5a	Socs1
Trp53	2300009N04Rik
Arnt	Gm5506
Sp1	Ctsl
Hoxc8	Tubb5
Arnt	Angpt2
Sp1	Rhob
Irf7	Ifna9
Sp3	Mtch1
Hif1a	Tfrc
Rxrb	Aqp7
Stat3	Krtap15
Ets1	Kit
Stat1	Vegfc
Epas1	Vegfc
Nfkb2	Gm10591
Crebbp	Cdkn1b
Creb3l2	Aqp2
E2f2	Vmn1r53
Trp73	mmu-miR-34a-5p
Jun	Ldb1
Brca1	Rad51
Nfya	H2-Ob
Stat5a	Socs4
Fli1	Cebpa
Myb	Smarcc1
Smad2	Tgfb1
Nfkb2	Sh2d3c
Esr1	Met
Rxra	Apoa2
Sos2	Ccnd2
Irf3	Cxcl10
E2f2	Slc25a48
Sp1	Tk1
Cebpa	Slc2a4
Stat1	Gbp5
Sp1	Slc2a4
Pparg	Pck1
Hsf1	Hspa1b
Gli2	Wnt3
E2f1	Brca1
Trp53	Met
Creb1	Fst
Creb3l4	Mcl1
Cebpa	Ptgs2
Arnt	Hkdc1
Rfx5	H2-DMb2
Gli1	Bmp4
Relb	Aire
Ep300	Pgf
Rbpj	Hes5
Stat3	Lep
Hoxa5	Hoxa5
Nfkb1	Myb
Max	LOC640611
Irf3	Ifnb1
Sfpi1	Hes1
Stat5b	Pim1
Gli3	Gli1
Egr2	Ctsl
Creb3l1	Pcna
Cebpb	C3
E2f1	Bfsp1
Rarg	Trh
Jun	Crabp1
Jun	Ctsl
Nfyc	H2-DMb1
Ppara	Ucp1
Ets1	Tcra
Nfkb1	Tnfaip3
Ar	Nox1
Creb1	Scg2
Sp2	Alox8
Smad7	Acvr1b
Mybl2	Uchl1
Usf1	Acp5
Nfkb2	Birc3
E2f4	Myc
Hif1a	Bax
Tfap2a	Bsg
Sp1	H19
Bbc3	Trp53
E2f1	Igh-VJ558
Sp1	Spink3
Sfpi1	Plau
Cebpa	Nupr1
Erg	Vim
Rara	Ccna1
Sirt1	Fos
Nfkb1	Acp5
Sp1	Cdk1
Ets1	Tnfrsf10b
Ep300	Hk3
Hoxa1	Gad1
Ppard	Lpl
E2f2	Chmp7
